Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq,Simulador,Escenario,Medicion,Repeticion,GUI,GPU,Estado,timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks,real_time_factor,iterations,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
16:06:27,12.3,0.0,13.2,73.1,1.4,3.0,18590.0,12690.0,15.04,42.05,66.05,53.0,38.05,39.05,20.0,53.0,66.0,42.05,1.64,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:28,49.7,0.9,36.4,12.4,0.6,95.0,475343.0,57323.0,39.18,43.05,52.05,51.0,39.05,40.05,20.0,52.0,52.0,42.05,2.45,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:29,48.3,0.1,51.3,0.4,0.0,103.0,225839.0,53295.0,39.18,43.05,52.05,52.0,39.05,40.05,20.0,52.0,52.0,42.05,2.62,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:30,57.0,0.6,41.3,1.2,0.0,70.0,507221.0,103108.0,51.8,43.05,51.05,51.0,39.05,39.05,20.0,51.0,51.0,42.05,2.65,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:31,43.0,0.0,19.0,37.6,0.3,41.0,524794.0,107964.0,52.04,43.05,51.05,51.0,39.05,39.05,20.0,51.0,51.0,42.05,2.14,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:32,29.1,0.1,16.7,53.7,0.4,3.0,510531.0,110070.0,52.04,43.05,51.05,48.0,39.05,39.05,20.0,48.0,51.0,42.05,2.02,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:33,23.4,0.1,15.4,61.0,0.2,105.0,342553.0,50876.0,37.72,43.05,49.05,55.0,40.05,39.05,20.0,55.0,49.0,42.05,3.05,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:34,32.7,0.0,16.9,50.3,0.2,59.0,430323.0,79919.0,37.72,43.05,47.05,51.0,40.05,40.05,20.0,52.0,47.0,42.05,2.77,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:35,30.6,0.1,8.8,60.4,0.2,3.0,286067.0,47399.0,35.19,43.05,48.05,48.0,40.05,39.05,20.0,48.0,48.0,42.05,2.57,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:36,29.9,0.0,8.2,61.7,0.2,4.0,259920.0,41760.0,39.29,43.05,47.05,49.0,40.05,39.05,20.0,49.0,47.0,42.05,2.97,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:37,30.5,0.1,8.1,61.1,0.3,12.0,268458.0,42847.0,37.83,43.05,47.05,51.0,40.05,40.05,20.0,50.0,47.0,42.05,2.77,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:38,30.3,0.0,7.4,62.0,0.3,5.0,241049.0,39848.0,37.83,43.05,48.05,47.0,40.05,40.05,20.0,47.0,48.0,42.05,2.99,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:39,28.8,0.1,7.1,63.6,0.3,6.0,247165.0,41250.0,37.82,43.05,48.05,48.0,41.05,40.05,20.0,48.0,48.0,42.05,2.13,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:40,30.8,0.0,7.7,61.2,0.3,9.0,271956.0,43019.0,37.09,43.05,48.05,48.0,41.05,40.05,20.0,48.0,48.0,42.05,2.85,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:41,30.1,0.1,8.0,61.6,0.3,12.0,267422.0,42072.0,38.62,43.05,48.05,48.0,41.05,40.05,20.0,48.0,48.0,42.05,2.57,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:42,28.0,0.0,6.8,64.9,0.3,2.0,236275.0,37474.0,37.1,43.05,49.05,48.0,41.05,40.05,20.0,48.0,49.0,42.05,2.4,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:43,29.7,0.1,7.0,62.9,0.3,4.0,234603.0,36004.0,37.11,43.05,49.05,51.0,41.05,40.05,20.0,51.0,49.0,42.05,2.87,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:44,29.6,0.0,7.6,62.4,0.4,6.0,249954.0,38020.0,37.68,43.05,50.05,49.0,41.05,40.05,20.0,50.0,50.0,42.05,2.57,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:45,26.3,0.1,7.1,66.2,0.4,10.0,244360.0,38996.0,37.79,43.05,50.05,47.0,41.05,40.05,20.0,47.0,50.0,42.05,2.26,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:46,19.7,0.1,6.7,73.1,0.4,2.0,229415.0,33398.0,31.74,43.05,47.05,46.0,42.05,40.05,20.0,46.0,47.0,42.05,2.8,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:47,19.6,0.0,6.4,73.6,0.5,2.0,230713.0,34067.0,32.48,43.05,46.05,47.0,42.05,40.05,20.0,47.0,46.0,42.05,2.96,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:48,20.7,0.1,6.8,72.2,0.3,13.0,248423.0,38825.0,31.95,43.05,47.05,47.0,42.05,40.05,20.0,47.0,47.0,42.05,3.0,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:49,28.6,0.0,8.5,62.6,0.3,4.0,282985.0,40298.0,35.26,43.05,47.05,46.0,42.05,40.05,20.0,46.0,47.0,42.05,2.63,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:50,22.0,0.1,6.7,70.9,0.3,5.0,255944.0,36431.0,34.01,43.05,47.05,47.0,42.05,40.05,20.0,47.0,47.0,42.05,1.64,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:51,20.4,0.0,6.6,72.7,0.3,5.0,239287.0,35006.0,33.09,43.05,47.05,47.0,42.05,40.05,20.0,47.0,47.0,42.05,2.12,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:52,21.7,0.1,6.8,71.0,0.4,6.0,262112.0,37201.0,32.65,43.05,47.05,47.0,42.05,40.05,20.0,47.0,47.0,42.05,2.29,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:53,22.2,0.0,6.9,70.6,0.3,3.0,251164.0,37159.0,34.13,43.05,47.05,47.0,42.05,40.05,20.0,47.0,47.0,42.05,2.51,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:06:54,20.9,0.1,6.4,72.3,0.4,8.0,236475.0,38140.0,32.64,43.05,47.05,47.0,42.05,40.05,20.0,47.0,47.0,42.05,2.75,GHz,Ignition,sin_cargar_no_gui_no_gpu,powerstat,2,GUI No,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
