Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq,Simulador,Escenario,Medicion,Repeticion,GUI,GPU,Estado,timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks,real_time_factor,iterations,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
18:23:52,12.2,0.0,13.0,73.4,1.3,5.0,94419.0,11923.0,45.65,43.05,63.05,65.0,39.05,40.05,20.0,65.0,63.0,42.05,1.53,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:53,51.5,0.8,37.7,9.6,0.4,76.0,381487.0,61187.0,52.42,43.05,55.05,52.0,39.05,40.05,20.0,52.0,55.0,42.05,2.55,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:54,46.9,0.1,53.0,0.1,0.0,79.0,230407.0,56562.0,51.06,43.05,53.05,53.0,39.05,40.05,20.0,53.0,53.0,42.05,2.62,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:55,50.7,0.4,40.6,8.3,0.1,93.0,496278.0,104157.0,61.75,43.05,53.05,53.0,40.05,40.05,20.0,55.0,53.0,42.05,2.65,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:56,50.3,0.1,24.4,25.0,0.3,4.0,482851.0,103301.0,61.75,43.05,53.05,49.0,40.05,40.05,20.0,49.0,53.0,42.05,2.17,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:57,15.8,0.1,6.8,77.0,0.3,35.0,198099.0,48640.0,47.66,43.05,55.05,49.0,40.05,40.05,20.0,49.0,55.0,42.05,1.91,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:58,33.1,0.0,20.4,46.3,0.2,3.0,520719.0,68986.0,60.4,43.05,54.05,51.0,40.05,40.05,20.0,51.0,54.0,42.05,3.04,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:23:59,32.1,0.1,12.2,55.3,0.3,2.0,313649.0,47681.0,55.88,43.05,50.05,50.0,40.05,40.05,20.0,50.0,50.0,42.05,3.05,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:24:00,24.5,0.0,7.8,67.3,0.4,3.0,301339.0,35832.0,55.75,43.05,49.05,51.0,41.05,40.05,20.0,51.0,49.0,43.05,3.05,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:24:01,24.0,0.1,7.1,68.7,0.3,2.0,298125.0,35716.0,49.53,43.05,50.05,51.0,41.05,40.05,20.0,51.0,50.0,42.05,1.87,GHz,Ignition,sin_cargar_no_gui_gpu,powerstat,5,GUI No,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
