Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq,Simulador,Escenario,Medicion,Repeticion,GUI,GPU,Estado,timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks,real_time_factor,iterations,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
13:20:57,12.2,0.1,13.1,73.4,1.3,3.0,10516.0,12038.0,42.84,42.05,55.05,70.0,38.05,39.05,20.0,70.0,55.0,42.05,1.19,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:20:58,49.1,0.9,37.6,12.0,0.4,110.0,414936.0,60896.0,51.69,42.05,56.05,51.0,38.05,39.05,20.0,51.0,56.0,42.05,2.53,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:20:59,49.7,0.0,50.2,0.1,0.0,99.0,221206.0,53028.0,51.39,42.05,51.05,51.0,38.05,39.05,20.0,51.0,51.0,42.05,2.26,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:00,55.8,0.3,43.6,0.3,0.0,89.0,474710.0,99137.0,51.39,42.05,51.05,49.0,38.05,39.05,20.0,49.0,51.0,42.05,2.73,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:01,55.5,0.4,23.9,19.7,0.4,35.0,476661.0,101382.0,45.49,42.05,49.05,48.0,38.05,39.05,20.0,48.0,49.0,42.05,2.33,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:02,53.8,0.1,32.3,13.7,0.1,19.0,787775.0,167361.0,48.67,42.05,50.05,49.0,39.05,39.05,20.0,49.0,50.0,42.05,2.22,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:03,29.1,0.0,10.4,60.3,0.3,36.0,251509.0,59623.0,40.67,42.05,49.05,45.0,39.05,39.05,20.0,45.0,49.0,42.05,2.71,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:04,43.4,0.1,22.6,33.7,0.3,27.0,462872.0,78055.0,45.89,42.05,46.05,48.0,39.05,39.05,20.0,48.0,46.0,42.05,2.72,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:05,54.6,0.1,21.7,23.5,0.1,4.0,577743.0,110927.0,45.89,42.05,48.05,46.0,39.05,39.05,20.0,46.0,48.0,42.05,2.04,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:06,46.2,0.0,12.6,40.9,0.3,6.0,419531.0,59979.0,41.1,42.05,46.05,46.0,40.05,39.05,20.0,46.0,46.0,42.05,2.02,GHz,Ignition,sin_cargar_gui_no_gpu,powerstat,4,GUI Si,GPU No,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
