Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq,Simulador,Escenario,Medicion,Repeticion,GUI,GPU,Estado,timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks,real_time_factor,iterations,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
13:55:50,12.1,0.1,13.2,73.4,1.3,4.0,10114.0,11331.0,44.58,43.05,61.05,64.0,38.05,39.05,20.0,64.0,61.0,42.05,1.5,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:51,50.3,0.9,36.8,11.5,0.5,118.0,461697.0,59355.0,51.11,43.05,54.05,52.0,39.05,40.05,20.0,52.0,54.0,42.05,2.62,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:52,47.3,0.1,52.6,0.1,0.0,111.0,205892.0,51053.0,51.11,43.05,52.05,52.0,39.05,40.05,20.0,52.0,52.0,42.05,2.62,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:53,58.0,0.5,38.4,3.0,0.1,82.0,469515.0,97065.0,62.06,43.05,52.05,51.0,39.05,39.05,20.0,51.0,52.0,42.05,2.84,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:54,49.8,0.1,26.1,23.8,0.3,40.0,558718.0,118234.0,61.79,43.05,51.05,56.0,39.05,39.05,20.0,56.0,51.0,42.05,3.05,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:55,33.0,0.0,17.7,49.1,0.3,3.0,445711.0,100107.0,58.68,43.05,52.05,58.0,39.05,39.05,20.0,58.0,52.0,42.05,1.46,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:56,27.4,0.1,11.7,60.4,0.4,59.0,374994.0,67684.0,56.08,43.05,52.05,51.0,39.05,40.05,20.0,51.0,52.0,42.05,3.05,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:57,36.5,0.0,11.1,52.1,0.3,17.0,436115.0,57018.0,61.04,43.05,48.05,51.0,40.05,40.05,20.0,51.0,48.0,42.05,2.28,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:58,41.7,0.1,11.9,46.0,0.3,16.0,443287.0,60069.0,65.39,43.05,50.05,51.0,40.05,40.05,20.0,51.0,50.0,42.05,2.6,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:55:59,41.5,0.0,11.9,46.3,0.3,7.0,436380.0,59354.0,64.71,43.05,51.05,49.0,40.05,40.05,20.0,49.0,51.0,42.05,2.85,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
