timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-04 18:40:35,27.9,11.0,17.3,70.4,2.56,1.91,0.48,0.16,384,867,1
2025-07-04 18:40:36,27.3,11.7,15.4,71.3,2.37,1.91,0.48,0.16,386,887,6
2025-07-04 18:40:37,81.2,39.7,33.7,18.0,3.9,1.91,0.48,0.16,447,1779,3
2025-07-04 18:40:38,99.4,47.7,42.1,0.6,4.07,10.73,2.33,0.76,445,1764,7
2025-07-04 18:40:39,70.1,45.5,22.2,28.1,4.42,10.73,2.33,0.76,448,1833,2
2025-07-04 18:40:40,45.2,32.3,12.5,53.6,2.42,10.73,2.33,0.76,448,1855,0
2025-07-04 18:40:41,43.8,29.2,13.7,56.3,4.42,10.73,2.33,0.76,448,1857,0
2025-07-04 18:40:42,42.0,30.6,9.4,59.0,3.97,10.73,2.33,0.76,448,1857,2
2025-07-04 18:40:43,55.9,41.5,12.7,44.5,4.26,10.19,2.36,0.78,446,1834,0
2025-07-04 18:40:44,38.8,29.9,8.9,60.6,4.29,10.19,2.36,0.78,446,1834,0
2025-07-04 18:40:45,36.6,27.9,8.3,63.6,4.42,10.19,2.36,0.78,446,1835,0
2025-07-04 18:40:46,43.0,32.7,9.7,57.1,4.42,10.19,2.36,0.78,444,1832,2
2025-07-04 18:40:47,37.3,28.9,8.3,62.1,4.42,10.19,2.36,0.78,444,1832,0
2025-07-04 18:40:48,38.2,28.9,9.0,61.7,4.17,9.69,2.38,0.8,443,1827,2
2025-07-04 18:40:49,39.1,29.8,9.0,60.9,3.77,9.69,2.38,0.8,443,1827,0
2025-07-04 18:40:51,36.3,28.0,7.9,63.8,4.43,9.69,2.38,0.8,443,1827,1
2025-07-04 18:40:52,37.8,29.0,8.4,62.3,4.42,9.69,2.38,0.8,443,1827,4
2025-07-04 18:40:53,38.2,29.8,8.2,61.7,4.41,9.69,2.38,0.8,443,1827,2
2025-07-04 18:40:54,38.2,29.9,8.1,61.6,4.41,9.08,2.38,0.8,443,1827,0
2025-07-04 18:40:55,37.7,28.8,8.5,62.4,4.37,9.08,2.38,0.8,444,1831,1
2025-07-04 18:40:56,39.8,30.6,8.8,60.2,4.42,9.08,2.38,0.8,444,1831,0
2025-07-04 18:40:57,39.4,31.0,8.0,60.6,4.42,9.08,2.38,0.8,444,1831,0
2025-07-04 18:40:58,37.4,29.4,7.8,62.5,4.39,9.08,2.38,0.8,448,1835,1
2025-07-04 18:40:59,40.3,31.8,7.9,59.4,3.4,8.91,2.45,0.84,448,1835,2
2025-07-04 18:41:00,39.1,31.0,8.0,60.2,2.99,8.91,2.45,0.84,448,1835,2
2025-07-04 18:41:01,38.2,30.4,7.4,62.0,4.04,8.91,2.45,0.84,444,1831,1
2025-07-04 18:41:02,38.6,30.8,7.6,61.1,3.88,8.91,2.45,0.84,444,1831,3
2025-07-04 18:41:03,39.6,31.0,8.3,60.4,3.87,8.44,2.46,0.85,448,1835,1
2025-07-04 18:41:04,39.9,31.0,8.1,60.5,3.95,8.44,2.46,0.85,448,1833,3
2025-07-04 18:41:05,40.0,31.5,8.3,59.8,3.7,8.44,2.46,0.85,448,1833,2
2025-07-04 18:41:06,39.5,30.6,8.2,60.8,3.92,8.44,2.46,0.85,444,1829,0
2025-07-04 18:41:07,39.5,30.1,9.2,60.3,3.89,8.44,2.46,0.85,443,1825,0
2025-07-04 18:41:08,40.1,30.5,9.1,60.0,3.7,8.0,2.47,0.86,443,1825,0
2025-07-04 18:41:09,39.3,30.6,8.5,60.5,3.97,8.0,2.47,0.86,443,1824,1
2025-07-04 18:41:10,40.3,30.7,9.1,59.9,3.86,8.0,2.47,0.86,443,1824,2
2025-07-04 18:41:11,41.1,31.1,9.5,59.0,3.87,8.0,2.47,0.86,443,1824,0
2025-07-04 18:41:12,41.1,31.8,8.8,59.1,3.67,8.0,2.47,0.86,443,1824,0
2025-07-04 18:41:13,42.6,32.9,9.6,57.0,3.55,7.68,2.5,0.88,443,1824,2
2025-07-04 18:41:14,41.6,32.2,8.7,58.6,3.64,7.68,2.5,0.88,443,1824,2
2025-07-04 18:41:15,41.6,32.1,9.5,58.2,3.67,7.68,2.5,0.88,443,1824,1
2025-07-04 18:41:16,43.4,33.4,9.6,56.4,3.65,7.68,2.5,0.88,443,1830,2
2025-07-04 18:41:17,44.3,31.1,9.6,55.3,3.53,7.68,2.5,0.88,444,1830,1
2025-07-04 18:41:18,47.3,31.3,9.4,52.6,3.05,8.75,2.81,0.99,444,1830,6
2025-07-04 18:41:19,47.2,31.9,9.2,52.1,3.65,8.75,2.81,0.99,444,1830,2
2025-07-04 18:41:20,45.2,30.9,9.3,54.8,3.05,8.75,2.81,0.99,443,1831,1
2025-07-04 18:41:21,40.0,30.5,9.3,59.8,3.21,8.75,2.81,0.99,447,1834,0
2025-07-04 18:41:22,42.5,33.4,9.0,57.2,3.67,8.75,2.81,0.99,447,1834,0
2025-07-04 18:41:23,39.8,30.4,8.6,60.7,3.67,8.29,2.81,1.0,447,1834,2
2025-07-04 18:41:24,41.1,32.1,8.8,58.6,3.67,8.29,2.81,1.0,447,1834,3
2025-07-04 18:41:25,40.7,31.2,8.9,59.5,3.77,8.29,2.81,1.0,447,1834,0
2025-07-04 18:41:26,39.2,30.0,9.1,60.5,3.65,8.29,2.81,1.0,447,1834,2
2025-07-04 18:41:27,39.6,30.5,8.6,60.6,3.69,8.29,2.81,1.0,447,1834,0
2025-07-04 18:41:28,40.4,31.1,9.0,59.4,3.64,7.78,2.79,1.0,447,1834,0
2025-07-04 18:41:29,40.7,30.8,9.3,59.5,3.75,7.78,2.79,1.0,447,1834,3
2025-07-04 18:41:30,39.6,30.6,8.7,60.2,3.22,7.78,2.79,1.0,447,1834,1
