timestamp,real_time_factor,iterations
2025-07-04 19:02:08,0.0034,2
2025-07-04 19:02:09,0.0112,12
2025-07-04 19:02:10,0.8074,215
2025-07-04 19:02:11,0.7348,439
2025-07-04 19:02:12,0.5298,538
2025-07-04 19:02:13,0.5905,766
2025-07-04 19:02:14,0.7606,1004
2025-07-04 19:02:15,0.4415,1236
2025-07-04 19:02:16,0.6064,1470
2025-07-04 19:02:17,0.7293,1707
2025-07-04 19:02:18,0.8127,1948
2025-07-04 19:02:19,0.7365,2179
2025-07-04 19:02:20,0.8851,2420
2025-07-04 19:02:21,0.7602,2662
2025-07-04 19:02:22,0.5832,2900
2025-07-04 19:02:23,0.7008,3140
2025-07-04 19:02:24,0.6261,3378
2025-07-04 19:02:25,0.8023,3607
2025-07-04 19:02:26,0.6298,3823
2025-07-04 19:02:27,0.6357,4038
2025-07-04 19:02:28,0.7089,4250
2025-07-04 19:02:29,0.7488,4466
2025-07-04 19:02:30,0.6399,4680
2025-07-04 19:02:31,0.7318,4895
2025-07-04 19:02:32,0.608,5111
2025-07-04 19:02:33,0.5889,5326
2025-07-04 19:02:34,0.5571,5541
2025-07-04 19:02:35,0.6652,5756
2025-07-04 19:02:36,0.804,5972
2025-07-04 19:02:37,0.6979,6185
2025-07-04 19:02:38,0.4774,6393
2025-07-04 19:02:39,0.7468,6612
2025-07-04 19:02:40,0.7332,6829
2025-07-04 19:02:41,0.6194,7047
2025-07-04 19:02:42,0.5661,7261
2025-07-04 19:02:43,0.7519,7478
2025-07-04 19:02:44,0.5803,7694
2025-07-04 19:02:45,0.6292,7915
2025-07-04 19:02:46,0.6254,8132
2025-07-04 19:02:47,0.513,8344
2025-07-04 19:02:48,0.682,8559
2025-07-04 19:02:49,0.6222,8759
2025-07-04 19:02:50,0.6574,8955
2025-07-04 19:02:51,0.6064,9155
2025-07-04 19:02:52,0.5688,9369
2025-07-04 19:02:53,0.6262,9582
2025-07-04 19:02:54,0.6595,9802
2025-07-04 19:02:55,0.6609,10027
2025-07-04 19:02:56,0.7261,10253
2025-07-04 19:02:57,0.8145,10507
2025-07-04 19:02:58,0.8578,10768
2025-07-04 19:02:59,0.8543,11020
2025-07-04 19:03:00,0.7102,11271
2025-07-04 19:03:01,0.7555,11519
2025-07-04 19:03:02,0.7319,11771
2025-07-04 19:03:03,0.7607,12017
2025-07-04 19:03:04,0.7707,12266
2025-07-04 19:03:05,0.7804,12515
2025-07-04 19:03:06,0.7542,12760
2025-07-04 19:03:07,0.6695,13004
2025-07-04 19:03:08,0.7229,13245
2025-07-04 19:03:09,0.7393,13485
2025-07-04 19:03:10,0.6465,13723
2025-07-04 19:03:11,0.5529,13960
2025-07-04 19:03:12,0.59,14198
2025-07-04 19:03:13,0.717,14434
2025-07-04 19:03:14,0.772,14675
2025-07-04 19:03:15,0.7698,14915
2025-07-04 19:03:16,0.739,15160
2025-07-04 19:03:17,0.7478,15399
2025-07-04 19:03:18,0.7856,15629
2025-07-04 19:03:19,0.7291,15863
2025-07-04 19:03:20,0.6251,16097
2025-07-04 19:03:21,0.6841,16330
2025-07-04 19:03:22,0.6743,16566
2025-07-04 19:03:23,0.7315,16798
2025-07-04 19:03:24,0.6361,17033
2025-07-04 19:03:25,0.6479,17267
2025-07-04 19:03:26,0.7864,17499
2025-07-04 19:03:27,0.5842,17729
2025-07-04 19:03:28,0.6669,17957
2025-07-04 19:03:29,0.5498,18182
2025-07-04 19:03:30,0.7179,18404
2025-07-04 19:03:31,0.727,18632
2025-07-04 19:03:32,0.6254,18857
2025-07-04 19:03:33,0.6709,19075
2025-07-04 19:03:34,0.5416,19300
2025-07-04 19:03:35,0.7122,19524
2025-07-04 19:03:36,0.6521,19746
2025-07-04 19:03:37,0.4505,19945
2025-07-04 19:03:38,0.5436,20133
2025-07-04 19:03:39,0.4683,20312
2025-07-04 19:03:40,0.6538,20492
2025-07-04 19:03:41,0.6271,20670
2025-07-04 19:03:42,0.5477,20846
2025-07-04 19:03:43,0.4818,21026
2025-07-04 19:03:44,0.6946,21206
2025-07-04 19:03:45,0.6081,21383
2025-07-04 19:03:46,0.614,21561
2025-07-04 19:03:47,0.5586,21724
2025-07-04 19:03:48,0.4226,21858
2025-07-04 19:03:49,0.4106,21996
2025-07-04 19:03:50,0.5163,22132
2025-07-04 19:03:51,0.4588,22265
2025-07-04 19:03:52,0.3762,22406
2025-07-04 19:03:53,0.4205,22542
2025-07-04 19:03:54,0.3857,22679
2025-07-04 19:03:55,0.5056,22815
2025-07-04 19:03:56,0.5515,22967
2025-07-04 19:03:57,0.5419,23124
2025-07-04 19:03:58,0.5804,23299
2025-07-04 19:03:59,0.6545,23484
2025-07-04 19:04:00,0.4319,23668
2025-07-04 19:04:01,0.623,23860
2025-07-04 19:04:02,0.7783,24067
2025-07-04 19:04:03,0.5609,24268
2025-07-04 19:04:05,0.6499,24482
2025-07-04 19:04:06,0.5907,24698
2025-07-04 19:04:07,0.5697,24909
2025-07-04 19:04:08,0.7292,25136
2025-07-04 19:04:09,0.6005,25363
2025-07-04 19:04:10,0.5249,25580
2025-07-04 19:04:11,0.8477,25804
2025-07-04 19:04:12,0.6356,26028
2025-07-04 19:04:13,0.735,26252
2025-07-04 19:04:14,0.789,26476
2025-07-04 19:04:15,0.7298,26698
2025-07-04 19:04:16,0.628,26923
2025-07-04 19:04:17,0.6797,27148
2025-07-04 19:04:18,0.6642,27370
2025-07-04 19:04:19,0.591,27596
2025-07-04 19:04:20,0.5556,27816
2025-07-04 19:04:21,0.5957,28029
2025-07-04 19:04:22,0.6283,28239
2025-07-04 19:04:23,0.7111,28458
2025-07-04 19:04:24,0.6566,28678
2025-07-04 19:04:25,0.5949,28894
2025-07-04 19:04:26,0.5844,29113
2025-07-04 19:04:27,0.852,29360
