timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-04 19:09:46,18,15,6141,590.01,49
2025-07-04 19:09:48,1,38,6141,11.92,50
2025-07-04 19:09:50,8,249,6141,12.70,50
2025-07-04 19:09:51,33,281,6141,12.97,51
2025-07-04 19:09:52,30,405,6141,14.30,52
2025-07-04 19:09:53,47,463,6141,20.58,53
2025-07-04 19:09:54,43,461,6141,22.76,54
2025-07-04 19:09:55,44,461,6141,22.99,54
2025-07-04 19:09:56,45,461,6141,23.07,54
2025-07-04 19:09:57,46,461,6141,23.07,55
2025-07-04 19:09:58,43,461,6141,23.19,55
2025-07-04 19:09:59,43,461,6141,23.25,55
2025-07-04 19:10:00,43,457,6141,23.25,55
2025-07-04 19:10:01,46,457,6141,23.30,56
2025-07-04 19:10:02,45,457,6141,23.33,56
2025-07-04 19:10:03,44,457,6141,23.42,56
2025-07-04 19:10:04,44,457,6141,23.44,56
2025-07-04 19:10:05,45,457,6141,23.45,56
2025-07-04 19:10:06,47,458,6141,23.57,57
2025-07-04 19:10:07,44,458,6141,23.73,57
2025-07-04 19:10:08,45,458,6141,23.75,57
2025-07-04 19:10:09,43,458,6141,23.45,57
2025-07-04 19:10:10,46,458,6141,23.07,57
2025-07-04 19:10:11,43,458,6141,22.85,57
2025-07-04 19:10:12,41,458,6141,22.75,57
2025-07-04 19:10:13,42,458,6141,22.81,57
2025-07-04 19:10:14,46,458,6141,22.79,57
2025-07-04 19:10:15,42,458,6141,22.82,57
2025-07-04 19:10:16,43,458,6141,22.72,57
2025-07-04 19:10:17,41,457,6141,22.73,57
2025-07-04 19:10:18,45,457,6141,22.73,57
2025-07-04 19:10:19,43,457,6141,22.76,57
2025-07-04 19:10:20,43,457,6141,22.76,57
2025-07-04 19:10:21,31,457,6141,22.46,57
2025-07-04 19:10:22,26,457,6141,21.94,57
2025-07-04 19:10:23,29,457,6141,17.29,56
2025-07-04 19:10:24,31,457,6141,14.44,56
2025-07-04 19:10:25,33,457,6141,13.62,55
2025-07-04 19:10:26,34,457,6141,13.12,55
2025-07-04 19:10:27,34,457,6141,12.72,55
2025-07-04 19:10:28,35,457,6141,12.47,55
2025-07-04 19:10:29,37,457,6141,12.19,55
2025-07-04 19:10:30,37,457,6141,12.09,55
2025-07-04 19:10:32,38,457,6141,12.06,55
2025-07-04 19:10:33,39,457,6141,12.02,55
2025-07-04 19:10:34,39,457,6141,12.02,55
2025-07-04 19:10:35,38,457,6141,11.92,55
2025-07-04 19:10:36,40,457,6141,11.97,55
2025-07-04 19:10:37,41,457,6141,12.00,55
2025-07-04 19:10:38,40,457,6141,11.98,55
2025-07-04 19:10:39,38,457,6141,12.20,55
2025-07-04 19:10:40,38,457,6141,12.27,54
2025-07-04 19:10:41,39,457,6141,12.38,54
2025-07-04 19:10:42,38,457,6141,12.49,54
2025-07-04 19:10:43,37,457,6141,12.34,54
2025-07-04 19:10:44,38,457,6141,12.30,54
2025-07-04 19:10:45,38,457,6141,12.35,54
2025-07-04 19:10:46,38,457,6141,12.29,54
2025-07-04 19:10:47,39,457,6141,12.26,54
2025-07-04 19:10:48,38,457,6141,12.24,54
2025-07-04 19:10:49,40,457,6141,12.14,54
2025-07-04 19:10:50,39,457,6141,12.13,54
2025-07-04 19:10:51,38,457,6141,12.16,54
2025-07-04 19:10:52,39,457,6141,12.21,54
2025-07-04 19:10:53,37,457,6141,12.20,54
2025-07-04 19:10:54,36,457,6141,12.17,54
2025-07-04 19:10:55,39,457,6141,12.19,54
2025-07-04 19:10:56,39,457,6141,12.14,54
2025-07-04 19:10:57,36,457,6141,12.03,54
2025-07-04 19:10:58,38,457,6141,12.06,53
2025-07-04 19:10:59,39,457,6141,12.08,53
2025-07-04 19:11:00,39,457,6141,11.94,53
2025-07-04 19:11:01,39,457,6141,11.91,53
2025-07-04 19:11:02,40,457,6141,12.00,53
2025-07-04 19:11:03,40,457,6141,12.06,53
2025-07-04 19:11:04,39,457,6141,12.09,53
2025-07-04 19:11:05,39,457,6141,12.06,53
2025-07-04 19:11:06,39,457,6141,11.98,53
2025-07-04 19:11:07,38,457,6141,12.04,53
2025-07-04 19:11:08,39,457,6141,12.06,53
2025-07-04 19:11:09,40,457,6141,11.99,53
