timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-04 17:27:24,29.7,9.0,20.0,68.7,2.58,0.63,0.21,0.07,377,853,2
2025-07-04 17:27:25,26.6,10.1,16.4,71.9,2.7,0.63,0.21,0.07,377,877,5
2025-07-04 17:27:26,85.2,40.5,37.3,15.1,4.42,10.35,2.23,0.73,437,1784,6
2025-07-04 17:27:27,98.8,50.4,38.7,1.1,4.42,10.35,2.23,0.73,434,1797,6
2025-07-04 17:27:28,51.7,38.3,13.8,46.4,1.9,10.35,2.23,0.73,434,1863,1
2025-07-04 17:27:29,35.7,22.2,10.4,65.7,3.29,10.35,2.23,0.73,434,1870,1
2025-07-04 17:27:30,48.1,30.2,15.3,51.6,3.96,10.35,2.23,0.73,434,1906,3
2025-07-04 17:27:31,59.4,38.6,19.7,39.7,4.4,10.32,2.36,0.78,434,1906,1
2025-07-04 17:27:32,52.7,39.9,11.4,47.2,4.42,10.32,2.36,0.78,433,1884,2
2025-07-04 17:27:33,40.1,31.3,8.6,59.4,4.41,10.32,2.36,0.78,433,1884,2
2025-07-04 17:27:34,39.1,30.2,8.2,60.9,4.39,10.32,2.36,0.78,433,1884,3
2025-07-04 17:27:35,40.6,32.1,8.3,59.2,2.69,10.32,2.36,0.78,432,1882,2
2025-07-04 17:27:36,48.8,38.1,9.6,51.6,4.38,10.77,2.58,0.86,432,1881,3
2025-07-04 17:27:37,41.4,33.1,8.8,57.4,2.45,10.77,2.58,0.86,432,1881,1
2025-07-04 17:27:38,42.2,33.8,8.0,57.5,3.35,10.77,2.58,0.86,432,1881,1
2025-07-04 17:27:39,41.6,31.9,9.3,58.1,4.42,10.77,2.58,0.86,432,1881,0
2025-07-04 17:27:40,40.9,31.8,8.7,58.8,4.38,10.77,2.58,0.86,432,1881,6
2025-07-04 17:27:41,42.4,33.1,8.8,57.1,2.64,10.07,2.57,0.87,432,1881,0
2025-07-04 17:27:42,39.5,30.9,8.3,60.1,4.35,10.07,2.57,0.87,432,1881,0
2025-07-04 17:27:43,41.7,33.0,8.1,58.2,4.42,10.07,2.57,0.87,432,1881,2
2025-07-04 17:27:44,43.2,34.0,8.8,56.4,4.34,10.07,2.57,0.87,432,1881,5
2025-07-04 17:27:45,41.2,32.6,8.2,58.5,4.4,10.07,2.57,0.87,432,1883,0
2025-07-04 17:27:46,45.8,32.2,8.5,54.1,4.42,9.5,2.58,0.88,433,1885,1
2025-07-04 17:27:47,46.9,32.0,8.6,52.4,4.41,9.5,2.58,0.88,433,1885,1
2025-07-04 17:27:48,46.8,31.3,8.9,53.0,4.42,9.5,2.58,0.88,433,1885,3
2025-07-04 17:27:49,47.3,32.6,8.4,52.4,4.38,9.5,2.58,0.88,433,1885,3
2025-07-04 17:27:50,44.4,33.6,8.5,55.7,4.37,9.5,2.58,0.88,432,1885,0
2025-07-04 17:27:51,46.0,36.1,9.8,52.8,4.39,9.14,2.62,0.9,433,1888,0
2025-07-04 17:27:52,46.3,36.9,8.9,53.7,4.02,9.14,2.62,0.9,433,1889,0
2025-07-04 17:27:53,43.4,34.3,8.7,56.4,4.19,9.14,2.62,0.9,433,1889,2
2025-07-04 17:27:54,42.9,34.2,8.1,57.4,1.4,9.14,2.62,0.9,433,1889,1
2025-07-04 17:27:55,40.1,31.6,8.5,59.2,4.19,9.14,2.62,0.9,433,1889,1
2025-07-04 17:27:57,42.4,33.5,8.6,57.3,3.93,8.81,2.66,0.92,433,1889,2
2025-07-04 17:27:58,41.6,33.4,8.0,58.3,4.13,8.81,2.66,0.92,433,1889,1
2025-07-04 17:27:59,42.2,33.3,8.3,58.1,4.39,8.81,2.66,0.92,433,1889,3
2025-07-04 17:28:00,42.2,33.3,8.4,57.9,3.97,8.81,2.66,0.92,433,1889,0
2025-07-04 17:28:01,41.4,32.1,9.0,58.4,3.95,8.81,2.66,0.92,433,1886,1
2025-07-04 17:28:02,41.8,32.2,9.0,58.2,3.86,12.11,3.45,1.19,433,1886,1
2025-07-04 17:28:03,42.7,33.1,8.9,57.6,3.29,12.11,3.45,1.19,433,1886,1
2025-07-04 17:28:04,45.2,35.5,9.4,54.6,3.87,12.11,3.45,1.19,433,1886,1
2025-07-04 17:28:05,45.9,35.4,9.6,54.2,3.77,12.11,3.45,1.19,433,1886,3
2025-07-04 17:28:06,44.7,35.8,9.6,54.1,2.36,12.82,3.74,1.29,432,1883,1
2025-07-04 17:28:07,46.5,36.2,9.4,53.8,3.77,12.82,3.74,1.29,432,1883,4
2025-07-04 17:28:08,45.1,35.8,9.3,54.3,3.86,12.82,3.74,1.29,432,1883,0
2025-07-04 17:28:09,44.8,35.0,9.3,54.9,3.87,12.82,3.74,1.29,432,1883,0
2025-07-04 17:28:10,42.4,33.3,8.8,57.2,3.87,12.82,3.74,1.29,432,1883,2
2025-07-04 17:28:11,43.4,33.7,9.2,56.4,3.83,12.04,3.73,1.3,432,1883,1
2025-07-04 17:28:12,44.0,34.8,9.0,55.6,3.95,12.04,3.73,1.3,432,1883,1
2025-07-04 17:28:13,43.6,34.4,8.7,56.1,3.77,12.04,3.73,1.3,432,1883,0
2025-07-04 17:28:14,45.5,35.7,9.4,54.1,3.7,12.04,3.73,1.3,432,1883,1
2025-07-04 17:28:15,46.0,35.8,9.4,54.1,3.77,12.04,3.73,1.3,432,1883,0
2025-07-04 17:28:16,44.7,34.8,9.5,55.0,3.74,11.31,3.71,1.31,432,1883,1
2025-07-04 17:28:17,45.4,36.4,8.8,54.0,3.84,11.31,3.71,1.31,432,1883,3
2025-07-04 17:28:18,45.3,35.5,9.3,54.4,3.75,11.31,3.71,1.31,432,1883,0
2025-07-04 17:28:19,43.8,34.2,9.1,56.0,3.87,11.31,3.71,1.31,432,1882,1
2025-07-04 17:28:20,44.1,34.3,9.3,55.6,3.87,11.31,3.71,1.31,432,1882,2
2025-07-04 17:28:21,45.8,35.9,9.5,53.9,3.86,10.65,3.7,1.32,432,1880,0
2025-07-04 17:28:22,44.1,34.6,9.0,55.7,3.87,10.65,3.7,1.32,432,1880,1
2025-07-04 17:28:23,44.5,34.9,9.3,55.0,3.44,10.65,3.7,1.32,432,1880,0
2025-07-04 17:28:24,42.5,33.4,8.9,57.1,3.82,10.65,3.7,1.32,432,1880,0
2025-07-04 17:28:25,44.3,34.7,9.1,55.4,3.87,10.65,3.7,1.32,432,1880,1
2025-07-04 17:28:26,44.9,34.9,9.4,54.7,2.35,11.88,4.07,1.45,432,1880,0
2025-07-04 17:28:27,43.9,34.1,9.3,55.9,3.9,11.88,4.07,1.45,432,1880,3
2025-07-04 17:28:28,43.3,34.2,8.7,56.5,3.95,11.88,4.07,1.45,432,1880,2
2025-07-04 17:28:29,43.4,34.0,9.2,55.9,3.95,11.88,4.07,1.45,432,1880,3
2025-07-04 17:28:30,43.7,34.6,8.6,56.0,3.87,11.88,4.07,1.45,432,1880,1
2025-07-04 17:28:31,44.1,34.5,8.9,55.9,3.8,11.08,4.04,1.46,432,1880,3
2025-07-04 17:28:32,46.5,35.4,10.6,53.2,3.7,11.08,4.04,1.46,432,1880,3
2025-07-04 17:28:33,43.5,34.6,8.8,55.9,3.77,11.08,4.04,1.46,432,1880,0
2025-07-04 17:28:34,44.4,34.7,9.2,55.5,3.84,11.08,4.04,1.46,432,1880,0
2025-07-04 17:28:35,45.4,35.9,9.1,54.2,3.77,11.08,4.04,1.46,432,1880,1
2025-07-04 17:28:36,45.2,35.2,9.8,54.4,3.7,10.6,4.05,1.48,433,1882,2
2025-07-04 17:28:37,44.5,34.7,9.2,55.4,3.77,10.6,4.05,1.48,432,1880,5
2025-07-04 17:28:39,46.3,36.4,9.9,52.9,3.77,10.6,4.05,1.48,432,1880,2
2025-07-04 17:28:40,45.2,35.3,9.5,54.6,3.71,10.6,4.05,1.48,433,1881,2
2025-07-04 17:28:41,45.9,35.3,9.6,54.4,3.74,10.6,4.05,1.48,433,1881,4
2025-07-04 17:28:42,45.6,36.2,9.7,53.4,3.7,10.15,4.07,1.5,433,1882,2
2025-07-04 17:28:43,45.5,35.3,9.4,54.6,3.77,10.15,4.07,1.5,432,1880,2
2025-07-04 17:28:44,44.9,34.8,9.4,55.1,3.77,10.15,4.07,1.5,433,1881,5
2025-07-04 17:28:45,45.6,35.6,9.9,53.5,3.69,10.15,4.07,1.5,433,1888,0
2025-07-04 17:28:46,43.3,34.2,8.8,56.3,3.82,9.42,4.02,1.49,434,1888,3
2025-07-04 17:28:47,43.7,34.7,8.7,55.9,3.77,9.42,4.02,1.49,434,1888,3
