timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-04 20:19:48,17,15,6141,590.01,45
2025-07-04 20:19:51,0,28,6141,11.49,47
2025-07-04 20:19:52,21,55,6141,11.84,48
2025-07-04 20:19:53,45,147,6141,14.07,48
2025-07-04 20:19:54,27,204,6141,14.54,48
2025-07-04 20:19:55,26,204,6141,14.54,49
2025-07-04 20:19:56,26,204,6141,14.59,49
2025-07-04 20:19:57,25,204,6141,14.65,50
2025-07-04 20:19:58,29,204,6141,14.65,50
2025-07-04 20:19:59,25,204,6141,14.66,51
2025-07-04 20:20:00,25,204,6141,14.69,51
2025-07-04 20:20:01,27,204,6141,13.65,51
2025-07-04 20:20:02,27,204,6141,11.46,51
2025-07-04 20:20:03,28,204,6141,10.89,51
2025-07-04 20:20:04,32,204,6141,10.55,51
2025-07-04 20:20:05,30,206,6141,10.33,51
2025-07-04 20:20:06,30,206,6141,10.03,51
2025-07-04 20:20:07,27,206,6141,12.41,51
2025-07-04 20:20:08,33,206,6141,11.99,51
2025-07-04 20:20:09,33,206,6141,10.90,51
2025-07-04 20:20:10,32,206,6141,10.61,51
2025-07-04 20:20:11,31,206,6141,10.40,51
2025-07-04 20:20:12,71,206,6141,10.06,51
2025-07-04 20:20:13,27,206,6141,12.90,51
2025-07-04 20:20:14,27,206,6141,13.45,52
2025-07-04 20:20:15,31,206,6141,11.57,51
2025-07-04 20:20:16,30,206,6141,11.05,51
2025-07-04 20:20:17,32,206,6141,10.72,51
2025-07-04 20:20:18,36,206,6141,10.48,51
2025-07-04 20:20:19,35,206,6141,10.45,51
2025-07-04 20:20:20,35,206,6141,10.40,51
2025-07-04 20:20:21,29,206,6141,12.19,51
2025-07-04 20:20:22,29,206,6141,14.18,51
2025-07-04 20:20:23,31,206,6141,12.68,51
2025-07-04 20:20:24,31,206,6141,11.55,51
2025-07-04 20:20:26,34,206,6141,11.10,51
2025-07-04 20:20:27,33,206,6141,10.80,51
2025-07-04 20:20:28,33,206,6141,10.54,51
2025-07-04 20:20:29,33,206,6141,10.45,51
2025-07-04 20:20:30,37,206,6141,10.39,51
2025-07-04 20:20:31,27,206,6141,11.70,52
2025-07-04 20:20:32,28,206,6141,14.88,52
2025-07-04 20:20:33,32,206,6141,13.01,51
2025-07-04 20:20:34,32,206,6141,11.86,51
2025-07-04 20:20:35,32,206,6141,11.42,51
2025-07-04 20:20:36,32,206,6141,11.03,51
2025-07-04 20:20:37,35,206,6141,10.76,51
2025-07-04 20:20:38,34,206,6141,10.56,51
2025-07-04 20:20:39,35,206,6141,10.44,51
2025-07-04 20:20:40,38,206,6141,10.41,51
2025-07-04 20:20:41,28,206,6141,12.61,52
2025-07-04 20:20:42,28,206,6141,13.97,52
2025-07-04 20:20:43,31,206,6141,12.58,52
2025-07-04 20:20:44,34,206,6141,11.45,51
2025-07-04 20:20:45,31,206,6141,11.05,51
2025-07-04 20:20:46,34,206,6141,10.79,51
2025-07-04 20:20:47,23,206,6141,10.48,51
2025-07-04 20:20:48,30,206,6141,7.93,51
2025-07-04 20:20:49,32,206,6141,7.19,51
2025-07-04 20:20:50,32,206,6141,7.14,51
2025-07-04 20:20:51,38,206,6141,7.12,51
2025-07-04 20:20:52,32,206,6141,7.09,51
2025-07-04 20:20:53,34,206,6141,7.07,51
2025-07-04 20:20:54,35,206,6141,7.05,51
2025-07-04 20:20:55,36,206,6141,7.04,51
2025-07-04 20:20:56,34,206,6141,7.03,51
2025-07-04 20:20:57,38,206,6141,7.02,51
2025-07-04 20:20:58,36,206,6141,7.03,51
2025-07-04 20:20:59,38,206,6141,7.01,51
2025-07-04 20:21:00,38,206,6141,7.01,51
2025-07-04 20:21:01,37,206,6141,7.02,51
2025-07-04 20:21:02,35,206,6141,7.00,51
2025-07-04 20:21:03,37,206,6141,6.99,51
2025-07-04 20:21:04,37,206,6141,6.99,51
2025-07-04 20:21:06,41,206,6141,7.01,51
2025-07-04 20:21:07,31,206,6141,6.99,51
2025-07-04 20:21:08,38,206,6141,6.97,51
2025-07-04 20:21:09,40,206,6141,7.00,51
2025-07-04 20:21:10,43,206,6141,7.01,51
2025-07-04 20:21:11,39,206,6141,7.03,51
2025-07-04 20:21:12,37,206,6141,7.02,51
2025-07-04 20:21:13,37,206,6141,7.02,51
2025-07-04 20:21:14,38,206,6141,7.03,51
2025-07-04 20:21:15,36,206,6141,7.02,51
2025-07-04 20:21:16,36,206,6141,7.01,51
2025-07-04 20:21:17,39,206,6141,6.99,51
2025-07-04 20:21:18,38,206,6141,7.01,51
2025-07-04 20:21:19,38,206,6141,7.00,50
2025-07-04 20:21:20,39,206,6141,7.02,50
2025-07-04 20:21:21,34,206,6141,7.37,51
2025-07-04 20:21:22,21,206,6141,8.63,51
2025-07-04 20:21:23,31,206,6141,10.03,51
2025-07-04 20:21:24,32,206,6141,10.74,51
2025-07-04 20:21:25,39,206,6141,10.57,51
2025-07-04 20:21:26,33,206,6141,10.41,51
2025-07-04 20:21:27,28,206,6141,11.01,51
2025-07-04 20:21:28,28,206,6141,13.58,51
2025-07-04 20:21:29,30,206,6141,12.79,51
2025-07-04 20:21:30,30,206,6141,11.53,51
2025-07-04 20:21:31,31,206,6141,11.10,51
2025-07-04 20:21:32,32,206,6141,10.78,51
2025-07-04 20:21:33,33,206,6141,10.53,51
2025-07-04 20:21:34,33,206,6141,10.45,51
2025-07-04 20:21:35,35,206,6141,10.41,51
2025-07-04 20:21:36,32,206,6141,11.84,52
2025-07-04 20:21:37,28,206,6141,13.95,52
2025-07-04 20:21:38,29,206,6141,12.64,52
2025-07-04 20:21:39,30,206,6141,11.33,51
2025-07-04 20:21:40,33,206,6141,10.89,51
2025-07-04 20:21:41,32,206,6141,10.54,51
2025-07-04 20:21:42,32,206,6141,10.41,51
2025-07-04 20:21:43,30,206,6141,10.13,52
2025-07-04 20:21:44,30,206,6141,12.64,52
2025-07-04 20:21:46,29,206,6141,12.21,52
2025-07-04 20:21:47,30,206,6141,10.99,52
2025-07-04 20:21:48,36,206,6141,10.63,51
2025-07-04 20:21:49,33,206,6141,10.44,51
2025-07-04 20:21:50,87,206,6141,9.86,51
2025-07-04 20:21:51,27,206,6141,13.96,52
2025-07-04 20:21:52,32,206,6141,14.42,52
2025-07-04 20:21:53,30,206,6141,11.95,52
2025-07-04 20:21:54,30,206,6141,11.44,52
2025-07-04 20:21:55,34,206,6141,11.07,52
2025-07-04 20:21:56,34,206,6141,10.83,52
2025-07-04 20:21:57,33,206,6141,10.58,52
2025-07-04 20:21:58,32,206,6141,10.45,52
2025-07-04 20:21:59,14,206,6141,9.85,52
2025-07-04 20:22:00,14,206,6141,10.40,52
2025-07-04 20:22:01,30,206,6141,7.83,51
2025-07-04 20:22:02,34,206,6141,7.03,51
2025-07-04 20:22:03,34,206,6141,7.00,51
2025-07-04 20:22:04,37,206,6141,7.01,51
2025-07-04 20:22:05,38,206,6141,7.01,51
2025-07-04 20:22:06,36,206,6141,6.45,51
2025-07-04 20:22:07,37,206,6141,7.05,51
2025-07-04 20:22:08,33,206,6141,7.05,51
2025-07-04 20:22:09,37,206,6141,7.03,51
2025-07-04 20:22:10,37,206,6141,7.03,51
2025-07-04 20:22:11,35,206,6141,7.02,51
2025-07-04 20:22:12,35,206,6141,7.02,51
2025-07-04 20:22:13,39,206,6141,7.02,51
2025-07-04 20:22:14,38,206,6141,7.04,51
2025-07-04 20:22:15,37,206,6141,7.05,51
2025-07-04 20:22:16,38,206,6141,7.06,51
2025-07-04 20:22:17,40,206,6141,7.04,51
2025-07-04 20:22:18,36,206,6141,7.03,51
2025-07-04 20:22:19,36,206,6141,7.02,51
2025-07-04 20:22:20,35,206,6141,7.01,51
2025-07-04 20:22:21,43,206,6141,7.06,51
2025-07-04 20:22:22,34,206,6141,7.07,51
2025-07-04 20:22:24,35,206,6141,7.04,51
2025-07-04 20:22:25,35,206,6141,7.01,51
2025-07-04 20:22:26,40,206,6141,7.00,51
2025-07-04 20:22:27,32,206,6141,6.46,51
2025-07-04 20:22:28,32,206,6141,7.04,51
2025-07-04 20:22:29,36,206,6141,7.02,51
2025-07-04 20:22:30,34,206,6141,7.02,51
2025-07-04 20:22:31,48,206,6141,6.74,51
2025-07-04 20:22:32,32,206,6141,6.49,51
2025-07-04 20:22:33,39,206,6141,7.06,51
2025-07-04 20:22:34,35,206,6141,7.03,51
2025-07-04 20:22:35,57,206,6141,7.07,51
2025-07-04 20:22:36,33,206,6141,8.03,51
2025-07-04 20:22:37,90,206,6141,9.77,51
2025-07-04 20:22:38,28,206,6141,14.18,52
2025-07-04 20:22:39,29,206,6141,14.20,52
2025-07-04 20:22:40,30,206,6141,12.09,51
2025-07-04 20:22:41,33,206,6141,11.49,51
2025-07-04 20:22:42,32,206,6141,11.06,51
2025-07-04 20:22:43,33,206,6141,10.77,51
2025-07-04 20:22:44,32,206,6141,10.53,51
2025-07-04 20:22:45,35,206,6141,10.48,51
2025-07-04 20:22:46,55,206,6141,10.07,51
2025-07-04 20:22:47,27,206,6141,14.73,52
2025-07-04 20:22:48,32,206,6141,14.18,52
2025-07-04 20:22:49,29,206,6141,11.85,52
2025-07-04 20:22:50,30,206,6141,11.27,52
2025-07-04 20:22:51,31,206,6141,10.89,52
2025-07-04 20:22:52,34,206,6141,10.56,52
2025-07-04 20:22:53,33,206,6141,10.44,52
2025-07-04 20:22:54,28,206,6141,11.41,52
2025-07-04 20:22:55,31,206,6141,14.03,52
2025-07-04 20:22:56,29,206,6141,12.97,52
2025-07-04 20:22:57,30,206,6141,11.56,52
2025-07-04 20:22:58,33,206,6141,11.12,52
2025-07-04 20:22:59,34,206,6141,10.86,52
2025-07-04 20:23:00,32,206,6141,10.61,52
2025-07-04 20:23:01,32,206,6141,10.48,52
2025-07-04 20:23:02,28,206,6141,10.90,52
2025-07-04 20:23:04,29,206,6141,14.92,53
2025-07-04 20:23:05,29,206,6141,13.72,52
2025-07-04 20:23:06,29,206,6141,11.73,52
2025-07-04 20:23:07,34,206,6141,11.14,52
2025-07-04 20:23:08,31,206,6141,10.76,52
2025-07-04 20:23:09,31,206,6141,10.50,52
2025-07-04 20:23:10,32,206,6141,10.42,52
2025-07-04 20:23:11,29,206,6141,13.42,53
2025-07-04 20:23:12,28,206,6141,14.43,53
2025-07-04 20:23:13,20,206,6141,12.52,52
2025-07-04 20:23:14,15,206,6141,11.03,52
2025-07-04 20:23:15,30,206,6141,9.17,52
2025-07-04 20:23:16,31,206,6141,7.22,52
2025-07-04 20:23:17,27,206,6141,7.14,52
2025-07-04 20:23:18,35,206,6141,7.11,52
2025-07-04 20:23:19,30,206,6141,7.09,52
2025-07-04 20:23:20,32,206,6141,7.07,52
2025-07-04 20:23:21,31,206,6141,7.05,52
2025-07-04 20:23:22,32,206,6141,7.04,52
2025-07-04 20:23:23,33,206,6141,7.03,52
2025-07-04 20:23:24,33,206,6141,7.01,52
2025-07-04 20:23:25,37,206,6141,6.50,51
2025-07-04 20:23:26,34,206,6141,7.04,51
2025-07-04 20:23:27,38,206,6141,7.03,51
2025-07-04 20:23:28,36,206,6141,7.02,51
2025-07-04 20:23:29,39,206,6141,7.03,51
