timestamp,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
2025-07-04 20:19:48,15695.24,1991.73,13132.36,16.3,11011.64,1847.97,1295.91,244.65,2447.21,2048.0,0.0,2048.0
2025-07-04 20:19:49,15695.24,2145.93,12969.24,17.4,10816.69,1955.59,1320.64,260.93,2471.7,2048.0,0.0,2048.0
2025-07-04 20:19:50,15695.24,2731.12,12350.22,21.3,10069.48,2843.51,1330.51,265.02,2629.62,2048.0,0.0,2048.0
2025-07-04 20:19:51,15695.24,2951.27,12130.0,22.7,9825.77,3081.66,1334.31,267.34,2650.86,2048.0,0.0,2048.0
2025-07-04 20:19:52,15695.24,3279.05,11745.71,25.2,9395.11,3409.39,1360.84,267.41,2753.66,2048.0,0.0,2048.0
2025-07-04 20:19:53,15695.24,3834.57,11153.5,28.9,8777.23,3592.77,1362.54,268.14,2815.31,2048.0,0.0,2048.0
2025-07-04 20:19:54,15695.24,3866.91,11132.41,29.1,8754.18,3738.96,1364.04,268.14,2806.02,2048.0,0.0,2048.0
2025-07-04 20:19:55,15695.24,3843.68,11206.25,28.6,8827.92,3745.22,1364.07,268.14,2755.5,2048.0,0.0,2048.0
2025-07-04 20:19:56,15695.24,3840.79,11209.06,28.6,8830.29,3748.07,1364.42,268.14,2756.03,2048.0,0.0,2048.0
2025-07-04 20:19:57,15695.24,3842.35,11208.04,28.6,8828.7,3748.5,1364.98,268.15,2756.04,2048.0,0.0,2048.0
2025-07-04 20:19:58,15695.24,3834.33,11215.91,28.5,8836.08,3739.25,1365.49,268.15,2756.68,2048.0,0.0,2048.0
2025-07-04 20:19:59,15695.24,3864.79,11201.17,28.6,8820.59,3739.12,1366.23,268.15,2741.71,2048.0,0.0,2048.0
2025-07-04 20:20:00,15695.24,3842.32,11223.63,28.5,8842.59,3741.77,1366.68,268.17,2742.15,2048.0,0.0,2048.0
2025-07-04 20:20:01,15695.24,3883.61,11182.32,28.8,8801.15,3739.05,1366.79,268.17,2742.3,2048.0,0.0,2048.0
2025-07-04 20:20:02,15695.24,3839.02,11226.98,28.5,8845.17,3739.18,1367.42,268.17,2742.87,2048.0,0.0,2048.0
2025-07-04 20:20:03,15695.24,3826.57,11239.36,28.4,8857.05,3739.36,1367.92,268.17,2743.45,2048.0,0.0,2048.0
2025-07-04 20:20:04,15695.24,3847.11,11218.85,28.5,8836.51,3739.45,1367.94,268.17,2743.45,2048.0,0.0,2048.0
2025-07-04 20:20:05,15695.24,3848.43,11217.59,28.5,8833.97,3746.81,1368.51,268.18,2744.66,2048.0,0.0,2048.0
2025-07-04 20:20:06,15695.24,3823.34,11242.8,28.4,8858.59,3711.84,1368.7,268.18,2745.12,2048.0,0.0,2048.0
2025-07-04 20:20:07,15695.24,3813.27,11252.12,28.3,8867.91,3711.7,1368.71,268.18,2745.88,2048.0,0.0,2048.0
2025-07-04 20:20:08,15695.24,3780.07,11284.51,28.1,8900.29,3662.43,1368.71,268.18,2746.7,2048.0,0.0,2048.0
2025-07-04 20:20:09,15695.24,3780.36,11284.29,28.1,8900.05,3684.48,1368.72,268.19,2746.64,2048.0,0.0,2048.0
2025-07-04 20:20:10,15695.24,3793.96,11287.66,28.1,8903.42,3684.38,1368.73,268.2,2729.66,2048.0,0.0,2048.0
2025-07-04 20:20:11,15695.24,3774.96,11306.66,28.0,8922.42,3684.88,1368.73,268.2,2729.66,2048.0,0.0,2048.0
2025-07-04 20:20:12,15695.24,3794.71,11278.84,28.1,8894.6,3684.12,1368.73,268.2,2737.74,2048.0,0.0,2048.0
2025-07-04 20:20:13,15695.24,3779.28,11302.27,28.0,8918.03,3684.55,1368.73,268.2,2729.74,2048.0,0.0,2048.0
2025-07-04 20:20:14,15695.24,3808.32,11273.22,28.2,8888.98,3684.88,1368.73,268.2,2729.74,2048.0,0.0,2048.0
2025-07-04 20:20:15,15695.24,3785.52,11296.02,28.0,8911.77,3685.02,1368.74,268.2,2729.74,2048.0,0.0,2048.0
2025-07-04 20:20:16,15695.24,3797.79,11283.75,28.1,8899.5,3685.07,1368.74,268.2,2729.74,2048.0,0.0,2048.0
2025-07-04 20:20:17,15695.24,3811.3,11262.19,28.2,8877.57,3695.0,1368.74,268.2,2738.16,2048.0,0.0,2048.0
2025-07-04 20:20:18,15695.24,3808.14,11265.31,28.2,8880.42,3690.5,1368.74,268.2,2738.48,2048.0,0.0,2048.0
