timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-04 19:47:36,29.0,11.1,17.6,69.3,1.78,0.92,0.22,0.07,382,861,3
2025-07-04 19:47:37,24.8,11.8,12.7,73.9,2.82,0.92,0.22,0.07,381,878,1
2025-07-04 19:47:38,87.6,43.7,35.1,13.6,4.12,1.09,0.27,0.09,439,1751,3
2025-07-04 19:47:39,91.5,46.4,38.1,6.8,2.24,1.09,0.27,0.09,436,1769,1
2025-07-04 19:47:40,54.4,34.0,17.5,45.2,1.18,1.09,0.27,0.09,436,1810,2
2025-07-04 19:47:41,24.2,15.4,7.6,75.4,4.36,1.09,0.27,0.09,435,1847,0
2025-07-04 19:47:42,36.3,27.5,7.8,63.9,4.09,1.56,0.38,0.13,435,1847,2
2025-07-04 19:47:43,38.9,30.7,7.7,61.1,4.41,1.56,0.38,0.13,435,1846,2
2025-07-04 19:47:44,37.3,29.9,7.4,62.0,4.07,1.56,0.38,0.13,434,1844,2
2025-07-04 19:47:45,37.5,30.0,7.0,62.5,4.16,1.56,0.38,0.13,434,1844,2
2025-07-04 19:47:46,38.8,31.1,7.4,61.0,4.21,1.56,0.38,0.13,434,1844,2
2025-07-04 19:47:48,37.4,30.1,7.8,61.6,4.29,1.84,0.46,0.15,433,1843,2
2025-07-04 19:47:49,36.8,29.1,6.9,63.4,4.42,1.84,0.46,0.15,433,1843,2
2025-07-04 19:47:50,35.3,28.7,6.7,63.9,4.19,1.84,0.46,0.15,432,1842,1
2025-07-04 19:47:51,47.6,33.8,11.6,54.0,4.0,1.84,0.46,0.15,432,1842,1
2025-07-04 19:47:52,38.7,31.6,7.9,59.6,4.23,4.49,1.03,0.34,431,1819,1
2025-07-04 19:47:53,25.0,18.8,5.7,74.7,4.42,4.49,1.03,0.34,432,1821,1
2025-07-04 19:47:54,25.7,19.3,5.8,74.2,4.42,4.49,1.03,0.34,431,1819,0
2025-07-04 19:47:55,35.3,27.2,7.9,64.3,4.35,4.49,1.03,0.34,431,1817,1
2025-07-04 19:47:56,29.3,22.3,6.8,70.3,2.87,4.49,1.03,0.34,431,1816,1
2025-07-04 19:47:57,26.1,19.7,5.9,73.7,1.86,4.13,1.02,0.34,431,1816,3
2025-07-04 19:47:58,25.4,19.2,5.9,74.3,3.82,4.13,1.02,0.34,431,1816,2
2025-07-04 19:47:59,24.5,18.6,5.6,75.0,3.06,4.13,1.02,0.34,431,1816,0
2025-07-04 19:48:00,27.7,21.0,6.3,72.2,3.44,4.13,1.02,0.34,431,1816,0
2025-07-04 19:48:01,26.9,20.5,6.4,72.5,4.01,4.13,1.02,0.34,431,1816,1
2025-07-04 19:48:02,25.2,18.8,5.9,74.7,3.61,4.04,1.05,0.35,431,1816,0
2025-07-04 19:48:03,25.2,19.0,5.8,74.4,3.63,4.04,1.05,0.35,431,1819,0
2025-07-04 19:48:04,25.9,20.3,5.5,73.5,3.55,4.04,1.05,0.35,431,1819,1
2025-07-04 19:48:05,24.5,18.3,5.3,75.6,0.95,4.04,1.05,0.35,431,1819,1
2025-07-04 19:48:06,24.1,18.6,5.5,75.2,2.4,4.04,1.05,0.35,431,1819,1
2025-07-04 19:48:07,22.8,17.4,5.3,76.5,3.95,4.6,1.21,0.41,431,1819,2
2025-07-04 19:48:08,28.4,21.9,5.9,71.5,3.14,4.6,1.21,0.41,431,1819,1
2025-07-04 19:48:09,27.5,21.3,5.8,72.3,2.87,4.6,1.21,0.41,431,1819,0
2025-07-04 19:48:10,26.9,20.2,6.5,72.7,4.31,4.6,1.21,0.41,431,1819,2
2025-07-04 19:48:11,26.1,19.4,6.1,73.8,4.16,4.6,1.21,0.41,431,1819,1
2025-07-04 19:48:12,27.3,21.7,5.5,72.2,4.29,5.19,1.39,0.48,431,1819,0
2025-07-04 19:48:14,26.5,20.1,5.7,73.4,2.3,5.19,1.39,0.48,431,1819,2
2025-07-04 19:48:15,25.1,18.9,6.0,74.3,3.78,5.19,1.39,0.48,431,1819,2
2025-07-04 19:48:16,25.1,19.3,5.7,74.3,3.64,5.19,1.39,0.48,431,1819,0
2025-07-04 19:48:17,25.0,18.7,5.5,75.0,1.55,5.19,1.39,0.48,431,1819,0
2025-07-04 19:48:18,22.9,17.4,5.5,76.3,3.11,4.78,1.37,0.47,431,1819,1
2025-07-04 19:48:19,22.2,17.1,4.8,77.3,3.54,4.78,1.37,0.47,431,1819,0
2025-07-04 19:48:20,24.5,18.2,5.7,75.3,4.42,4.78,1.37,0.47,432,1828,1
2025-07-04 19:48:21,25.1,18.4,5.7,74.6,3.92,4.78,1.37,0.47,432,1826,2
2025-07-04 19:48:22,35.3,22.3,6.6,64.5,3.65,4.78,1.37,0.47,432,1825,3
2025-07-04 19:48:23,34.7,21.8,6.4,65.1,3.59,4.88,1.45,0.5,432,1825,1
2025-07-04 19:48:24,30.1,19.4,6.6,69.0,3.96,4.88,1.45,0.5,431,1826,0
2025-07-04 19:48:25,26.0,19.8,5.2,74.2,2.28,4.88,1.45,0.5,431,1825,4
2025-07-04 19:48:26,24.3,18.5,5.9,74.8,4.4,4.88,1.45,0.5,431,1825,0
2025-07-04 19:48:27,25.8,19.6,5.5,74.1,3.7,4.72,1.47,0.52,431,1825,0
2025-07-04 19:48:28,26.2,20.1,6.1,73.1,2.85,4.72,1.47,0.52,431,1825,0
2025-07-04 19:48:29,26.1,19.2,6.5,73.6,3.78,4.72,1.47,0.52,431,1825,1
2025-07-04 19:48:30,27.6,21.3,6.0,72.0,4.25,4.72,1.47,0.52,431,1825,1
2025-07-04 19:48:31,26.5,20.2,5.8,73.4,4.38,4.72,1.47,0.52,431,1825,1
2025-07-04 19:48:32,25.4,19.3,5.8,74.1,3.77,4.35,1.45,0.51,431,1825,0
2025-07-04 19:48:33,25.7,19.6,5.7,74.0,4.02,4.35,1.45,0.51,431,1825,1
2025-07-04 19:48:34,26.9,20.8,5.8,72.8,4.4,4.35,1.45,0.51,431,1825,0
2025-07-04 19:48:35,26.0,19.8,5.7,73.9,4.32,4.35,1.45,0.51,431,1825,1
2025-07-04 19:48:36,24.8,18.8,5.8,74.6,3.45,4.35,1.45,0.51,431,1822,0
2025-07-04 19:48:37,22.2,17.0,5.0,77.4,2.81,4.32,1.49,0.53,431,1822,0
2025-07-04 19:48:38,28.7,22.0,6.4,70.8,3.55,4.32,1.49,0.53,431,1822,1
2025-07-04 19:48:39,26.7,20.1,6.2,73.1,3.13,4.32,1.49,0.53,431,1820,1
2025-07-04 19:48:40,25.8,19.5,5.7,74.1,4.06,4.32,1.49,0.53,431,1820,0
2025-07-04 19:48:41,29.1,22.1,6.8,70.6,4.09,4.32,1.49,0.53,431,1820,1
2025-07-04 19:48:42,24.0,18.4,5.4,75.6,2.4,5.17,1.72,0.61,431,1820,3
2025-07-04 19:48:43,24.0,18.3,5.5,75.6,3.83,5.17,1.72,0.61,431,1820,1
2025-07-04 19:48:44,22.9,17.2,5.3,76.8,4.35,5.17,1.72,0.61,431,1820,0
2025-07-04 19:48:45,21.7,16.3,5.0,78.0,2.54,5.17,1.72,0.61,431,1820,0
2025-07-04 19:48:46,22.6,17.0,5.3,77.2,2.54,5.17,1.72,0.61,431,1820,1
2025-07-04 19:48:47,22.1,16.3,5.1,77.9,4.12,4.76,1.69,0.61,431,1820,2
2025-07-04 19:48:48,22.4,17.2,5.1,77.1,4.4,4.76,1.69,0.61,431,1820,0
2025-07-04 19:48:49,22.0,16.4,5.2,77.8,3.69,4.76,1.69,0.61,431,1820,0
2025-07-04 19:48:50,22.3,16.0,5.5,77.6,3.86,4.76,1.69,0.61,431,1820,0
2025-07-04 19:48:51,20.8,15.7,5.1,78.6,3.9,4.76,1.69,0.61,431,1820,2
2025-07-04 19:48:52,21.8,16.4,5.3,77.7,1.85,4.38,1.66,0.6,431,1820,1
2025-07-04 19:48:53,22.3,16.4,5.5,77.4,4.18,4.38,1.66,0.6,431,1820,0
2025-07-04 19:48:54,21.9,16.3,5.3,77.8,3.47,4.38,1.66,0.6,431,1820,0
2025-07-04 19:48:55,21.7,16.1,5.1,78.1,3.34,4.38,1.66,0.6,431,1820,2
2025-07-04 19:48:56,22.0,15.8,5.3,78.2,4.4,4.38,1.66,0.6,431,1820,0
2025-07-04 19:48:57,25.5,20.2,5.5,73.9,2.05,4.11,1.65,0.61,431,1820,0
2025-07-04 19:48:58,26.0,19.9,5.7,73.9,3.16,4.11,1.65,0.61,431,1820,0
2025-07-04 19:48:59,25.7,19.5,5.8,74.0,3.43,4.11,1.65,0.61,431,1820,0
2025-07-04 19:49:00,25.5,19.6,5.6,74.2,0.93,4.11,1.65,0.61,431,1820,2
2025-07-04 19:49:01,24.5,18.5,5.4,75.6,3.66,4.11,1.65,0.61,431,1820,0
2025-07-04 19:49:02,25.5,19.2,6.0,74.3,4.35,3.78,1.62,0.6,431,1820,3
2025-07-04 19:49:03,21.0,16.3,4.8,78.4,4.08,3.78,1.62,0.6,431,1818,0
2025-07-04 19:49:04,24.5,18.5,5.5,75.3,4.42,3.78,1.62,0.6,431,1820,1
2025-07-04 19:49:05,28.1,21.6,6.0,71.8,4.23,3.78,1.62,0.6,431,1820,0
2025-07-04 19:49:06,26.7,20.5,5.9,73.0,4.37,3.78,1.62,0.6,431,1820,0
2025-07-04 19:49:07,25.9,19.7,5.9,73.8,3.62,3.56,1.61,0.6,431,1820,0
2025-07-04 19:49:08,24.6,18.9,5.3,75.1,3.63,3.56,1.61,0.6,432,1822,3
2025-07-04 19:49:09,23.9,18.6,5.0,75.8,4.14,3.56,1.61,0.6,431,1820,0
2025-07-04 19:49:10,24.2,18.5,5.3,75.5,4.41,3.56,1.61,0.6,431,1821,1
2025-07-04 19:49:11,22.3,16.9,5.1,77.4,4.38,3.56,1.61,0.6,431,1821,0
2025-07-04 19:49:12,21.5,16.1,5.2,78.1,3.39,3.43,1.62,0.61,431,1821,2
2025-07-04 19:49:13,22.5,16.7,5.3,77.3,2.76,3.43,1.62,0.61,431,1821,0
2025-07-04 19:49:15,22.6,17.4,4.9,77.1,3.52,3.43,1.62,0.61,431,1821,1
2025-07-04 19:49:16,21.9,16.3,5.0,78.0,0.79,3.43,1.62,0.61,431,1821,0
2025-07-04 19:49:17,23.4,18.0,5.3,76.0,3.73,3.43,1.62,0.61,431,1821,2
2025-07-04 19:49:18,29.2,22.6,6.0,70.8,4.41,3.8,1.72,0.65,431,1821,2
2025-07-04 19:49:19,25.6,19.7,5.6,74.2,3.36,3.8,1.72,0.65,431,1821,0
2025-07-04 19:49:20,25.6,19.3,6.0,74.0,4.32,3.8,1.72,0.65,432,1829,2
2025-07-04 19:49:21,27.1,21.0,5.6,72.7,4.15,3.8,1.72,0.65,432,1827,1
2025-07-04 19:49:22,25.9,20.3,5.7,73.5,3.2,3.8,1.72,0.65,432,1827,0
2025-07-04 19:49:23,23.9,18.3,5.3,75.7,2.88,3.97,1.79,0.68,432,1827,1
2025-07-04 19:49:24,25.4,18.9,5.5,75.1,2.96,3.97,1.79,0.68,432,1827,0
2025-07-04 19:49:25,26.4,20.4,5.7,73.2,4.18,3.97,1.79,0.68,432,1827,2
2025-07-04 19:49:26,24.5,19.2,5.3,74.8,2.3,3.97,1.79,0.68,432,1827,2
2025-07-04 19:49:27,25.6,19.3,5.8,74.3,1.57,3.82,1.8,0.69,432,1827,1
2025-07-04 19:49:28,24.0,18.8,5.1,75.3,4.24,3.82,1.8,0.69,432,1827,1
2025-07-04 19:49:29,27.8,21.0,6.3,72.0,4.18,3.82,1.8,0.69,432,1827,0
2025-07-04 19:49:30,27.7,21.2,6.1,71.9,4.39,3.82,1.8,0.69,432,1827,3
2025-07-04 19:49:31,24.9,19.4,5.2,74.8,4.35,3.82,1.8,0.69,432,1827,2
2025-07-04 19:49:32,25.9,19.8,5.6,73.9,1.91,4.31,1.93,0.74,432,1827,0
2025-07-04 19:49:33,23.7,18.2,5.1,75.8,3.33,4.31,1.93,0.74,432,1827,1
2025-07-04 19:49:34,24.9,19.2,5.4,74.7,3.92,4.31,1.93,0.74,432,1827,0
2025-07-04 19:49:35,24.8,18.6,5.7,74.9,2.42,4.31,1.93,0.74,432,1827,4
2025-07-04 19:49:36,24.6,18.9,5.4,74.8,4.24,4.31,1.93,0.74,432,1825,3
2025-07-04 19:49:37,29.2,22.7,5.9,70.8,4.09,4.13,1.94,0.75,432,1825,2
2025-07-04 19:49:38,28.1,21.9,5.6,71.8,4.4,4.13,1.94,0.75,432,1825,0
2025-07-04 19:49:39,24.5,19.2,5.3,74.8,4.42,4.13,1.94,0.75,432,1825,0
2025-07-04 19:49:40,24.0,18.5,5.2,75.5,4.03,4.13,1.94,0.75,432,1825,1
2025-07-04 19:49:41,24.7,18.9,5.5,74.8,3.61,4.13,1.94,0.75,432,1825,1
2025-07-04 19:49:42,28.3,21.7,6.0,71.8,0.9,4.12,1.97,0.76,432,1825,1
