timestamp,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
2025-07-05 14:07:57,15695.24,1961.94,13163.83,16.1,10993.87,1884.32,1297.52,242.94,2496.5,2048.0,0.0,2048.0
2025-07-05 14:07:58,15695.24,1984.6,13133.48,16.3,10961.35,1908.43,1298.07,242.98,2506.31,2048.0,0.0,2048.0
2025-07-05 14:07:59,15695.24,1677.0,13457.17,14.3,11284.88,1893.0,1298.07,242.98,2490.38,2048.0,0.0,2048.0
2025-07-05 14:08:00,15695.24,1685.4,13448.83,14.3,11276.54,1891.79,1298.07,242.98,2490.32,2048.0,0.0,2048.0
2025-07-05 14:08:01,15695.24,1713.55,13424.7,14.5,11252.41,1891.74,1298.08,242.98,2486.3,2048.0,0.0,2048.0
2025-07-05 14:08:02,15695.24,1719.93,13418.32,14.5,11246.02,1892.09,1298.1,243.0,2486.3,2048.0,0.0,2048.0
2025-07-05 14:08:03,15695.24,1729.23,13409.09,14.6,11236.79,1891.09,1298.1,243.0,2486.23,2048.0,0.0,2048.0
2025-07-05 14:08:04,15695.24,1740.38,13397.93,14.6,11225.63,1891.26,1298.1,243.0,2486.23,2048.0,0.0,2048.0
2025-07-05 14:08:05,15695.24,1740.2,13398.11,14.6,11225.81,1892.42,1298.1,243.0,2486.23,2048.0,0.0,2048.0
2025-07-05 14:08:06,15695.24,1745.07,13393.21,14.7,11220.92,1906.68,1298.1,243.02,2486.24,2048.0,0.0,2048.0
2025-07-05 14:08:07,15695.24,1726.67,13411.6,14.5,11239.31,1892.59,1298.1,243.02,2486.25,2048.0,0.0,2048.0
2025-07-05 14:08:08,15695.24,1728.13,13410.16,14.6,11237.84,1885.75,1298.12,243.02,2486.25,2048.0,0.0,2048.0
2025-07-05 14:08:09,15695.24,1719.73,13418.59,14.5,11246.12,1886.92,1298.14,243.03,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:10,15695.24,1668.44,13469.88,14.2,11297.41,1834.5,1298.14,243.03,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:11,15695.24,1678.68,13459.64,14.2,11287.18,1834.5,1298.14,243.03,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:12,15695.24,1657.84,13480.47,14.1,11308.01,1834.5,1298.14,243.03,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:13,15695.24,1670.56,13467.75,14.2,11295.29,1835.27,1298.14,243.03,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:14,15695.24,1660.18,13478.12,14.1,11305.66,1835.3,1298.14,243.04,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:15,15695.24,1666.81,13471.49,14.2,11299.03,1835.36,1298.14,243.04,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:16,15695.24,1671.16,13467.15,14.2,11294.69,1835.36,1298.14,243.04,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:17,15695.24,1674.09,13464.22,14.2,11291.76,1834.53,1298.14,243.04,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:18,15695.24,1669.5,13468.8,14.2,11296.34,1834.5,1298.14,243.04,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:19,15695.24,1678.69,13459.62,14.2,11287.16,1834.5,1298.15,243.04,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:20,15695.24,1682.41,13455.89,14.3,11283.43,1834.5,1298.15,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:21,15695.24,1686.61,13451.69,14.3,11279.22,1834.38,1298.15,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:22,15695.24,1690.17,13448.14,14.3,11275.67,1834.41,1298.15,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:23,15695.24,1673.15,13465.17,14.2,11292.69,1833.4,1298.16,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:24,15695.24,1664.11,13474.21,14.2,11301.73,1833.4,1298.16,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:25,15695.24,1661.95,13476.37,14.1,11303.88,1833.4,1298.16,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:26,15695.24,1657.36,13480.95,14.1,11308.47,1833.4,1298.16,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:27,15695.24,1649.96,13488.36,14.1,11315.88,1833.4,1298.16,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:28,15695.24,1641.25,13496.56,14.0,11324.08,1833.4,1298.16,243.05,2486.86,2048.0,0.0,2048.0
2025-07-05 14:08:29,15695.24,1644.16,13494.17,14.0,11321.68,1833.42,1298.17,243.05,2486.36,2048.0,0.0,2048.0
2025-07-05 14:08:30,15695.24,1634.16,13504.15,14.0,11331.06,1838.74,1298.28,243.07,2486.94,2048.0,0.0,2048.0
2025-07-05 14:08:31,15695.24,1712.12,13426.19,14.5,11252.89,1923.25,1298.38,243.07,2487.16,2048.0,0.0,2048.0
2025-07-05 14:08:32,15695.24,1806.75,13331.57,15.1,11158.28,2011.68,1298.36,243.07,2487.14,2048.0,0.0,2048.0
2025-07-05 14:08:33,15695.24,1722.38,13415.9,14.5,11242.39,1838.45,1298.48,243.22,2487.26,2048.0,0.0,2048.0
2025-07-05 14:08:34,15695.24,1738.25,13400.01,14.6,11225.95,1838.33,1298.96,243.24,2487.8,2048.0,0.0,2048.0
2025-07-05 14:08:35,15695.24,1736.19,13402.09,14.6,11228.01,1838.54,1298.98,243.25,2487.79,2048.0,0.0,2048.0
2025-07-05 14:08:36,15695.24,1735.94,13402.33,14.6,11228.26,1838.54,1298.98,243.25,2487.79,2048.0,0.0,2048.0
2025-07-05 14:08:37,15695.24,1743.59,13394.68,14.7,11220.61,1838.54,1298.98,243.25,2487.79,2048.0,0.0,2048.0
2025-07-05 14:08:38,15695.24,1715.59,13422.69,14.5,11248.61,1838.54,1298.98,243.25,2487.79,2048.0,0.0,2048.0
2025-07-05 14:08:39,15695.24,1715.62,13422.65,14.5,11248.57,1838.38,1298.98,243.25,2487.79,2048.0,0.0,2048.0
2025-07-05 14:08:40,15695.24,1711.61,13426.66,14.5,11252.59,1838.38,1298.98,243.26,2487.78,2048.0,0.0,2048.0
2025-07-05 14:08:41,15695.24,1713.3,13424.97,14.5,11250.9,1838.27,1298.98,243.26,2487.78,2048.0,0.0,2048.0
2025-07-05 14:08:42,15695.24,1709.18,13429.09,14.4,11255.02,1838.34,1298.98,243.26,2487.78,2048.0,0.0,2048.0
2025-07-05 14:08:43,15695.24,1712.23,13425.54,14.5,11251.46,1838.59,1298.98,243.26,2488.28,2048.0,0.0,2048.0
2025-07-05 14:08:44,15695.24,1700.04,13437.72,14.4,11263.59,1838.38,1299.03,243.26,2488.35,2048.0,0.0,2048.0
2025-07-05 14:08:45,15695.24,1690.88,13447.36,14.3,11273.26,1838.38,1299.03,243.28,2487.82,2048.0,0.0,2048.0
2025-07-05 14:08:46,15695.24,1702.59,13435.7,14.4,11261.6,1839.43,1299.04,243.28,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:47,15695.24,1685.99,13452.31,14.3,11278.19,1839.46,1299.06,243.29,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:48,15695.24,1697.58,13440.73,14.4,11266.6,1839.48,1299.06,243.29,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:49,15695.24,1694.92,13443.39,14.3,11269.26,1839.44,1299.06,243.29,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:50,15695.24,1696.07,13442.25,14.4,11268.11,1839.39,1299.07,243.29,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:51,15695.24,1678.83,13459.48,14.2,11285.35,1839.4,1299.07,243.29,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:52,15695.24,1659.76,13478.55,14.1,11304.41,1839.64,1299.08,243.3,2487.77,2048.0,0.0,2048.0
2025-07-05 14:08:53,15695.24,1672.35,13465.91,14.2,11291.76,1839.44,1299.08,243.3,2487.83,2048.0,0.0,2048.0
2025-07-05 14:08:54,15695.24,1650.12,13488.13,14.1,11313.98,1839.46,1299.08,243.3,2487.83,2048.0,0.0,2048.0
2025-07-05 14:08:55,15695.24,1641.29,13496.96,14.0,11322.82,1839.32,1299.08,243.3,2487.83,2048.0,0.0,2048.0
2025-07-05 14:08:56,15695.24,1655.16,13483.09,14.1,11308.94,1853.32,1299.08,243.3,2487.84,2048.0,0.0,2048.0
2025-07-05 14:08:57,15695.24,1638.62,13499.63,14.0,11325.48,1838.34,1299.08,243.3,2487.84,2048.0,0.0,2048.0
2025-07-05 14:08:58,15695.24,1640.52,13497.73,14.0,11323.59,1838.35,1299.08,243.31,2487.83,2048.0,0.0,2048.0
2025-07-05 14:08:59,15695.24,1654.04,13484.21,14.1,11310.07,1838.35,1299.08,243.31,2487.83,2048.0,0.0,2048.0
2025-07-05 14:09:00,15695.24,1635.0,13503.17,14.0,11329.02,1838.36,1299.08,243.31,2487.91,2048.0,0.0,2048.0
2025-07-05 14:09:01,15695.24,1642.32,13495.92,14.0,11321.76,1838.36,1299.09,243.31,2487.85,2048.0,0.0,2048.0
2025-07-05 14:09:02,15695.24,1657.33,13480.91,14.1,11306.75,1838.36,1299.09,243.31,2487.85,2048.0,0.0,2048.0
2025-07-05 14:09:03,15695.24,1679.16,13459.07,14.2,11284.91,1838.36,1299.09,243.32,2487.85,2048.0,0.0,2048.0
2025-07-05 14:09:04,15695.24,1696.07,13442.16,14.4,11268.01,1838.36,1299.09,243.32,2487.85,2048.0,0.0,2048.0
2025-07-05 14:09:05,15695.24,1700.23,13438.0,14.4,11263.84,1838.36,1299.09,243.32,2487.86,2048.0,0.0,2048.0
2025-07-05 14:09:06,15695.24,1679.8,13458.43,14.3,11284.27,1838.36,1299.09,243.32,2487.86,2048.0,0.0,2048.0
2025-07-05 14:09:07,15695.24,1669.89,13468.34,14.2,11294.18,1838.36,1299.09,243.32,2487.86,2048.0,0.0,2048.0
