Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
14:24:40,12.3,0.0,13.0,73.5,1.3,3,93155,12214,23.64,44.05,56.05,64.00,39.05,40.05,20.00,64.00,56.00,43.05,1.24,GHz
14:24:41,50.3,0.9,36.8,11.5,0.5,75,481555,59105,40.17,44.05,59.05,52.00,39.05,40.05,20.00,52.00,59.00,43.05,2.55,GHz
14:24:42,47.7,0.0,51.1,1.1,0.1,63,205545,52454,40.17,44.05,52.05,52.00,39.05,40.05,20.00,52.00,52.00,43.05,2.62,GHz
14:24:43,47.6,0.5,34.3,17.3,0.4,66,389093,82771,61.78,44.05,52.05,53.00,40.05,40.05,20.00,53.00,52.00,43.05,2.62,GHz
14:24:44,59.7,0.0,29.3,10.8,0.1,54,570414,117300,62.16,44.05,52.05,52.00,40.05,40.05,20.00,52.00,52.00,43.05,2.95,GHz
14:24:45,34.3,0.1,19.0,46.4,0.3,4,469331,104077,62.16,44.05,52.05,53.00,40.05,40.05,20.00,53.00,52.00,43.05,1.58,GHz
14:24:46,25.9,0.0,9.1,64.9,0.1,21,205756,50216,51.95,44.05,52.05,48.00,40.05,40.05,20.00,48.00,52.00,43.05,2.83,GHz
14:24:47,41.7,0.1,22.8,35.3,0.2,17,578549,86429,59.15,44.05,50.05,51.00,41.05,41.05,20.00,51.00,50.00,43.05,2.08,GHz
14:24:48,49.3,0.1,22.6,27.8,0.2,12,681530,122943,65.95,44.05,51.05,52.00,41.05,41.05,20.00,52.00,51.00,43.05,2.45,GHz
14:24:49,43.5,0.0,12.6,43.6,0.3,16,443912,63227,63.95,44.05,51.05,52.00,41.05,41.05,20.00,52.00,51.00,43.05,2.74,GHz
14:24:50,44.9,0.1,13.0,41.7,0.3,9,442985,63410,64.12,44.05,51.05,50.00,41.05,41.05,20.00,50.00,51.00,43.05,2.63,GHz
14:24:51,35.8,0.1,10.6,53.2,0.4,4,439716,53217,60.72,44.05,50.05,51.00,41.05,41.05,20.00,49.00,50.00,43.05,2.95,GHz
14:24:52,34.8,0.0,10.6,54.3,0.3,4,435992,53045,59.44,44.05,50.05,49.00,42.05,41.05,20.00,49.00,50.00,43.05,3.01,GHz
14:24:53,33.8,0.1,10.1,55.7,0.4,3,437048,52168,60.42,44.05,50.05,51.00,42.05,41.05,20.00,51.00,50.00,43.05,1.87,GHz
14:24:54,40.2,0.0,12.3,47.1,0.4,5,455761,56818,61.12,44.05,50.05,49.00,42.05,42.05,20.00,49.00,50.00,43.05,2.00,GHz
14:24:55,34.8,0.1,10.5,54.3,0.4,6,435808,52249,59.93,44.05,51.05,53.00,42.05,42.05,20.00,53.00,51.00,43.05,2.57,GHz
14:24:56,35.3,0.0,10.8,53.5,0.4,52,445164,52984,60.46,44.05,51.05,52.00,42.05,42.05,20.00,52.00,51.00,43.05,2.55,GHz
14:24:57,34.0,0.1,11.5,53.9,0.5,24,444904,53171,60.63,44.05,51.05,53.00,43.05,42.05,20.00,53.00,51.00,43.05,2.77,GHz
14:24:58,34.2,0.0,11.2,54.2,0.4,9,439822,52723,60.31,44.05,51.05,52.00,43.05,42.05,20.00,52.00,51.00,43.05,2.77,GHz
14:24:59,34.7,0.1,11.2,53.5,0.5,2,440134,52239,61.00,44.05,52.05,52.00,43.05,43.05,20.00,52.00,52.00,43.05,3.04,GHz
14:25:00,35.4,0.1,11.2,52.9,0.5,6,461131,63919,61.00,44.05,52.05,51.00,43.05,43.05,20.00,51.00,52.00,43.05,2.62,GHz
14:25:01,35.0,0.1,10.8,53.7,0.4,14,439589,53811,60.51,45.05,52.05,52.00,43.05,43.05,20.00,52.00,52.00,43.05,2.04,GHz
14:25:02,37.1,0.0,11.4,51.1,0.5,4,440523,52335,61.62,45.05,52.05,53.00,43.05,43.05,20.00,53.00,52.00,43.05,2.43,GHz
14:25:03,36.1,0.1,10.9,52.5,0.4,5,432470,50245,61.63,45.05,53.05,52.00,44.05,43.05,20.00,52.00,53.00,43.05,2.76,GHz
14:25:04,36.0,0.1,10.5,53.5,0.0,4,430244,51222,60.85,45.05,53.05,53.00,44.05,43.05,20.00,53.00,53.00,43.05,2.30,GHz
14:25:05,37.3,0.0,10.7,52.0,0.0,9,431548,51688,60.97,45.05,53.05,55.00,44.05,44.05,20.00,55.00,53.00,43.05,3.05,GHz
14:25:06,36.8,0.1,10.9,52.2,0.0,18,425516,50440,60.97,45.05,53.05,55.00,44.05,44.05,20.00,55.00,53.00,43.05,2.95,GHz
14:25:07,36.2,0.1,10.4,53.3,0.0,10,427762,50005,60.84,45.05,53.05,53.00,44.05,44.05,20.00,53.00,53.00,43.05,1.99,GHz
14:25:08,35.3,0.0,11.1,53.6,0.0,32,423680,50018,61.08,45.05,53.05,53.00,45.05,44.05,20.00,53.00,53.00,44.05,2.44,GHz
14:25:09,36.9,0.1,11.1,51.9,0.0,9,431472,50899,60.97,45.05,53.05,55.00,45.05,44.05,20.00,55.00,53.00,44.05,2.08,GHz
14:25:10,36.1,0.7,10.8,52.4,0.1,18,421188,52605,60.85,45.05,54.05,55.00,45.05,45.05,20.00,55.00,54.00,44.05,2.81,GHz
14:25:11,36.5,0.1,10.5,53.0,0.0,3,432199,50879,60.23,45.05,54.05,55.00,45.05,45.05,20.00,55.00,54.00,44.05,2.40,GHz
14:25:12,36.0,0.1,10.7,53.3,0.0,7,435927,50657,60.62,46.05,54.05,56.00,45.05,45.05,20.00,56.00,54.00,44.05,2.95,GHz
14:25:13,36.2,0.0,10.8,53.0,0.1,5,427837,49650,60.01,46.05,54.05,56.00,45.05,45.05,20.00,56.00,54.00,44.05,2.78,GHz
14:25:14,36.9,0.1,11.0,51.6,0.5,5,435362,53468,60.53,46.05,54.05,55.00,46.05,45.05,20.00,55.00,54.00,44.05,1.89,GHz
14:25:15,36.1,0.0,11.3,52.2,0.5,15,434473,50672,60.91,46.05,55.05,56.00,46.05,45.05,20.00,55.00,55.00,44.05,2.08,GHz
14:25:16,35.1,0.1,10.6,53.8,0.4,4,426186,49027,60.47,46.05,55.05,57.00,46.05,46.05,20.00,57.00,55.00,44.05,2.95,GHz
14:25:17,36.7,0.0,10.9,51.9,0.5,9,442208,52128,60.68,46.05,55.05,58.00,46.05,46.05,20.00,58.00,55.00,44.05,2.40,GHz
14:25:18,35.9,0.1,10.8,52.8,0.4,26,432986,51283,60.77,46.05,55.05,58.00,46.05,46.05,20.00,58.00,55.00,44.05,2.94,GHz
14:25:19,36.1,0.1,10.6,52.8,0.5,24,431103,50595,60.51,46.05,55.05,56.00,46.05,46.05,20.00,56.00,55.00,44.05,2.92,GHz
14:25:20,35.1,0.1,11.0,53.5,0.4,3,437900,52428,61.55,46.05,56.05,56.00,47.05,46.05,20.00,56.00,56.00,44.05,2.65,GHz
14:25:21,35.8,0.0,10.7,53.1,0.4,7,441749,51472,61.55,46.05,56.05,56.00,47.05,46.05,20.00,56.00,56.00,44.05,1.91,GHz
14:25:22,36.0,0.1,10.1,53.4,0.5,7,432958,50889,61.06,47.05,56.05,56.00,47.05,47.05,20.00,56.00,56.00,44.05,2.08,GHz
14:25:23,36.0,0.1,11.0,53.0,0.0,4,432211,51583,60.39,47.05,56.05,58.00,47.05,47.05,20.00,58.00,56.00,44.05,2.98,GHz
14:25:24,35.1,0.0,10.7,54.2,0.0,20,436055,50396,60.23,47.05,56.05,56.00,47.05,47.05,20.00,56.00,56.00,44.05,2.41,GHz
14:25:25,35.4,0.1,10.3,54.3,0.0,4,430716,49476,60.12,47.05,56.05,57.00,47.05,47.05,20.00,57.00,56.00,44.05,2.20,GHz
14:25:26,36.0,0.1,11.0,52.9,0.0,5,449427,51875,60.12,47.05,56.05,58.00,48.05,47.05,20.00,58.00,56.00,44.05,3.05,GHz
14:25:27,38.5,0.0,10.8,50.7,0.0,3,467210,54640,60.24,47.05,56.05,56.00,48.05,47.05,20.00,56.00,56.00,44.05,2.80,GHz
14:25:28,37.4,0.1,11.3,51.2,0.0,4,454420,52281,59.16,47.05,56.05,56.00,48.05,48.05,20.00,56.00,56.00,44.05,2.03,GHz
14:25:29,37.3,0.0,11.1,51.6,0.0,9,458621,52393,53.05,47.05,56.05,57.00,48.05,48.05,20.00,57.00,56.00,44.05,2.60,GHz
14:25:30,36.8,0.1,11.4,51.5,0.1,5,458813,53773,51.87,47.05,56.05,56.00,48.05,48.05,20.00,56.00,56.00,44.05,2.76,GHz
14:25:31,35.0,0.1,10.6,53.8,0.5,15,442473,51228,51.05,47.05,56.05,57.00,48.05,48.05,20.00,57.00,56.00,44.05,2.29,GHz
14:25:32,35.9,0.0,11.0,52.6,0.5,7,445515,51798,50.22,47.05,56.05,56.00,48.05,48.05,20.00,56.00,56.00,44.05,3.05,GHz
14:25:33,36.6,0.1,11.1,51.8,0.4,7,453549,53178,50.92,48.05,57.05,57.00,49.05,48.05,20.00,57.00,57.00,44.05,2.85,GHz
14:25:34,35.5,0.1,10.4,53.7,0.3,3,443506,51399,50.92,48.05,57.05,57.00,49.05,48.05,20.00,57.00,57.00,44.05,2.95,GHz
14:25:35,36.6,0.0,11.3,51.7,0.5,9,449035,52487,49.98,48.05,57.05,58.00,49.05,48.05,20.00,58.00,57.00,45.05,2.11,GHz
