timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 12:48:51,16,15,6141,590.01,41
2025-07-05 12:48:54,0,15,6141,12.10,41
2025-07-05 12:48:55,0,15,6141,12.11,41
2025-07-05 12:48:56,0,15,6141,12.15,41
2025-07-05 12:48:57,0,15,6141,12.13,41
2025-07-05 12:48:58,0,15,6141,12.19,41
2025-07-05 12:48:59,0,15,6141,12.19,41
2025-07-05 12:49:00,0,15,6141,12.20,41
2025-07-05 12:49:01,0,15,6141,12.22,41
2025-07-05 12:49:02,0,15,6141,12.14,41
2025-07-05 12:49:03,0,15,6141,12.11,41
2025-07-05 12:49:04,0,15,6141,12.11,41
2025-07-05 12:49:05,0,15,6141,4.14,41
2025-07-05 12:49:06,0,15,6141,2.75,41
2025-07-05 12:49:07,0,15,6141,1.96,41
2025-07-05 12:49:08,0,15,6141,1.78,41
2025-07-05 12:49:09,0,15,6141,1.79,41
2025-07-05 12:49:10,0,15,6141,1.79,41
2025-07-05 12:49:11,0,15,6141,1.79,40
2025-07-05 12:49:12,0,15,6141,1.80,40
2025-07-05 12:49:13,0,15,6141,1.82,40
2025-07-05 12:49:14,0,15,6141,1.84,40
2025-07-05 12:49:15,0,15,6141,1.87,40
2025-07-05 12:49:16,0,15,6141,1.88,40
2025-07-05 12:49:17,0,15,6141,1.88,40
2025-07-05 12:49:18,0,15,6141,1.92,40
2025-07-05 12:49:19,0,15,6141,1.91,40
2025-07-05 12:49:20,0,15,6141,1.89,40
2025-07-05 12:49:21,0,15,6141,1.91,40
2025-07-05 12:49:22,0,15,6141,1.93,40
2025-07-05 12:49:23,0,15,6141,1.93,40
2025-07-05 12:49:24,0,15,6141,1.88,40
2025-07-05 12:49:25,0,15,6141,1.88,40
2025-07-05 12:49:26,0,15,6141,1.89,40
2025-07-05 12:49:27,0,15,6141,1.92,40
2025-07-05 12:49:28,0,15,6141,1.94,40
2025-07-05 12:49:29,0,15,6141,1.97,40
2025-07-05 12:49:30,0,15,6141,1.98,40
2025-07-05 12:49:31,0,15,6141,2.00,40
2025-07-05 12:49:32,0,15,6141,2.01,40
2025-07-05 12:49:33,0,15,6141,1.99,39
2025-07-05 12:49:35,0,15,6141,1.98,39
2025-07-05 12:49:36,0,15,6141,1.93,39
2025-07-05 12:49:37,0,15,6141,1.92,39
2025-07-05 12:49:38,0,15,6141,1.93,39
2025-07-05 12:49:39,0,15,6141,1.92,39
2025-07-05 12:49:40,0,15,6141,1.94,39
2025-07-05 12:49:41,0,15,6141,1.95,39
2025-07-05 12:49:42,0,15,6141,1.96,39
2025-07-05 12:49:43,0,15,6141,1.98,39
2025-07-05 12:49:44,0,15,6141,1.97,39
2025-07-05 12:49:45,0,15,6141,1.95,39
2025-07-05 12:49:46,0,15,6141,1.94,39
2025-07-05 12:49:47,0,15,6141,1.96,39
2025-07-05 12:49:48,0,15,6141,2.00,39
2025-07-05 12:49:49,0,15,6141,2.03,39
2025-07-05 12:49:50,0,15,6141,2.03,39
2025-07-05 12:49:51,0,15,6141,2.03,39
2025-07-05 12:49:52,0,15,6141,2.05,39
2025-07-05 12:49:53,0,15,6141,2.05,39
2025-07-05 12:49:54,0,15,6141,2.06,39
2025-07-05 12:49:55,0,15,6141,2.08,39
2025-07-05 12:49:56,0,15,6141,2.07,39
2025-07-05 12:49:57,0,15,6141,2.08,39
2025-07-05 12:49:58,0,15,6141,2.10,39
2025-07-05 12:49:59,0,15,6141,2.08,39
2025-07-05 12:50:00,0,15,6141,2.06,39
2025-07-05 12:50:01,0,15,6141,2.05,39
2025-07-05 12:50:02,0,15,6141,2.06,39
2025-07-05 12:50:03,0,15,6141,2.07,39
2025-07-05 12:50:04,0,15,6141,2.10,39
2025-07-05 12:50:05,0,15,6141,2.11,39
2025-07-05 12:50:06,0,15,6141,2.07,39
2025-07-05 12:50:07,0,15,6141,2.04,39
2025-07-05 12:50:08,0,15,6141,2.05,38
2025-07-05 12:50:09,0,15,6141,2.06,38
2025-07-05 12:50:10,0,15,6141,2.07,38
2025-07-05 12:50:11,0,15,6141,2.05,38
2025-07-05 12:50:12,0,15,6141,2.05,38
2025-07-05 12:50:13,0,15,6141,2.05,38
2025-07-05 12:50:14,0,15,6141,2.05,38
2025-07-05 12:50:15,0,15,6141,2.05,38
2025-07-05 12:50:16,0,15,6141,2.06,38
2025-07-05 12:50:17,0,15,6141,2.05,38
2025-07-05 12:50:18,0,15,6141,2.04,38
2025-07-05 12:50:20,0,15,6141,2.06,38
2025-07-05 12:50:21,0,15,6141,2.07,38
2025-07-05 12:50:22,0,15,6141,2.06,38
2025-07-05 12:50:23,0,15,6141,2.07,38
2025-07-05 12:50:24,0,15,6141,2.10,38
2025-07-05 12:50:25,0,15,6141,2.09,38
2025-07-05 12:50:26,0,15,6141,2.07,38
2025-07-05 12:50:27,0,15,6141,2.08,38
2025-07-05 12:50:28,0,15,6141,2.10,38
2025-07-05 12:50:29,0,15,6141,2.12,38
2025-07-05 12:50:30,0,15,6141,2.12,38
2025-07-05 12:50:31,0,15,6141,2.10,38
2025-07-05 12:50:32,0,15,6141,2.11,38
2025-07-05 12:50:33,0,15,6141,2.11,38
2025-07-05 12:50:34,0,15,6141,2.12,38
2025-07-05 12:50:35,0,15,6141,2.12,38
2025-07-05 12:50:36,0,15,6141,2.11,38
2025-07-05 12:50:37,0,15,6141,2.13,38
2025-07-05 12:50:38,0,15,6141,2.13,38
2025-07-05 12:50:39,0,15,6141,2.13,38
2025-07-05 12:50:40,0,15,6141,2.13,38
2025-07-05 12:50:41,0,15,6141,2.13,38
2025-07-05 12:50:42,0,15,6141,2.15,38
2025-07-05 12:50:43,0,15,6141,2.15,38
2025-07-05 12:50:44,0,15,6141,2.14,38
2025-07-05 12:50:45,0,15,6141,2.14,38
2025-07-05 12:50:46,0,15,6141,2.14,38
2025-07-05 12:50:47,0,15,6141,2.14,38
2025-07-05 12:50:48,0,15,6141,2.16,38
2025-07-05 12:50:49,0,15,6141,2.16,38
2025-07-05 12:50:50,0,15,6141,2.16,38
2025-07-05 12:50:51,0,15,6141,2.16,38
2025-07-05 12:50:52,0,15,6141,2.16,38
2025-07-05 12:50:53,0,15,6141,2.17,38
2025-07-05 12:50:54,0,15,6141,2.11,38
2025-07-05 12:50:55,0,15,6141,2.12,38
2025-07-05 12:50:56,0,15,6141,2.12,38
2025-07-05 12:50:57,0,15,6141,2.11,38
2025-07-05 12:50:58,0,15,6141,2.12,38
2025-07-05 12:50:59,0,15,6141,2.14,37
2025-07-05 12:51:00,0,15,6141,2.16,37
2025-07-05 12:51:01,0,15,6141,2.17,37
2025-07-05 12:51:02,0,15,6141,2.17,37
2025-07-05 12:51:03,0,15,6141,2.17,37
2025-07-05 12:51:05,0,15,6141,2.16,37
2025-07-05 12:51:06,0,15,6141,2.15,37
2025-07-05 12:51:07,0,15,6141,2.17,37
2025-07-05 12:51:08,0,15,6141,2.13,37
2025-07-05 12:51:09,0,15,6141,2.13,37
2025-07-05 12:51:10,0,15,6141,2.17,37
2025-07-05 12:51:11,0,15,6141,2.14,37
2025-07-05 12:51:12,0,15,6141,2.13,37
2025-07-05 12:51:13,0,15,6141,2.14,37
2025-07-05 12:51:14,0,15,6141,2.16,37
2025-07-05 12:51:15,0,15,6141,2.19,37
2025-07-05 12:51:16,0,15,6141,2.20,37
2025-07-05 12:51:17,0,15,6141,2.22,37
2025-07-05 12:51:18,0,15,6141,2.19,37
2025-07-05 12:51:19,0,15,6141,2.16,37
2025-07-05 12:51:20,0,15,6141,2.20,37
2025-07-05 12:51:21,0,15,6141,2.21,37
2025-07-05 12:51:22,0,15,6141,2.22,37
2025-07-05 12:51:23,0,15,6141,2.25,37
2025-07-05 12:51:24,0,15,6141,2.26,37
2025-07-05 12:51:25,0,15,6141,2.25,37
2025-07-05 12:51:26,0,15,6141,2.25,37
2025-07-05 12:51:27,0,15,6141,2.25,37
2025-07-05 12:51:28,0,15,6141,2.24,37
2025-07-05 12:51:29,0,15,6141,2.22,37
2025-07-05 12:51:30,0,15,6141,2.23,37
2025-07-05 12:51:31,0,15,6141,2.23,37
2025-07-05 12:51:32,0,15,6141,2.23,37
2025-07-05 12:51:33,0,15,6141,2.23,37
2025-07-05 12:51:34,0,15,6141,2.23,37
2025-07-05 12:51:35,0,15,6141,2.23,37
2025-07-05 12:51:36,0,15,6141,2.21,37
2025-07-05 12:51:37,0,15,6141,2.19,37
2025-07-05 12:51:38,0,15,6141,2.20,37
2025-07-05 12:51:39,0,15,6141,2.24,37
2025-07-05 12:51:40,0,15,6141,2.25,37
2025-07-05 12:51:41,0,15,6141,2.22,37
2025-07-05 12:51:42,0,15,6141,2.22,37
2025-07-05 12:51:43,0,15,6141,2.23,37
2025-07-05 12:51:44,0,15,6141,2.23,37
2025-07-05 12:51:45,0,15,6141,2.24,37
2025-07-05 12:51:46,0,15,6141,2.26,37
2025-07-05 12:51:47,0,15,6141,2.26,37
2025-07-05 12:51:48,0,15,6141,2.24,37
2025-07-05 12:51:49,0,15,6141,2.22,37
2025-07-05 12:51:51,0,15,6141,2.22,37
2025-07-05 12:51:52,0,15,6141,2.20,37
2025-07-05 12:51:53,0,15,6141,2.14,37
2025-07-05 12:51:54,0,15,6141,2.10,38
2025-07-05 12:51:55,0,15,6141,2.14,38
2025-07-05 12:51:56,0,15,6141,2.16,38
2025-07-05 12:51:57,0,15,6141,2.14,39
2025-07-05 12:51:58,0,15,6141,2.10,39
2025-07-05 12:51:59,0,15,6141,2.04,39
2025-07-05 12:52:00,0,15,6141,2.03,39
2025-07-05 12:52:01,0,15,6141,2.05,39
2025-07-05 12:52:02,0,15,6141,2.03,39
2025-07-05 12:52:03,0,15,6141,2.01,39
2025-07-05 12:52:04,0,15,6141,2.00,39
2025-07-05 12:52:05,0,15,6141,2.00,40
2025-07-05 12:52:06,0,15,6141,2.00,40
2025-07-05 12:52:07,0,15,6141,1.98,40
2025-07-05 12:52:08,0,15,6141,1.95,40
2025-07-05 12:52:09,0,15,6141,1.93,40
2025-07-05 12:52:10,0,15,6141,1.90,40
2025-07-05 12:52:11,0,15,6141,1.91,40
2025-07-05 12:52:12,0,15,6141,1.89,40
2025-07-05 12:52:13,0,15,6141,1.87,40
2025-07-05 12:52:14,0,15,6141,1.87,40
2025-07-05 12:52:15,0,15,6141,1.88,41
2025-07-05 12:52:16,0,15,6141,1.89,41
2025-07-05 12:52:17,0,15,6141,1.88,41
2025-07-05 12:52:18,0,15,6141,1.85,41
2025-07-05 12:52:20,0,15,6141,1.83,41
2025-07-05 12:52:21,0,15,6141,1.84,41
2025-07-05 12:52:22,0,15,6141,1.82,41
2025-07-05 12:52:23,0,15,6141,1.82,41
2025-07-05 12:52:24,0,15,6141,1.81,41
2025-07-05 12:52:25,0,15,6141,1.81,41
2025-07-05 12:52:26,0,15,6141,1.83,41
2025-07-05 12:52:27,0,15,6141,1.83,41
2025-07-05 12:52:28,0,15,6141,1.81,41
2025-07-05 12:52:29,0,15,6141,1.83,41
2025-07-05 12:52:30,0,15,6141,1.84,41
2025-07-05 12:52:31,0,15,6141,1.82,42
2025-07-05 12:52:32,0,15,6141,1.82,42
2025-07-05 12:52:33,0,15,6141,1.82,42
2025-07-05 12:52:34,0,15,6141,1.82,42
2025-07-05 12:52:35,0,15,6141,1.82,42
2025-07-05 12:52:36,0,15,6141,1.82,42
2025-07-05 12:52:37,0,15,6141,1.84,42
2025-07-05 12:52:38,0,15,6141,1.84,42
2025-07-05 12:52:39,0,15,6141,1.82,42
2025-07-05 12:52:40,0,15,6141,1.83,42
2025-07-05 12:52:41,0,15,6141,1.86,42
2025-07-05 12:52:42,0,15,6141,1.85,42
2025-07-05 12:52:43,0,15,6141,1.83,42
2025-07-05 12:52:44,0,15,6141,1.83,42
2025-07-05 12:52:45,0,15,6141,1.82,42
2025-07-05 12:52:46,0,15,6141,1.80,42
2025-07-05 12:52:47,0,15,6141,1.80,42
2025-07-05 12:52:48,0,15,6141,1.80,42
2025-07-05 12:52:49,0,15,6141,1.79,43
2025-07-05 12:52:50,0,15,6141,1.80,43
2025-07-05 12:52:51,0,15,6141,1.81,43
2025-07-05 12:52:53,0,15,6141,1.81,43
2025-07-05 12:52:54,0,15,6141,1.80,43
2025-07-05 12:52:55,0,15,6141,1.81,43
2025-07-05 12:52:56,0,15,6141,1.82,43
2025-07-05 12:52:57,0,15,6141,1.82,43
2025-07-05 12:52:58,0,15,6141,1.83,43
2025-07-05 12:52:59,0,15,6141,1.81,43
2025-07-05 12:53:00,0,15,6141,1.82,43
2025-07-05 12:53:01,0,15,6141,1.85,43
2025-07-05 12:53:02,0,15,6141,1.87,43
2025-07-05 12:53:03,0,15,6141,1.85,43
2025-07-05 12:53:04,0,15,6141,1.83,43
2025-07-05 12:53:05,0,15,6141,1.83,43
2025-07-05 12:53:06,0,15,6141,1.80,43
2025-07-05 12:53:07,0,15,6141,1.78,43
2025-07-05 12:53:08,0,15,6141,1.80,43
2025-07-05 12:53:09,0,15,6141,1.83,43
2025-07-05 12:53:10,0,15,6141,1.84,43
2025-07-05 12:53:11,0,15,6141,1.84,43
2025-07-05 12:53:12,0,15,6141,1.84,43
2025-07-05 12:53:13,0,15,6141,1.83,43
2025-07-05 12:53:14,0,15,6141,1.83,43
2025-07-05 12:53:15,0,15,6141,1.82,43
2025-07-05 12:53:16,0,15,6141,1.82,43
2025-07-05 12:53:17,0,15,6141,1.83,43
2025-07-05 12:53:18,0,15,6141,1.83,43
2025-07-05 12:53:19,0,15,6141,1.84,43
2025-07-05 12:53:20,0,15,6141,1.82,43
2025-07-05 12:53:21,0,15,6141,1.82,43
2025-07-05 12:53:22,0,15,6141,1.83,43
2025-07-05 12:53:23,0,15,6141,1.83,43
2025-07-05 12:53:24,0,15,6141,1.85,43
2025-07-05 12:53:26,0,15,6141,1.85,43
2025-07-05 12:53:27,0,15,6141,1.84,43
2025-07-05 12:53:28,0,15,6141,1.84,43
2025-07-05 12:53:29,0,15,6141,1.84,43
2025-07-05 12:53:30,0,15,6141,1.83,43
2025-07-05 12:53:31,0,15,6141,1.83,43
2025-07-05 12:53:32,0,15,6141,1.82,43
2025-07-05 12:53:33,0,15,6141,1.83,43
2025-07-05 12:53:34,0,15,6141,1.85,43
2025-07-05 12:53:35,0,15,6141,1.83,43
2025-07-05 12:53:36,0,15,6141,1.85,43
2025-07-05 12:53:37,0,15,6141,1.87,43
2025-07-05 12:53:38,0,15,6141,1.86,43
2025-07-05 12:53:39,0,15,6141,1.86,44
2025-07-05 12:53:40,0,15,6141,1.85,44
2025-07-05 12:53:41,0,15,6141,1.85,44
2025-07-05 12:53:42,0,15,6141,1.85,44
2025-07-05 12:53:43,0,15,6141,1.83,44
2025-07-05 12:53:44,0,15,6141,1.82,44
2025-07-05 12:53:45,0,15,6141,1.80,44
2025-07-05 12:53:46,0,15,6141,1.81,44
2025-07-05 12:53:47,0,15,6141,1.82,44
2025-07-05 12:53:48,0,15,6141,1.81,44
2025-07-05 12:53:49,0,15,6141,1.78,44
2025-07-05 12:53:50,0,15,6141,1.77,44
2025-07-05 12:53:51,0,15,6141,1.78,44
2025-07-05 12:53:52,0,15,6141,1.80,44
2025-07-05 12:53:53,0,15,6141,1.80,44
2025-07-05 12:53:54,0,15,6141,1.79,44
2025-07-05 12:53:55,0,15,6141,1.78,44
2025-07-05 12:53:56,0,15,6141,1.78,44
2025-07-05 12:53:57,0,15,6141,1.79,44
2025-07-05 12:53:59,0,15,6141,1.79,44
2025-07-05 12:54:00,0,15,6141,1.79,44
2025-07-05 12:54:01,0,15,6141,1.81,44
2025-07-05 12:54:02,0,15,6141,1.81,44
2025-07-05 12:54:03,0,15,6141,1.80,44
2025-07-05 12:54:04,0,15,6141,1.80,44
2025-07-05 12:54:05,0,15,6141,1.81,44
2025-07-05 12:54:06,0,15,6141,1.79,44
2025-07-05 12:54:07,0,15,6141,1.78,44
2025-07-05 12:54:08,0,15,6141,1.78,44
2025-07-05 12:54:09,0,15,6141,1.80,44
2025-07-05 12:54:10,0,15,6141,1.81,44
2025-07-05 12:54:11,0,15,6141,1.79,44
2025-07-05 12:54:12,0,15,6141,1.78,44
2025-07-05 12:54:13,0,15,6141,1.78,44
2025-07-05 12:54:14,0,15,6141,1.77,44
2025-07-05 12:54:15,0,15,6141,1.77,44
2025-07-05 12:54:16,0,15,6141,1.77,44
2025-07-05 12:54:17,0,15,6141,1.78,44
2025-07-05 12:54:18,0,15,6141,1.78,44
2025-07-05 12:54:19,0,15,6141,1.77,44
2025-07-05 12:54:20,0,15,6141,1.77,44
2025-07-05 12:54:21,0,15,6141,1.77,44
2025-07-05 12:54:22,0,15,6141,1.76,44
2025-07-05 12:54:23,0,15,6141,1.75,44
2025-07-05 12:54:24,0,15,6141,1.75,44
2025-07-05 12:54:25,0,15,6141,1.74,44
2025-07-05 12:54:26,0,15,6141,1.74,44
2025-07-05 12:54:27,0,15,6141,1.74,44
2025-07-05 12:54:28,0,15,6141,1.74,44
2025-07-05 12:54:29,0,15,6141,1.74,44
2025-07-05 12:54:31,0,15,6141,1.74,44
2025-07-05 12:54:32,0,15,6141,1.75,44
2025-07-05 12:54:33,0,15,6141,1.75,44
2025-07-05 12:54:34,0,15,6141,1.76,44
2025-07-05 12:54:35,0,15,6141,1.76,44
2025-07-05 12:54:36,0,15,6141,1.76,44
2025-07-05 12:54:37,0,15,6141,1.77,44
2025-07-05 12:54:38,0,15,6141,1.77,44
2025-07-05 12:54:39,0,15,6141,1.76,45
2025-07-05 12:54:40,0,15,6141,1.76,45
2025-07-05 12:54:41,0,15,6141,1.77,45
2025-07-05 12:54:42,0,15,6141,1.78,45
2025-07-05 12:54:43,0,15,6141,1.78,45
2025-07-05 12:54:44,0,15,6141,1.77,45
2025-07-05 12:54:45,0,15,6141,1.76,45
2025-07-05 12:54:46,0,15,6141,1.75,45
2025-07-05 12:54:47,0,15,6141,1.76,45
2025-07-05 12:54:48,0,15,6141,1.76,45
2025-07-05 12:54:49,0,15,6141,1.76,45
2025-07-05 12:54:50,0,15,6141,1.75,45
2025-07-05 12:54:51,0,15,6141,1.74,45
2025-07-05 12:54:52,0,15,6141,1.74,45
2025-07-05 12:54:53,0,15,6141,1.76,45
2025-07-05 12:54:54,0,15,6141,1.75,45
2025-07-05 12:54:55,0,15,6141,1.73,45
2025-07-05 12:54:56,0,15,6141,1.73,45
2025-07-05 12:54:57,0,15,6141,1.74,45
2025-07-05 12:54:58,0,15,6141,1.74,45
2025-07-05 12:54:59,0,15,6141,1.74,45
2025-07-05 12:55:00,0,15,6141,1.74,44
2025-07-05 12:55:01,0,15,6141,1.75,44
2025-07-05 12:55:02,0,15,6141,1.75,44
2025-07-05 12:55:04,0,15,6141,1.75,44
2025-07-05 12:55:05,0,15,6141,1.76,44
2025-07-05 12:55:06,0,15,6141,1.76,44
2025-07-05 12:55:07,0,15,6141,1.75,44
2025-07-05 12:55:08,0,15,6141,1.74,44
2025-07-05 12:55:09,0,15,6141,1.74,44
2025-07-05 12:55:10,0,15,6141,1.74,44
2025-07-05 12:55:11,0,15,6141,1.74,45
2025-07-05 12:55:12,0,15,6141,1.72,45
2025-07-05 12:55:13,0,15,6141,1.72,45
2025-07-05 12:55:14,0,15,6141,1.73,45
2025-07-05 12:55:15,0,15,6141,1.72,45
2025-07-05 12:55:16,0,15,6141,1.71,45
2025-07-05 12:55:17,0,15,6141,1.72,45
2025-07-05 12:55:18,0,15,6141,1.73,45
2025-07-05 12:55:19,0,15,6141,1.73,45
2025-07-05 12:55:20,0,15,6141,1.73,45
2025-07-05 12:55:21,0,15,6141,1.72,45
2025-07-05 12:55:22,0,15,6141,1.72,45
2025-07-05 12:55:23,0,15,6141,1.72,45
2025-07-05 12:55:24,0,15,6141,1.72,45
2025-07-05 12:55:25,0,15,6141,1.71,45
2025-07-05 12:55:26,0,15,6141,1.71,45
2025-07-05 12:55:27,0,15,6141,1.70,45
2025-07-05 12:55:28,0,15,6141,1.70,45
2025-07-05 12:55:29,0,15,6141,1.71,45
2025-07-05 12:55:30,0,15,6141,1.70,45
2025-07-05 12:55:31,0,15,6141,1.70,45
2025-07-05 12:55:32,0,15,6141,1.70,45
2025-07-05 12:55:33,0,15,6141,1.72,45
2025-07-05 12:55:34,0,15,6141,1.72,45
2025-07-05 12:55:35,0,15,6141,1.71,45
2025-07-05 12:55:37,0,15,6141,1.72,45
2025-07-05 12:55:38,0,15,6141,1.72,45
2025-07-05 12:55:39,0,15,6141,1.72,45
2025-07-05 12:55:40,0,15,6141,1.73,45
2025-07-05 12:55:41,0,15,6141,1.72,45
2025-07-05 12:55:42,0,15,6141,1.71,45
2025-07-05 12:55:43,0,15,6141,1.71,45
2025-07-05 12:55:44,0,15,6141,1.72,45
2025-07-05 12:55:45,0,15,6141,1.72,45
2025-07-05 12:55:46,0,15,6141,1.71,45
2025-07-05 12:55:47,0,15,6141,1.71,45
2025-07-05 12:55:48,0,15,6141,1.70,45
2025-07-05 12:55:49,0,15,6141,1.71,45
2025-07-05 12:55:50,0,15,6141,1.72,45
2025-07-05 12:55:51,0,15,6141,1.72,45
2025-07-05 12:55:52,0,15,6141,1.72,45
2025-07-05 12:55:53,0,15,6141,1.74,45
2025-07-05 12:55:54,0,15,6141,1.75,45
