Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
12:51:52,12.2,0.1,12.9,73.5,1.3,2,94715,12241,38.78,42.05,59.05,69.00,38.05,39.05,20.00,69.00,59.00,42.05,0.85,GHz
12:51:53,49.7,0.8,36.5,12.6,0.5,92,349462,61103,51.95,42.05,55.05,51.00,38.05,39.05,20.00,51.00,55.00,42.05,2.53,GHz
12:51:54,48.9,0.1,50.8,0.2,0.0,82,211955,52548,51.35,42.05,52.05,52.00,38.05,39.05,20.00,52.00,52.00,42.05,2.54,GHz
12:51:55,55.0,0.5,44.3,0.2,0.0,101,421134,91008,51.66,42.05,52.05,51.00,39.05,39.05,20.00,51.00,52.00,42.05,2.63,GHz
12:51:56,52.1,0.2,23.9,23.6,0.3,64,469817,99639,51.66,42.05,49.05,49.00,39.05,39.05,20.00,49.00,49.00,42.05,2.74,GHz
12:51:57,49.4,0.1,25.3,25.2,0.1,3,582663,123394,44.36,42.05,50.05,47.00,39.05,39.05,20.00,47.00,50.00,42.05,2.35,GHz
12:51:58,27.2,0.0,8.9,63.7,0.3,31,248090,54904,44.36,42.05,51.05,45.00,39.05,39.05,20.00,45.00,51.00,42.05,2.26,GHz
12:51:59,43.6,0.1,22.6,33.5,0.3,17,521346,84789,37.18,42.05,47.05,47.00,40.05,39.05,20.00,47.00,47.00,42.05,2.10,GHz
12:52:00,54.3,0.1,22.9,22.5,0.2,8,617630,119065,41.20,42.05,49.05,48.00,40.05,39.05,20.00,48.00,49.00,42.05,2.14,GHz
12:52:01,47.3,0.0,14.7,37.8,0.2,53,464439,73830,41.20,42.05,47.05,46.00,40.05,39.05,20.00,46.00,47.00,42.05,2.08,GHz
12:52:02,51.8,0.1,13.5,34.4,0.3,6,418982,62996,42.44,42.05,47.05,46.00,40.05,39.05,20.00,46.00,47.00,42.05,1.48,GHz
12:52:03,38.1,0.1,11.7,49.9,0.3,3,409312,53990,42.44,43.05,46.05,46.00,40.05,39.05,20.00,46.00,46.00,42.05,2.59,GHz
