Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
17:21:32,12.0,0.1,13.4,73.2,1.3,4,10315,11366,14.94,42.05,61.05,64.00,38.05,39.05,20.00,64.00,61.00,42.05,1.96,GHz
17:21:33,49.4,0.8,37.5,11.9,0.4,41,354007,63933,14.94,42.05,54.05,52.00,38.05,39.05,20.00,52.00,54.00,42.05,2.56,GHz
17:21:34,47.3,0.0,52.5,0.2,0.0,111,223824,54895,51.80,42.05,52.05,53.00,38.05,39.05,20.00,53.00,52.00,42.05,2.55,GHz
17:21:35,53.9,0.6,41.3,4.2,0.1,85,500812,102647,51.80,42.05,52.05,52.00,39.05,39.05,20.00,52.00,52.00,42.05,2.75,GHz
17:21:36,43.9,0.0,23.7,32.2,0.2,3,510205,102840,61.87,42.05,52.05,48.00,39.05,39.05,20.00,48.00,52.00,42.05,1.95,GHz
17:21:37,26.3,0.1,19.2,54.0,0.4,44,284360,60167,57.62,42.05,52.05,57.00,39.05,39.05,20.00,58.00,52.00,42.05,3.05,GHz
17:21:38,20.5,0.0,12.8,66.4,0.2,4,252297,60303,56.30,42.05,54.05,53.00,39.05,39.05,20.00,53.00,54.00,42.05,3.05,GHz
17:21:39,26.9,0.1,9.0,63.9,0.2,2,332116,46154,53.67,42.05,48.05,47.00,40.05,39.05,20.00,47.00,48.00,42.05,3.05,GHz
17:21:40,23.7,0.0,7.7,68.4,0.3,2,312603,40541,52.54,42.05,48.05,48.00,40.05,40.05,20.00,48.00,48.00,42.05,2.98,GHz
17:21:41,24.2,0.1,7.2,68.2,0.3,4,307462,39058,50.02,42.05,48.05,49.00,40.05,40.05,20.00,49.00,48.00,42.05,3.00,GHz
17:21:42,27.9,0.0,9.1,62.7,0.3,8,324228,44115,46.66,42.05,48.05,52.00,40.05,40.05,20.00,52.00,48.00,42.05,3.05,GHz
17:21:43,25.9,0.1,8.0,65.7,0.3,2,309738,41213,52.03,42.05,48.05,48.00,40.05,40.05,20.00,48.00,48.00,42.05,2.27,GHz
17:21:44,24.3,0.1,7.4,67.9,0.3,17,298787,39835,45.81,43.05,48.05,48.00,40.05,40.05,20.00,47.00,48.00,42.05,2.37,GHz
17:21:45,22.6,0.0,7.9,69.0,0.5,4,277357,38647,45.46,43.05,49.05,49.00,41.05,40.05,20.00,49.00,49.00,42.05,3.05,GHz
17:21:46,25.2,0.1,8.2,66.2,0.4,3,297890,40699,45.46,43.05,48.05,50.00,41.05,40.05,20.00,50.00,48.00,42.05,2.42,GHz
17:21:47,24.1,0.1,7.4,68.2,0.3,3,299042,39070,47.82,43.05,49.05,48.00,41.05,40.05,20.00,48.00,49.00,42.05,2.21,GHz
17:21:48,24.1,0.0,7.8,67.8,0.3,2,310363,40161,46.25,43.05,49.05,47.00,41.05,41.05,20.00,47.00,49.00,42.05,1.95,GHz
17:21:49,23.5,0.1,7.9,68.2,0.3,3,290284,41549,46.50,43.05,50.05,51.00,41.05,41.05,20.00,51.00,50.00,42.05,3.05,GHz
17:21:50,24.0,0.0,7.4,68.3,0.3,3,299279,39170,47.37,43.05,50.05,52.00,41.05,41.05,20.00,52.00,50.00,42.05,2.17,GHz
17:21:51,25.5,0.0,7.4,66.8,0.3,8,308177,40917,49.53,43.05,51.05,52.00,42.05,41.05,20.00,52.00,51.00,42.05,2.89,GHz
17:21:52,24.6,0.1,7.6,67.4,0.3,22,308613,40848,47.68,43.05,50.05,51.00,42.05,41.05,20.00,51.00,50.00,42.05,3.03,GHz
17:21:53,24.5,0.0,7.3,67.9,0.3,2,298173,41661,47.18,43.05,50.05,50.00,42.05,41.05,20.00,50.00,50.00,42.05,2.72,GHz
17:21:54,22.4,0.1,7.5,69.6,0.4,4,264734,37816,46.94,43.05,51.05,51.00,42.05,41.05,20.00,51.00,51.00,42.05,3.03,GHz
17:21:55,24.1,0.0,7.4,68.1,0.3,3,309785,40445,49.94,43.05,51.05,51.00,42.05,41.05,20.00,51.00,51.00,42.05,2.00,GHz
17:21:56,23.7,0.1,7.3,68.6,0.3,3,300551,39927,49.86,43.05,51.05,51.00,42.05,41.05,20.00,51.00,51.00,42.05,3.05,GHz
17:21:57,25.1,0.0,7.7,67.0,0.3,17,301495,41631,47.20,43.05,51.05,51.00,42.05,41.05,20.00,51.00,51.00,42.05,3.05,GHz
17:21:58,24.6,0.0,7.5,67.6,0.3,3,294524,39584,47.15,43.05,52.05,52.00,43.05,42.05,20.00,52.00,52.00,42.05,3.04,GHz
17:21:59,23.3,0.1,6.7,69.6,0.3,34,252156,35946,46.81,43.05,53.05,51.00,43.05,42.05,20.00,51.00,53.00,42.05,2.17,GHz
17:22:00,25.9,0.1,7.5,66.3,0.3,33,316978,42618,50.54,43.05,52.05,51.00,43.05,42.05,20.00,51.00,52.00,42.05,2.59,GHz
17:22:01,25.0,0.0,8.1,66.6,0.3,3,313021,40816,50.56,43.05,52.05,53.00,43.05,42.05,20.00,53.00,52.00,42.05,3.05,GHz
17:22:02,23.6,0.4,7.9,67.8,0.3,10,301786,41372,47.71,44.05,52.05,55.00,43.05,42.05,20.00,55.00,52.00,42.05,3.00,GHz
17:22:03,24.1,0.1,7.5,68.0,0.3,16,299090,40308,47.00,44.05,52.05,55.00,43.05,42.05,20.00,55.00,52.00,42.05,2.29,GHz
17:22:04,24.2,0.0,7.9,67.6,0.3,3,302551,39780,47.00,44.05,52.05,50.00,44.05,42.05,20.00,50.00,52.00,42.05,2.73,GHz
17:22:05,23.2,0.1,7.4,69.0,0.3,2,266625,37813,46.31,44.05,52.05,60.00,44.05,42.05,20.00,60.00,52.00,42.05,2.75,GHz
17:22:06,24.9,0.1,7.5,67.3,0.3,3,303550,40341,48.62,44.05,52.05,53.00,44.05,42.05,20.00,53.00,52.00,42.05,2.99,GHz
17:22:07,24.1,0.0,7.8,67.8,0.3,2,302066,40174,50.18,44.05,52.05,52.00,44.05,43.05,20.00,52.00,52.00,42.05,2.35,GHz
17:22:08,23.5,0.1,8.0,68.2,0.3,2,291399,38777,47.67,44.05,52.05,50.00,44.05,43.05,20.00,50.00,52.00,42.05,1.78,GHz
17:22:09,24.5,0.0,8.0,67.2,0.3,33,306234,40423,47.16,44.05,52.05,52.00,44.05,43.05,20.00,52.00,52.00,42.05,2.42,GHz
17:22:10,24.1,0.1,7.6,68.0,0.3,25,303797,40315,47.27,44.05,52.05,56.00,44.05,43.05,20.00,56.00,52.00,42.05,2.93,GHz
17:22:11,21.1,0.0,7.2,71.4,0.3,3,265330,38812,47.62,44.05,53.05,57.00,44.05,43.05,20.00,57.00,53.00,42.05,2.59,GHz
17:22:12,24.8,0.0,8.0,66.9,0.3,9,319415,42209,50.98,44.05,53.05,55.00,45.05,43.05,20.00,55.00,53.00,42.05,2.72,GHz
17:22:13,23.6,0.1,7.5,68.5,0.3,13,305940,40020,48.24,44.05,53.05,56.00,45.05,43.05,20.00,56.00,53.00,42.05,3.05,GHz
17:22:14,23.5,0.1,7.7,68.4,0.3,3,285839,36491,48.24,44.05,53.05,53.00,45.05,43.05,20.00,53.00,53.00,42.05,2.86,GHz
17:22:15,24.7,0.0,7.7,67.4,0.3,7,305605,38380,46.95,44.05,54.05,52.00,45.05,43.05,20.00,52.00,54.00,42.05,2.16,GHz
17:22:16,23.0,0.1,7.8,68.8,0.3,2,295539,38314,46.95,44.05,54.05,51.00,45.05,44.05,20.00,51.00,54.00,42.05,3.05,GHz
17:22:17,21.5,0.0,7.0,71.1,0.3,3,253739,34818,45.90,44.05,54.05,54.00,45.05,44.05,20.00,54.00,54.00,42.05,3.02,GHz
17:22:18,25.1,0.1,8.0,66.5,0.3,3,317645,38981,52.18,45.05,54.05,55.00,45.05,44.05,20.00,55.00,54.00,42.05,2.99,GHz
17:22:19,24.1,0.0,7.6,68.0,0.3,2,299449,37119,51.87,45.05,54.05,52.00,45.05,44.05,20.00,52.00,54.00,42.05,2.75,GHz
17:22:20,24.6,0.1,7.8,67.2,0.3,2,297676,36981,48.18,45.05,54.05,52.00,45.05,44.05,20.00,53.00,54.00,42.05,2.08,GHz
17:22:21,24.8,0.1,8.0,66.9,0.3,3,306406,39123,47.62,45.05,54.05,53.00,46.05,44.05,20.00,53.00,54.00,42.05,3.05,GHz
17:22:22,24.2,0.0,7.5,68.1,0.3,3,304244,38217,47.79,45.05,54.05,56.00,46.05,44.05,20.00,56.00,54.00,42.05,2.38,GHz
17:22:23,23.9,0.1,7.4,68.3,0.3,5,291696,36836,46.97,45.05,54.05,53.00,46.05,44.05,20.00,53.00,54.00,42.05,2.93,GHz
17:22:24,23.0,0.0,7.6,69.0,0.3,3,278106,36409,46.97,45.05,55.05,57.00,46.05,44.05,20.00,57.00,55.00,42.05,3.05,GHz
17:22:25,24.6,0.0,7.0,68.1,0.3,7,299385,37255,46.98,45.05,54.05,55.00,46.05,44.05,20.00,55.00,54.00,42.05,3.00,GHz
