timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 18:20:50,16,15,6141,590.01,42
2025-07-05 18:20:53,0,15,6141,11.81,42
2025-07-05 18:20:54,0,15,6141,11.84,42
2025-07-05 18:20:55,0,15,6141,11.87,42
2025-07-05 18:20:56,0,15,6141,11.85,42
2025-07-05 18:20:57,0,15,6141,11.87,42
2025-07-05 18:20:58,0,15,6141,11.92,42
2025-07-05 18:20:59,0,15,6141,11.93,42
2025-07-05 18:21:00,0,15,6141,11.98,42
2025-07-05 18:21:02,0,15,6141,12.03,42
2025-07-05 18:21:03,0,15,6141,12.06,42
2025-07-05 18:21:04,0,15,6141,12.08,42
2025-07-05 18:21:05,0,15,6141,3.99,42
2025-07-05 18:21:06,0,15,6141,2.64,41
2025-07-05 18:21:07,0,15,6141,1.91,41
2025-07-05 18:21:08,0,15,6141,1.72,41
2025-07-05 18:21:09,0,15,6141,1.73,41
2025-07-05 18:21:10,0,15,6141,1.72,41
2025-07-05 18:21:11,0,15,6141,1.72,41
2025-07-05 18:21:12,0,15,6141,1.72,41
2025-07-05 18:21:13,0,15,6141,1.72,41
2025-07-05 18:21:14,0,15,6141,1.72,41
2025-07-05 18:21:15,0,15,6141,1.74,41
2025-07-05 18:21:16,0,15,6141,1.75,41
2025-07-05 18:21:17,0,15,6141,1.78,41
2025-07-05 18:21:18,0,15,6141,1.80,41
2025-07-05 18:21:19,0,15,6141,1.81,41
2025-07-05 18:21:20,0,15,6141,1.82,41
2025-07-05 18:21:21,0,15,6141,1.81,41
2025-07-05 18:21:22,0,15,6141,1.80,41
2025-07-05 18:21:23,0,15,6141,1.80,41
2025-07-05 18:21:24,0,15,6141,1.78,41
2025-07-05 18:21:25,0,15,6141,1.79,41
2025-07-05 18:21:26,0,15,6141,1.82,41
2025-07-05 18:21:27,0,15,6141,1.80,41
2025-07-05 18:21:28,0,15,6141,1.77,41
2025-07-05 18:21:29,0,15,6141,1.76,40
2025-07-05 18:21:30,0,15,6141,1.76,40
2025-07-05 18:21:31,0,15,6141,1.77,40
2025-07-05 18:21:32,0,15,6141,1.79,40
2025-07-05 18:21:33,0,15,6141,1.80,40
2025-07-05 18:21:34,0,15,6141,1.82,40
2025-07-05 18:21:35,0,15,6141,1.85,40
2025-07-05 18:21:36,0,15,6141,1.85,40
2025-07-05 18:21:37,0,15,6141,1.86,40
2025-07-05 18:21:38,0,15,6141,1.85,40
2025-07-05 18:21:39,0,15,6141,1.81,40
2025-07-05 18:21:40,0,15,6141,1.80,40
2025-07-05 18:21:41,0,15,6141,1.82,40
2025-07-05 18:21:42,0,15,6141,1.83,40
2025-07-05 18:21:43,0,15,6141,1.83,40
2025-07-05 18:21:44,0,15,6141,1.87,40
2025-07-05 18:21:45,0,15,6141,1.88,40
2025-07-05 18:21:46,0,15,6141,1.88,40
2025-07-05 18:21:48,0,15,6141,1.91,40
2025-07-05 18:21:49,0,15,6141,1.90,40
2025-07-05 18:21:50,0,15,6141,1.89,40
2025-07-05 18:21:51,0,15,6141,1.91,40
2025-07-05 18:21:52,0,15,6141,1.90,40
2025-07-05 18:21:53,0,15,6141,1.89,40
2025-07-05 18:21:54,0,15,6141,1.92,40
2025-07-05 18:21:55,0,15,6141,1.94,40
2025-07-05 18:21:56,0,15,6141,1.95,40
2025-07-05 18:21:57,0,15,6141,1.97,40
2025-07-05 18:21:58,0,15,6141,1.95,40
2025-07-05 18:21:59,0,15,6141,1.92,40
2025-07-05 18:22:00,0,15,6141,1.94,39
2025-07-05 18:22:01,0,15,6141,1.96,39
2025-07-05 18:22:02,0,15,6141,1.96,39
2025-07-05 18:22:03,0,15,6141,1.97,39
2025-07-05 18:22:04,0,15,6141,1.98,39
2025-07-05 18:22:05,0,15,6141,1.97,39
2025-07-05 18:22:06,0,15,6141,1.95,39
2025-07-05 18:22:07,0,15,6141,1.95,39
2025-07-05 18:22:08,0,15,6141,1.95,39
2025-07-05 18:22:09,0,15,6141,1.97,39
2025-07-05 18:22:10,0,15,6141,1.96,39
2025-07-05 18:22:11,0,15,6141,1.98,39
2025-07-05 18:22:12,0,15,6141,1.98,39
2025-07-05 18:22:13,0,15,6141,1.98,39
2025-07-05 18:22:14,0,15,6141,1.99,39
2025-07-05 18:22:15,0,15,6141,1.96,39
2025-07-05 18:22:16,0,15,6141,1.94,39
2025-07-05 18:22:17,0,15,6141,1.93,39
2025-07-05 18:22:18,0,15,6141,1.95,39
2025-07-05 18:22:19,0,15,6141,1.99,39
2025-07-05 18:22:20,0,15,6141,2.01,39
2025-07-05 18:22:21,0,15,6141,2.00,39
2025-07-05 18:22:22,0,15,6141,2.01,39
2025-07-05 18:22:23,0,15,6141,2.01,39
2025-07-05 18:22:24,0,15,6141,2.02,39
2025-07-05 18:22:25,0,15,6141,2.01,39
2025-07-05 18:22:26,0,15,6141,2.00,39
2025-07-05 18:22:27,0,15,6141,2.02,39
2025-07-05 18:22:28,0,15,6141,2.03,39
2025-07-05 18:22:29,0,15,6141,2.04,39
2025-07-05 18:22:30,0,15,6141,2.02,39
2025-07-05 18:22:31,0,15,6141,2.01,39
2025-07-05 18:22:33,0,15,6141,2.00,39
2025-07-05 18:22:34,0,15,6141,2.00,39
2025-07-05 18:22:35,0,15,6141,1.98,39
2025-07-05 18:22:36,0,15,6141,2.01,39
