Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
15:51:57,12.5,0.0,12.9,73.4,1.3,5,93441,11674,39.92,43.05,57.05,66.00,39.05,40.05,20.00,66.00,57.00,43.05,1.42,GHz
15:51:58,50.1,0.9,40.8,7.8,0.5,95,566657,64130,52.96,43.05,57.05,53.00,39.05,40.05,20.00,53.00,57.00,43.05,2.62,GHz
15:51:59,49.2,0.0,50.5,0.3,0.0,65,226284,53783,52.96,43.05,52.05,53.00,39.05,40.05,20.00,53.00,52.00,43.05,2.62,GHz
15:52:00,57.8,0.5,41.1,0.5,0.0,35,567998,112969,51.68,43.05,52.05,52.00,39.05,40.05,20.00,52.00,52.00,43.05,2.65,GHz
15:52:01,45.2,0.0,18.4,36.1,0.3,15,500786,102641,51.95,43.05,51.05,51.00,39.05,40.05,20.00,51.00,51.00,43.05,3.05,GHz
15:52:02,44.0,0.1,33.7,22.1,0.1,2,864565,156850,40.36,43.05,53.05,58.00,40.05,40.05,20.00,58.00,53.00,43.05,1.81,GHz
15:52:03,21.8,0.0,8.5,69.3,0.4,6,229272,46464,54.51,43.05,50.05,47.00,40.05,40.05,20.00,47.00,50.00,43.05,2.76,GHz
15:52:04,22.2,0.1,7.3,70.0,0.4,2,237967,39848,38.93,43.05,46.05,46.00,40.05,40.05,20.00,46.00,46.00,43.05,2.02,GHz
15:52:05,22.5,0.0,7.1,70.0,0.3,3,264249,38326,35.27,43.05,46.05,44.00,40.05,40.05,20.00,44.00,46.00,43.05,0.90,GHz
15:52:06,20.6,0.1,6.9,72.1,0.3,2,243543,36618,33.91,43.05,46.05,46.00,41.05,40.05,20.00,46.00,46.00,43.05,2.39,GHz
15:52:07,21.6,0.0,7.0,71.1,0.3,10,255158,37358,33.66,43.05,46.05,46.00,41.05,40.05,20.00,47.00,46.00,43.05,2.24,GHz
15:52:08,27.7,0.0,8.0,63.9,0.4,5,269408,42564,33.31,43.05,47.05,47.00,41.05,40.05,20.00,47.00,47.00,43.05,2.85,GHz
15:52:09,20.6,0.1,7.3,71.7,0.4,2,232503,37124,33.07,44.05,46.05,46.00,41.05,40.05,20.00,46.00,46.00,43.05,2.43,GHz
15:52:10,20.7,0.0,6.5,72.4,0.4,4,236951,37039,32.41,44.05,46.05,45.00,41.05,40.05,20.00,45.00,46.00,43.05,2.29,GHz
15:52:11,20.1,0.1,6.6,72.7,0.4,30,244248,37094,32.79,44.05,46.05,47.00,41.05,40.05,20.00,47.00,46.00,43.05,2.20,GHz
15:52:12,19.1,0.0,6.5,74.0,0.5,4,228624,35391,32.66,44.05,46.05,46.00,41.05,40.05,20.00,46.00,46.00,43.05,1.46,GHz
15:52:13,19.8,0.1,6.5,73.3,0.4,2,231616,36196,32.38,44.05,46.05,46.00,41.05,40.05,20.00,46.00,46.00,43.05,3.05,GHz
15:52:14,25.1,0.0,7.8,66.9,0.3,4,274467,40649,32.73,44.05,46.05,46.00,41.05,40.05,20.00,46.00,46.00,43.05,1.26,GHz
15:52:15,22.7,0.1,7.0,69.8,0.4,12,243107,37272,33.27,44.05,46.05,47.00,42.05,40.05,20.00,47.00,46.00,43.05,2.46,GHz
15:52:16,24.8,0.1,7.6,67.2,0.4,2,239721,38299,33.80,44.05,47.05,46.00,42.05,40.05,20.00,46.00,47.00,43.05,1.68,GHz
15:52:17,23.9,0.1,6.5,69.2,0.4,4,240395,38999,34.07,44.05,47.05,47.00,42.05,40.05,20.00,47.00,47.00,43.05,1.82,GHz
15:52:18,23.4,0.0,6.8,69.6,0.3,1,246557,40504,33.93,44.05,47.05,46.00,42.05,41.05,20.00,46.00,47.00,43.05,3.05,GHz
15:52:19,22.8,0.1,7.2,69.6,0.3,8,244298,38932,34.53,44.05,47.05,46.00,42.05,41.05,20.00,47.00,47.00,43.05,1.79,GHz
