timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 16:36:22,16,15,6141,590.01,39
2025-07-05 16:36:25,0,15,6141,11.84,39
2025-07-05 16:36:26,0,15,6141,11.92,39
2025-07-05 16:36:27,0,15,6141,11.85,40
2025-07-05 16:36:28,0,15,6141,11.82,40
2025-07-05 16:36:29,0,15,6141,11.82,40
2025-07-05 16:36:30,0,15,6141,11.82,40
2025-07-05 16:36:31,0,15,6141,11.84,40
2025-07-05 16:36:32,0,15,6141,11.86,40
2025-07-05 16:36:33,0,15,6141,11.89,40
2025-07-05 16:36:34,0,15,6141,11.92,40
2025-07-05 16:36:35,0,15,6141,11.92,40
2025-07-05 16:36:36,0,15,6141,4.55,39
2025-07-05 16:36:37,0,15,6141,3.27,39
2025-07-05 16:36:38,0,15,6141,2.43,39
2025-07-05 16:36:39,0,15,6141,2.15,39
2025-07-05 16:36:40,0,15,6141,2.15,39
2025-07-05 16:36:41,0,15,6141,2.16,39
2025-07-05 16:36:42,0,15,6141,2.16,39
2025-07-05 16:36:43,0,15,6141,2.18,39
2025-07-05 16:36:44,0,15,6141,2.17,39
2025-07-05 16:36:45,0,15,6141,2.16,39
2025-07-05 16:36:46,0,15,6141,2.19,39
2025-07-05 16:36:47,0,15,6141,2.19,39
2025-07-05 16:36:48,0,15,6141,2.17,39
2025-07-05 16:36:49,0,15,6141,2.17,39
2025-07-05 16:36:50,0,15,6141,2.16,39
2025-07-05 16:36:51,0,15,6141,2.17,39
2025-07-05 16:36:52,0,15,6141,2.18,38
2025-07-05 16:36:53,0,15,6141,2.16,38
2025-07-05 16:36:54,0,15,6141,2.16,38
2025-07-05 16:36:55,0,15,6141,2.17,38
2025-07-05 16:36:56,0,15,6141,2.17,38
2025-07-05 16:36:57,0,15,6141,2.14,38
2025-07-05 16:36:58,0,15,6141,2.09,38
2025-07-05 16:36:59,0,15,6141,2.09,38
2025-07-05 16:37:00,0,15,6141,2.08,38
2025-07-05 16:37:01,0,15,6141,2.08,38
2025-07-05 16:37:02,0,15,6141,2.06,38
2025-07-05 16:37:03,0,15,6141,2.04,38
2025-07-05 16:37:04,0,15,6141,2.03,38
2025-07-05 16:37:05,0,15,6141,2.01,38
2025-07-05 16:37:06,0,15,6141,1.99,38
2025-07-05 16:37:07,0,15,6141,1.99,38
2025-07-05 16:37:08,0,15,6141,2.00,38
2025-07-05 16:37:09,0,15,6141,2.01,38
2025-07-05 16:37:10,0,15,6141,2.00,38
2025-07-05 16:37:12,0,15,6141,2.00,38
2025-07-05 16:37:13,0,15,6141,2.00,38
2025-07-05 16:37:14,0,15,6141,1.99,38
2025-07-05 16:37:15,0,15,6141,1.99,38
2025-07-05 16:37:16,0,15,6141,2.02,38
2025-07-05 16:37:17,0,15,6141,2.02,38
2025-07-05 16:37:18,0,15,6141,2.00,38
2025-07-05 16:37:19,0,15,6141,1.99,38
2025-07-05 16:37:20,0,15,6141,1.99,38
2025-07-05 16:37:21,0,15,6141,1.99,38
2025-07-05 16:37:22,0,15,6141,2.00,38
2025-07-05 16:37:23,0,15,6141,2.00,38
2025-07-05 16:37:24,0,15,6141,1.99,38
2025-07-05 16:37:25,0,15,6141,2.00,38
2025-07-05 16:37:26,0,15,6141,2.00,38
2025-07-05 16:37:27,0,15,6141,1.98,38
2025-07-05 16:37:28,0,15,6141,1.97,38
2025-07-05 16:37:29,0,15,6141,1.95,38
2025-07-05 16:37:30,0,15,6141,1.93,38
2025-07-05 16:37:31,0,15,6141,1.94,38
2025-07-05 16:37:32,0,15,6141,1.92,38
2025-07-05 16:37:33,0,15,6141,1.90,38
2025-07-05 16:37:34,0,15,6141,1.91,38
2025-07-05 16:37:35,0,15,6141,1.93,38
2025-07-05 16:37:36,0,15,6141,1.94,38
2025-07-05 16:37:37,0,15,6141,1.95,38
2025-07-05 16:37:38,0,15,6141,1.95,38
2025-07-05 16:37:39,0,15,6141,1.95,38
2025-07-05 16:37:40,0,15,6141,1.93,38
2025-07-05 16:37:41,0,15,6141,1.92,38
2025-07-05 16:37:42,0,15,6141,1.92,38
2025-07-05 16:37:43,0,15,6141,1.91,38
2025-07-05 16:37:44,0,15,6141,1.90,37
2025-07-05 16:37:45,0,15,6141,1.90,37
2025-07-05 16:37:46,0,15,6141,1.91,37
2025-07-05 16:37:47,0,15,6141,1.91,37
2025-07-05 16:37:48,0,15,6141,1.94,37
2025-07-05 16:37:49,0,15,6141,1.97,37
2025-07-05 16:37:50,0,15,6141,1.95,37
2025-07-05 16:37:51,0,15,6141,1.93,37
2025-07-05 16:37:52,0,15,6141,1.92,37
2025-07-05 16:37:53,0,15,6141,1.93,37
2025-07-05 16:37:54,0,15,6141,1.94,37
2025-07-05 16:37:55,0,15,6141,1.93,37
2025-07-05 16:37:57,0,15,6141,1.91,37
2025-07-05 16:37:58,0,15,6141,1.92,37
2025-07-05 16:37:59,0,15,6141,1.95,37
2025-07-05 16:38:00,0,15,6141,1.94,37
2025-07-05 16:38:01,0,15,6141,1.93,37
2025-07-05 16:38:02,0,15,6141,1.95,37
2025-07-05 16:38:03,0,15,6141,1.96,37
2025-07-05 16:38:04,0,15,6141,1.96,37
2025-07-05 16:38:05,0,15,6141,1.96,37
2025-07-05 16:38:06,0,15,6141,1.93,37
2025-07-05 16:38:07,0,15,6141,1.93,37
2025-07-05 16:38:08,0,15,6141,1.94,37
2025-07-05 16:38:09,0,15,6141,1.91,37
2025-07-05 16:38:10,0,15,6141,1.90,37
2025-07-05 16:38:11,0,15,6141,1.92,37
2025-07-05 16:38:12,0,15,6141,1.94,37
2025-07-05 16:38:13,0,15,6141,1.93,37
2025-07-05 16:38:14,0,15,6141,1.93,37
2025-07-05 16:38:15,0,15,6141,1.93,37
2025-07-05 16:38:16,0,15,6141,1.92,37
2025-07-05 16:38:17,0,15,6141,1.93,37
2025-07-05 16:38:18,0,15,6141,1.95,37
2025-07-05 16:38:19,0,15,6141,1.95,37
2025-07-05 16:38:20,0,15,6141,1.97,37
2025-07-05 16:38:21,0,15,6141,2.00,37
2025-07-05 16:38:22,0,15,6141,2.01,37
2025-07-05 16:38:23,0,15,6141,2.01,37
2025-07-05 16:38:24,0,15,6141,1.99,37
