timestamp,real_time_factor,iterations
2025-07-05 16:39:27,0.0017,2
2025-07-05 16:39:28,0.0034,5
2025-07-05 16:39:29,0.4761,119
2025-07-05 16:39:30,0.2638,232
2025-07-05 16:39:31,0.4845,375
2025-07-05 16:39:32,0.5221,539
2025-07-05 16:39:33,0.3794,685
2025-07-05 16:39:34,0.4375,844
2025-07-05 16:39:35,0.4569,992
2025-07-05 16:39:36,0.3719,1138
2025-07-05 16:39:37,0.4492,1291
2025-07-05 16:39:38,0.43,1447
2025-07-05 16:39:39,0.4607,1602
2025-07-05 16:39:40,0.5525,1769
2025-07-05 16:39:41,0.4126,1922
2025-07-05 16:39:42,0.4947,2068
2025-07-05 16:39:43,0.5234,2210
2025-07-05 16:39:44,0.3502,2333
2025-07-05 16:39:45,0.4176,2464
2025-07-05 16:39:46,0.4637,2599
2025-07-05 16:39:48,0.4816,2740
2025-07-05 16:39:49,0.3417,2876
2025-07-05 16:39:50,0.419,3026
2025-07-05 16:39:51,0.4647,3167
2025-07-05 16:39:52,0.4403,3301
2025-07-05 16:39:53,0.5059,3442
2025-07-05 16:39:54,0.3625,3564
2025-07-05 16:39:55,0.4632,3702
2025-07-05 16:39:56,0.4928,3851
2025-07-05 16:39:57,0.507,3991
2025-07-05 16:39:58,0.5021,4137
2025-07-05 16:39:59,0.3244,4280
2025-07-05 16:40:00,0.3894,4418
2025-07-05 16:40:01,0.4934,4566
2025-07-05 16:40:02,0.4073,4711
2025-07-05 16:40:03,0.5779,4850
2025-07-05 16:40:04,0.4977,4995
2025-07-05 16:40:05,0.3726,5145
2025-07-05 16:40:06,0.4427,5292
2025-07-05 16:40:07,0.4597,5435
2025-07-05 16:40:08,0.4938,5575
2025-07-05 16:40:09,0.2995,5705
2025-07-05 16:40:10,0.4326,5836
2025-07-05 16:40:11,0.4619,5978
2025-07-05 16:40:12,0.3695,6124
2025-07-05 16:40:13,0.4541,6273
2025-07-05 16:40:14,0.4534,6414
2025-07-05 16:40:15,0.4365,6549
2025-07-05 16:40:16,0.4304,6678
2025-07-05 16:40:17,0.4143,6810
2025-07-05 16:40:18,0.5589,6951
