timestamp,real_time_factor,iterations
2025-07-05 11:31:31,0.004,8
2025-07-05 11:31:32,0.011,19
2025-07-05 11:31:33,0.017,30
2025-07-05 11:31:34,0.024,43
2025-07-05 11:31:35,0.03,55
2025-07-05 11:31:36,0.035,67
2025-07-05 11:31:37,0.041,80
2025-07-05 11:31:38,0.046,92
2025-07-05 11:31:39,0.05,104
2025-07-05 11:31:40,0.055,116
2025-07-05 11:31:41,0.059,128
2025-07-05 11:31:42,0.063,140
2025-07-05 11:31:43,0.066,152
2025-07-05 11:31:44,0.069,163
2025-07-05 11:31:45,0.072,175
2025-07-05 11:31:46,0.076,187
2025-07-05 11:31:47,0.079,199
2025-07-05 11:31:48,0.081,211
2025-07-05 11:31:49,0.084,223
2025-07-05 11:31:50,0.087,235
2025-07-05 11:31:51,0.089,247
2025-07-05 11:31:52,0.091,259
2025-07-05 11:31:53,0.094,271
2025-07-05 11:31:54,0.096,283
2025-07-05 11:31:55,0.098,296
2025-07-05 11:31:56,0.1,308
2025-07-05 11:31:57,0.102,320
2025-07-05 11:31:58,0.104,333
2025-07-05 11:31:59,0.106,345
2025-07-05 11:32:00,0.108,358
2025-07-05 11:32:01,0.11,370
2025-07-05 11:32:02,0.112,383
2025-07-05 11:32:03,0.113,395
2025-07-05 11:32:04,0.115,407
2025-07-05 11:32:05,0.116,420
2025-07-05 11:32:06,0.118,432
2025-07-05 11:32:07,0.119,444
2025-07-05 11:32:08,0.121,457
2025-07-05 11:32:09,0.122,469
2025-07-05 11:32:10,0.123,482
2025-07-05 11:32:11,0.125,495
2025-07-05 11:32:12,0.126,508
2025-07-05 11:32:13,0.127,520
2025-07-05 11:32:14,0.129,533
2025-07-05 11:32:15,0.13,546
2025-07-05 11:32:16,0.131,559
2025-07-05 11:32:17,0.132,571
2025-07-05 11:32:18,0.133,584
2025-07-05 11:32:19,0.134,597
2025-07-05 11:32:20,0.135,610
2025-07-05 11:32:21,0.136,623
2025-07-05 11:32:22,0.137,636
2025-07-05 11:32:23,0.138,648
2025-07-05 11:32:24,0.139,661
2025-07-05 11:32:25,0.14,674
2025-07-05 11:32:26,0.141,687
2025-07-05 11:32:27,0.142,700
2025-07-05 11:32:28,0.143,713
2025-07-05 11:32:29,0.144,726
2025-07-05 11:32:30,0.145,739
2025-07-05 11:32:31,0.146,752
2025-07-05 11:32:32,0.146,765
2025-07-05 11:32:33,0.147,778
2025-07-05 11:32:34,0.148,790
2025-07-05 11:32:35,0.149,803
2025-07-05 11:32:36,0.149,816
2025-07-05 11:32:37,0.15,829
2025-07-05 11:32:38,0.151,842
2025-07-05 11:32:39,0.151,855
2025-07-05 11:32:40,0.152,868
2025-07-05 11:32:41,0.153,881
2025-07-05 11:32:42,0.153,894
2025-07-05 11:32:43,0.154,907
2025-07-05 11:32:44,0.155,920
2025-07-05 11:32:45,0.155,933
2025-07-05 11:32:46,0.156,946
2025-07-05 11:32:47,0.157,960
2025-07-05 11:32:48,0.157,973
2025-07-05 11:32:49,0.158,986
2025-07-05 11:32:50,0.158,1000
2025-07-05 11:32:51,0.159,1014
2025-07-05 11:32:52,0.16,1027
2025-07-05 11:32:53,0.16,1040
2025-07-05 11:32:54,0.161,1054
2025-07-05 11:32:55,0.161,1067
2025-07-05 11:32:56,0.162,1081
2025-07-05 11:32:57,0.162,1094
2025-07-05 11:32:58,0.163,1108
2025-07-05 11:32:59,0.164,1122
2025-07-05 11:33:00,0.164,1135
2025-07-05 11:33:01,0.165,1149
2025-07-05 11:33:02,0.165,1163
2025-07-05 11:33:03,0.166,1177
2025-07-05 11:33:04,0.166,1190
2025-07-05 11:33:05,0.167,1204
2025-07-05 11:33:06,0.167,1218
2025-07-05 11:33:07,0.168,1232
2025-07-05 11:33:08,0.169,1246
2025-07-05 11:33:09,0.169,1260
2025-07-05 11:33:10,0.17,1274
2025-07-05 11:33:11,0.17,1288
2025-07-05 11:33:12,0.171,1302
2025-07-05 11:33:13,0.171,1316
2025-07-05 11:33:14,0.172,1330
2025-07-05 11:33:15,0.172,1344
2025-07-05 11:33:16,0.173,1358
2025-07-05 11:33:17,0.173,1372
2025-07-05 11:33:18,0.173,1386
2025-07-05 11:33:19,0.174,1401
2025-07-05 11:33:20,0.174,1415
2025-07-05 11:33:21,0.175,1429
2025-07-05 11:33:22,0.175,1443
2025-07-05 11:33:23,0.176,1458
2025-07-05 11:33:24,0.176,1472
2025-07-05 11:33:25,0.177,1486
2025-07-05 11:33:26,0.177,1501
2025-07-05 11:33:27,0.178,1515
2025-07-05 11:33:28,0.178,1529
2025-07-05 11:33:29,0.178,1544
2025-07-05 11:33:30,0.179,1558
2025-07-05 11:33:31,0.179,1573
2025-07-05 11:33:32,0.18,1587
2025-07-05 11:33:33,0.18,1602
2025-07-05 11:33:34,0.181,1616
2025-07-05 11:33:35,0.181,1631
2025-07-05 11:33:36,0.181,1645
2025-07-05 11:33:37,0.182,1660
2025-07-05 11:33:38,0.182,1675
2025-07-05 11:33:39,0.183,1689
2025-07-05 11:33:40,0.183,1704
2025-07-05 11:33:41,0.183,1718
2025-07-05 11:33:42,0.184,1733
2025-07-05 11:33:43,0.184,1748
2025-07-05 11:33:44,0.184,1762
2025-07-05 11:33:45,0.185,1776
2025-07-05 11:33:46,0.185,1791
2025-07-05 11:33:47,0.185,1805
2025-07-05 11:33:48,0.186,1820
2025-07-05 11:33:49,0.186,1834
2025-07-05 11:33:50,0.187,1849
2025-07-05 11:33:51,0.187,1863
2025-07-05 11:33:52,0.187,1877
2025-07-05 11:33:53,0.187,1891
2025-07-05 11:33:54,0.188,1905
2025-07-05 11:33:55,0.188,1920
2025-07-05 11:33:56,0.188,1934
2025-07-05 11:33:57,0.189,1948
2025-07-05 11:33:58,0.189,1962
2025-07-05 11:33:59,0.189,1976
2025-07-05 11:34:00,0.189,1990
2025-07-05 11:34:01,0.19,2005
2025-07-05 11:34:02,0.19,2019
2025-07-05 11:34:03,0.19,2033
2025-07-05 11:34:04,0.19,2046
2025-07-05 11:34:05,0.19,2060
2025-07-05 11:34:06,0.191,2074
2025-07-05 11:34:07,0.191,2088
2025-07-05 11:34:08,0.191,2102
2025-07-05 11:34:09,0.191,2116
2025-07-05 11:34:10,0.192,2130
2025-07-05 11:34:11,0.192,2143
2025-07-05 11:34:12,0.192,2157
2025-07-05 11:34:13,0.192,2170
2025-07-05 11:34:14,0.192,2182
2025-07-05 11:34:15,0.192,2195
2025-07-05 11:34:16,0.192,2208
2025-07-05 11:34:17,0.192,2220
2025-07-05 11:34:18,0.193,2233
2025-07-05 11:34:19,0.193,2245
2025-07-05 11:34:20,0.193,2258
2025-07-05 11:34:21,0.193,2271
2025-07-05 11:34:22,0.193,2283
2025-07-05 11:34:23,0.193,2296
2025-07-05 11:34:24,0.193,2309
2025-07-05 11:34:25,0.193,2321
