timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 11:40:13,17,15,6141,590.01,45
2025-07-05 11:40:16,0,252,6141,12.85,45
2025-07-05 11:40:17,0,281,6141,12.94,45
2025-07-05 11:40:18,0,281,6141,12.20,46
2025-07-05 11:40:19,0,313,6141,12.18,46
2025-07-05 11:40:20,0,313,6141,12.18,46
2025-07-05 11:40:21,0,313,6141,12.07,46
2025-07-05 11:40:22,0,313,6141,12.08,46
2025-07-05 11:40:23,0,400,6141,12.25,46
2025-07-05 11:40:24,0,400,6141,12.07,46
2025-07-05 11:40:25,0,400,6141,12.04,46
2025-07-05 11:40:26,0,400,6141,12.03,46
2025-07-05 11:40:27,0,400,6141,12.05,46
2025-07-05 11:40:28,0,400,6141,12.07,46
2025-07-05 11:40:29,7,318,6141,12.38,47
2025-07-05 11:40:30,7,408,6141,12.37,48
2025-07-05 11:40:31,1,504,6141,12.23,48
2025-07-05 11:40:32,4,472,6141,12.35,48
2025-07-05 11:40:33,4,472,6141,12.56,48
2025-07-05 11:40:34,19,570,6141,13.11,49
2025-07-05 11:40:35,0,586,6141,13.28,49
2025-07-05 11:40:36,0,586,6141,12.11,49
2025-07-05 11:40:37,0,586,6141,12.13,49
2025-07-05 11:40:38,0,586,6141,12.08,49
2025-07-05 11:40:39,0,586,6141,12.19,49
2025-07-05 11:40:40,0,587,6141,12.19,49
2025-07-05 11:40:41,0,587,6141,12.26,49
2025-07-05 11:40:42,1,587,6141,12.31,50
2025-07-05 11:40:43,0,587,6141,12.27,50
2025-07-05 11:40:44,1,587,6141,12.27,50
2025-07-05 11:40:45,0,2234,6141,14.48,50
2025-07-05 11:40:46,0,2242,6141,13.27,50
2025-07-05 11:40:47,100,3217,6141,18.05,55
2025-07-05 11:40:48,100,3683,6141,51.42,57
2025-07-05 11:40:49,100,4084,6141,53.10,57
2025-07-05 11:40:50,100,4244,6141,53.31,58
2025-07-05 11:40:51,100,4244,6141,53.70,59
2025-07-05 11:40:52,100,4244,6141,53.76,58
2025-07-05 11:40:53,99,4244,6141,53.88,58
2025-07-05 11:40:54,100,4244,6141,53.78,59
2025-07-05 11:40:55,100,4244,6141,54.06,59
2025-07-05 11:40:56,100,4244,6141,53.93,59
2025-07-05 11:40:58,100,4244,6141,54.03,59
2025-07-05 11:40:59,100,4244,6141,53.83,59
2025-07-05 11:41:00,100,4244,6141,53.94,59
2025-07-05 11:41:01,100,4244,6141,54.06,60
2025-07-05 11:41:02,100,4244,6141,53.95,60
2025-07-05 11:41:03,100,4244,6141,53.97,61
2025-07-05 11:41:04,100,4244,6141,53.94,62
2025-07-05 11:41:05,100,4244,6141,53.82,61
2025-07-05 11:41:06,100,4244,6141,53.99,61
2025-07-05 11:41:07,100,4244,6141,53.88,60
2025-07-05 11:41:08,99,4244,6141,53.51,61
2025-07-05 11:41:09,100,4244,6141,54.12,62
2025-07-05 11:41:10,100,4244,6141,54.28,63
2025-07-05 11:41:11,100,4244,6141,54.19,61
2025-07-05 11:41:12,100,4244,6141,54.39,62
2025-07-05 11:41:13,100,4244,6141,54.25,62
2025-07-05 11:41:14,100,4244,6141,54.18,62
2025-07-05 11:41:15,99,4244,6141,54.60,62
2025-07-05 11:41:16,100,4244,6141,54.44,62
2025-07-05 11:41:17,100,4244,6141,54.80,63
2025-07-05 11:41:18,99,4244,6141,55.10,62
2025-07-05 11:41:19,100,4244,6141,54.91,63
2025-07-05 11:41:20,100,4244,6141,55.09,63
2025-07-05 11:41:21,100,4244,6141,55.17,62
2025-07-05 11:41:22,99,4244,6141,55.04,63
2025-07-05 11:41:23,100,4244,6141,55.04,63
2025-07-05 11:41:24,100,4244,6141,55.14,63
2025-07-05 11:41:25,100,4244,6141,55.18,63
2025-07-05 11:41:26,100,4244,6141,55.08,64
2025-07-05 11:41:27,100,4244,6141,55.59,64
2025-07-05 11:41:28,100,4244,6141,55.28,63
2025-07-05 11:41:29,100,4244,6141,55.19,64
2025-07-05 11:41:30,100,4244,6141,55.11,64
2025-07-05 11:41:31,100,4244,6141,55.51,64
2025-07-05 11:41:32,100,4244,6141,55.38,64
2025-07-05 11:41:33,99,4244,6141,55.28,64
2025-07-05 11:41:34,100,4244,6141,55.59,65
2025-07-05 11:41:35,100,4244,6141,55.73,64
2025-07-05 11:41:36,100,4244,6141,55.65,64
2025-07-05 11:41:37,99,4244,6141,55.50,64
2025-07-05 11:41:38,100,4244,6141,55.71,67
2025-07-05 11:41:39,100,4244,6141,55.45,65
2025-07-05 11:41:40,100,4244,6141,55.57,66
2025-07-05 11:41:41,100,4244,6141,55.97,64
2025-07-05 11:41:42,99,4244,6141,55.51,65
2025-07-05 11:41:43,100,4244,6141,55.60,65
2025-07-05 11:41:44,100,4244,6141,55.80,65
2025-07-05 11:41:45,100,4244,6141,55.80,66
2025-07-05 11:41:46,100,4244,6141,55.90,65
2025-07-05 11:41:48,99,4244,6141,55.73,65
2025-07-05 11:41:49,99,4244,6141,55.60,66
2025-07-05 11:41:50,100,4244,6141,55.86,65
2025-07-05 11:41:51,100,4244,6141,56.01,65
2025-07-05 11:41:52,99,4244,6141,56.00,65
2025-07-05 11:41:53,100,4244,6141,56.15,66
2025-07-05 11:41:54,100,4244,6141,56.22,66
2025-07-05 11:41:55,99,4244,6141,56.08,66
2025-07-05 11:41:56,100,4244,6141,56.31,66
2025-07-05 11:41:57,100,4244,6141,56.23,65
2025-07-05 11:41:58,100,4244,6141,56.09,66
2025-07-05 11:41:59,100,4244,6141,56.40,66
2025-07-05 11:42:00,99,4244,6141,56.38,66
2025-07-05 11:42:01,100,4244,6141,56.49,66
2025-07-05 11:42:02,100,4244,6141,56.31,66
2025-07-05 11:42:03,100,4244,6141,56.42,66
2025-07-05 11:42:04,100,4244,6141,56.43,67
2025-07-05 11:42:05,99,4244,6141,56.84,66
2025-07-05 11:42:06,100,4244,6141,56.52,66
2025-07-05 11:42:07,100,4244,6141,56.60,66
2025-07-05 11:42:08,100,4244,6141,56.62,66
2025-07-05 11:42:09,100,4244,6141,56.15,66
2025-07-05 11:42:10,99,4244,6141,56.51,66
2025-07-05 11:42:11,100,4244,6141,56.54,67
2025-07-05 11:42:12,100,4244,6141,56.31,66
2025-07-05 11:42:13,99,4244,6141,56.50,66
2025-07-05 11:42:14,100,4244,6141,56.67,65
2025-07-05 11:42:15,100,4244,6141,56.95,66
2025-07-05 11:42:16,100,4244,6141,56.90,66
2025-07-05 11:42:17,100,4244,6141,56.90,67
2025-07-05 11:42:18,100,4244,6141,57.07,66
2025-07-05 11:42:19,100,4244,6141,57.10,66
2025-07-05 11:42:20,100,4244,6141,56.92,66
2025-07-05 11:42:21,99,4244,6141,57.03,66
2025-07-05 11:42:22,99,4244,6141,57.10,66
2025-07-05 11:42:23,100,4244,6141,57.22,66
2025-07-05 11:42:24,100,4244,6141,57.16,66
2025-07-05 11:42:25,99,4244,6141,57.02,66
2025-07-05 11:42:26,99,4244,6141,56.86,66
2025-07-05 11:42:27,99,4244,6141,57.12,67
2025-07-05 11:42:28,99,4244,6141,57.31,67
2025-07-05 11:42:29,99,4244,6141,57.08,66
2025-07-05 11:42:30,100,4244,6141,56.75,65
2025-07-05 11:42:31,99,4244,6141,56.89,66
2025-07-05 11:42:32,100,4244,6141,56.89,67
2025-07-05 11:42:33,99,4244,6141,56.93,66
2025-07-05 11:42:34,100,4244,6141,57.18,65
2025-07-05 11:42:36,100,4244,6141,56.90,66
2025-07-05 11:42:37,100,4244,6141,57.02,65
2025-07-05 11:42:38,100,4244,6141,57.34,65
2025-07-05 11:42:39,100,4244,6141,56.99,66
2025-07-05 11:42:40,100,4244,6141,57.23,66
2025-07-05 11:42:41,100,4244,6141,57.15,66
2025-07-05 11:42:42,100,4244,6141,56.99,66
2025-07-05 11:42:43,99,4244,6141,56.71,66
2025-07-05 11:42:44,99,4244,6141,56.84,66
