timestamp,real_time_factor,iterations
2025-07-05 11:50:50,0.0,1
2025-07-05 11:50:51,0.005,10
2025-07-05 11:50:52,0.011,22
2025-07-05 11:50:53,0.016,34
2025-07-05 11:50:54,0.022,47
2025-07-05 11:50:55,0.027,59
2025-07-05 11:50:56,0.032,72
2025-07-05 11:50:57,0.036,84
2025-07-05 11:50:58,0.041,97
2025-07-05 11:50:59,0.045,109
2025-07-05 11:51:00,0.049,122
2025-07-05 11:51:01,0.053,134
2025-07-05 11:51:02,0.056,146
2025-07-05 11:51:03,0.059,158
2025-07-05 11:51:04,0.063,170
2025-07-05 11:51:05,0.066,182
2025-07-05 11:51:06,0.068,193
2025-07-05 11:51:07,0.071,206
2025-07-05 11:51:08,0.074,218
2025-07-05 11:51:09,0.077,231
2025-07-05 11:51:10,0.079,243
2025-07-05 11:51:11,0.082,256
2025-07-05 11:51:12,0.085,270
2025-07-05 11:51:13,0.087,283
2025-07-05 11:51:14,0.09,297
2025-07-05 11:51:15,0.092,310
2025-07-05 11:51:16,0.094,324
2025-07-05 11:51:17,0.097,338
2025-07-05 11:51:18,0.099,351
2025-07-05 11:51:19,0.101,365
2025-07-05 11:51:20,0.103,378
2025-07-05 11:51:21,0.105,392
2025-07-05 11:51:22,0.107,405
2025-07-05 11:51:23,0.109,419
2025-07-05 11:51:24,0.111,433
2025-07-05 11:51:25,0.112,446
2025-07-05 11:51:26,0.114,460
2025-07-05 11:51:27,0.116,473
2025-07-05 11:51:28,0.117,487
2025-07-05 11:51:29,0.119,501
2025-07-05 11:51:30,0.12,514
2025-07-05 11:51:31,0.122,528
2025-07-05 11:51:32,0.123,541
2025-07-05 11:51:33,0.125,555
2025-07-05 11:51:34,0.126,569
2025-07-05 11:51:35,0.127,582
2025-07-05 11:51:36,0.129,596
2025-07-05 11:51:37,0.13,610
2025-07-05 11:51:38,0.131,624
2025-07-05 11:51:39,0.133,638
2025-07-05 11:51:40,0.134,652
2025-07-05 11:51:41,0.135,665
2025-07-05 11:51:42,0.136,679
2025-07-05 11:51:43,0.137,693
2025-07-05 11:51:44,0.138,706
2025-07-05 11:51:45,0.139,720
2025-07-05 11:51:46,0.14,734
2025-07-05 11:51:47,0.141,747
2025-07-05 11:51:48,0.142,761
2025-07-05 11:51:49,0.143,775
2025-07-05 11:51:50,0.144,788
2025-07-05 11:51:51,0.145,802
2025-07-05 11:51:52,0.146,816
2025-07-05 11:51:53,0.147,829
2025-07-05 11:51:54,0.148,843
2025-07-05 11:51:55,0.149,857
2025-07-05 11:51:56,0.149,870
2025-07-05 11:51:57,0.15,884
2025-07-05 11:51:58,0.151,898
2025-07-05 11:51:59,0.152,911
2025-07-05 11:52:00,0.152,925
2025-07-05 11:52:01,0.153,939
2025-07-05 11:52:02,0.154,952
2025-07-05 11:52:03,0.155,966
2025-07-05 11:52:04,0.155,979
2025-07-05 11:52:05,0.156,993
2025-07-05 11:52:06,0.157,1007
2025-07-05 11:52:07,0.157,1021
2025-07-05 11:52:08,0.158,1034
2025-07-05 11:52:09,0.158,1048
2025-07-05 11:52:10,0.159,1061
2025-07-05 11:52:11,0.16,1074
2025-07-05 11:52:12,0.16,1088
2025-07-05 11:52:13,0.161,1101
2025-07-05 11:52:14,0.161,1114
2025-07-05 11:52:15,0.162,1128
2025-07-05 11:52:16,0.162,1141
2025-07-05 11:52:17,0.163,1155
2025-07-05 11:52:18,0.163,1168
2025-07-05 11:52:19,0.164,1181
2025-07-05 11:52:20,0.164,1195
2025-07-05 11:52:21,0.165,1208
2025-07-05 11:52:22,0.165,1221
2025-07-05 11:52:23,0.166,1235
2025-07-05 11:52:24,0.166,1248
2025-07-05 11:52:25,0.167,1262
2025-07-05 11:52:26,0.167,1276
2025-07-05 11:52:27,0.168,1290
2025-07-05 11:52:28,0.168,1303
2025-07-05 11:52:29,0.169,1317
2025-07-05 11:52:30,0.169,1330
2025-07-05 11:52:31,0.169,1344
2025-07-05 11:52:32,0.17,1357
2025-07-05 11:52:33,0.171,1373
2025-07-05 11:52:34,0.172,1392
2025-07-05 11:52:35,0.173,1411
2025-07-05 11:52:36,0.174,1430
2025-07-05 11:52:37,0.175,1450
2025-07-05 11:52:38,0.176,1469
2025-07-05 11:52:39,0.177,1488
2025-07-05 11:52:40,0.178,1507
2025-07-05 11:52:41,0.179,1526
2025-07-05 11:52:42,0.18,1546
2025-07-05 11:52:43,0.181,1565
2025-07-05 11:52:44,0.182,1585
2025-07-05 11:52:45,0.183,1604
2025-07-05 11:52:46,0.184,1623
2025-07-05 11:52:47,0.185,1642
2025-07-05 11:52:48,0.186,1662
2025-07-05 11:52:49,0.187,1681
2025-07-05 11:52:50,0.188,1701
2025-07-05 11:52:51,0.188,1720
2025-07-05 11:52:52,0.189,1740
2025-07-05 11:52:53,0.19,1759
2025-07-05 11:52:54,0.191,1779
2025-07-05 11:52:55,0.192,1799
2025-07-05 11:52:56,0.193,1819
2025-07-05 11:52:57,0.194,1839
2025-07-05 11:52:58,0.195,1859
2025-07-05 11:52:59,0.195,1878
2025-07-05 11:53:00,0.196,1898
2025-07-05 11:53:01,0.197,1918
2025-07-05 11:53:02,0.198,1937
2025-07-05 11:53:03,0.199,1957
2025-07-05 11:53:04,0.199,1977
2025-07-05 11:53:05,0.2,1996
2025-07-05 11:53:06,0.201,2017
2025-07-05 11:53:07,0.202,2037
2025-07-05 11:53:08,0.203,2057
2025-07-05 11:53:09,0.203,2076
2025-07-05 11:53:10,0.204,2096
2025-07-05 11:53:11,0.205,2115
2025-07-05 11:53:12,0.205,2134
2025-07-05 11:53:13,0.206,2154
2025-07-05 11:53:14,0.207,2173
2025-07-05 11:53:15,0.207,2192
2025-07-05 11:53:16,0.208,2211
2025-07-05 11:53:17,0.209,2230
2025-07-05 11:53:18,0.209,2249
2025-07-05 11:53:19,0.21,2268
2025-07-05 11:53:20,0.21,2287
2025-07-05 11:53:21,0.211,2306
2025-07-05 11:53:22,0.211,2325
2025-07-05 11:53:23,0.212,2344
2025-07-05 11:53:24,0.213,2363
2025-07-05 11:53:25,0.213,2382
2025-07-05 11:53:26,0.214,2400
2025-07-05 11:53:27,0.214,2419
2025-07-05 11:53:28,0.215,2438
2025-07-05 11:53:29,0.215,2457
2025-07-05 11:53:30,0.216,2476
2025-07-05 11:53:31,0.216,2495
2025-07-05 11:53:32,0.217,2515
2025-07-05 11:53:33,0.217,2534
2025-07-05 11:53:34,0.218,2553
2025-07-05 11:53:35,0.218,2572
2025-07-05 11:53:36,0.219,2591
2025-07-05 11:53:37,0.219,2610
2025-07-05 11:53:38,0.219,2623
2025-07-05 11:53:39,0.219,2636
2025-07-05 11:53:40,0.219,2648
2025-07-05 11:53:41,0.219,2661
2025-07-05 11:53:42,0.219,2674
2025-07-05 11:53:43,0.219,2687
2025-07-05 11:53:44,0.219,2699
2025-07-05 11:53:45,0.219,2712
2025-07-05 11:53:46,0.219,2725
2025-07-05 11:53:47,0.219,2738
2025-07-05 11:53:48,0.219,2751
2025-07-05 11:53:49,0.219,2764
2025-07-05 11:53:50,0.219,2777
2025-07-05 11:53:51,0.219,2790
2025-07-05 11:53:52,0.219,2803
2025-07-05 11:53:53,0.219,2816
2025-07-05 11:53:54,0.219,2829
2025-07-05 11:53:55,0.219,2841
2025-07-05 11:53:56,0.219,2854
2025-07-05 11:53:57,0.219,2867
2025-07-05 11:53:58,0.219,2879
2025-07-05 11:53:59,0.219,2892
2025-07-05 11:54:00,0.219,2905
2025-07-05 11:54:01,0.219,2917
2025-07-05 11:54:02,0.219,2929
2025-07-05 11:54:03,0.219,2942
2025-07-05 11:54:04,0.219,2954
2025-07-05 11:54:05,0.219,2967
2025-07-05 11:54:06,0.219,2979
2025-07-05 11:54:07,0.218,2991
2025-07-05 11:54:08,0.218,3005
2025-07-05 11:54:09,0.218,3017
2025-07-05 11:54:10,0.218,3029
2025-07-05 11:54:11,0.218,3042
2025-07-05 11:54:12,0.218,3054
2025-07-05 11:54:13,0.218,3066
2025-07-05 11:54:14,0.218,3078
2025-07-05 11:54:15,0.218,3091
2025-07-05 11:54:16,0.218,3103
2025-07-05 11:54:17,0.218,3115
2025-07-05 11:54:18,0.218,3128
