timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-05 11:59:16,20.0,0.0,0.0,5.0,1.99,0.64,0.22,0.08,380,841,3
2025-07-05 11:59:17,30.2,13.3,16.8,67.0,2.62,0.64,0.22,0.08,386,1005,3
2025-07-05 11:59:18,17.1,8.3,8.3,79.7,1.5,0.64,0.22,0.08,384,1026,0
2025-07-05 11:59:19,17.6,7.4,10.1,80.7,2.26,0.64,0.22,0.08,398,1090,0
2025-07-05 11:59:20,18.6,8.9,9.5,79.7,2.55,0.75,0.25,0.09,399,1126,1
2025-07-05 11:59:21,16.0,8.0,7.8,82.2,1.38,0.75,0.25,0.09,398,1141,1
2025-07-05 11:59:22,8.3,6.9,1.4,90.5,3.51,0.75,0.25,0.09,398,1142,1
2025-07-05 11:59:23,8.3,6.6,1.6,90.3,1.54,0.75,0.25,0.09,398,1144,0
2025-07-05 11:59:24,0.9,0.5,0.4,98.9,1.49,0.75,0.25,0.09,398,1144,0
2025-07-05 11:59:25,6.1,5.1,1.1,92.6,2.6,0.93,0.29,0.1,398,1154,1
2025-07-05 11:59:26,6.6,4.4,1.5,92.6,1.53,0.93,0.29,0.1,399,1165,0
2025-07-05 11:59:27,0.9,0.6,0.4,98.8,1.86,0.93,0.29,0.1,399,1164,0
2025-07-05 11:59:29,1.1,0.6,0.4,98.8,1.2,0.93,0.29,0.1,399,1164,0
2025-07-05 11:59:30,1.0,0.5,0.5,98.8,1.52,0.93,0.29,0.1,399,1164,0
2025-07-05 11:59:31,0.9,0.4,0.4,98.9,0.99,0.85,0.29,0.1,399,1164,0
2025-07-05 11:59:32,3.0,1.9,1.0,96.8,4.42,0.85,0.29,0.1,399,1169,1
2025-07-05 11:59:33,47.0,38.0,7.7,52.0,4.06,0.85,0.29,0.1,399,1175,1
2025-07-05 11:59:34,80.7,70.4,11.0,18.1,4.22,0.85,0.29,0.1,398,1174,1
2025-07-05 11:59:35,87.2,74.4,11.9,13.1,4.36,0.85,0.29,0.1,399,1181,1
2025-07-05 11:59:36,28.1,21.6,4.3,69.5,2.31,0.95,0.32,0.11,400,1183,1
