Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
10:14:07,14.4,0.0,14.8,67.9,2.9,4,123978,18915,14.94,41.05,45.05,47.00,37.05,39.05,20.00,47.00,45.00,41.05,2.59,GHz
10:14:08,10.3,0.0,3.3,83.4,3.0,2,71651,20707,40.97,41.05,53.05,60.00,38.05,39.05,20.00,60.00,53.00,41.05,1.45,GHz
10:14:09,7.8,0.0,10.5,80.2,1.5,3,128658,29581,33.87,41.05,53.05,43.00,38.05,39.05,20.00,43.00,53.00,41.05,1.87,GHz
10:14:10,3.9,0.0,4.1,90.8,1.3,1,98958,42159,44.22,41.05,50.05,43.00,38.05,39.05,20.00,43.00,50.00,41.05,1.36,GHz
10:14:11,10.6,0.0,8.4,79.6,1.4,2,135783,32102,38.64,41.05,43.05,53.00,38.05,39.05,20.00,53.00,43.00,41.05,1.92,GHz
10:14:12,8.9,0.0,7.9,81.5,1.6,2,53741,31235,48.21,41.05,48.05,53.00,38.05,39.05,20.00,53.00,48.00,41.05,1.61,GHz
10:14:13,6.7,0.0,1.3,91.3,0.8,4,45916,25270,44.09,41.05,52.05,44.00,38.05,39.05,20.00,44.00,52.00,41.05,1.69,GHz
10:14:14,5.0,0.0,1.5,92.5,0.9,1,69444,27660,42.42,41.05,50.05,44.00,38.05,39.05,20.00,44.00,50.00,41.05,1.89,GHz
10:14:15,0.3,0.0,0.3,99.4,0.1,1,36210,18786,34.99,41.05,44.05,43.00,38.05,39.05,20.00,43.00,44.00,41.05,1.08,GHz
10:14:16,0.6,0.0,0.5,98.7,0.2,1,37361,19772,33.53,42.05,43.05,44.00,38.05,39.05,20.00,44.00,43.00,41.05,1.17,GHz
10:14:17,0.4,0.0,0.5,98.8,0.3,3,37944,20197,35.91,42.05,44.05,44.00,39.05,39.05,20.00,44.00,44.00,41.05,1.20,GHz
