timestamp,real_time_factor,iterations
2025-07-06 10:16:57,0.0,6
2025-07-06 10:16:58,0.001,16
2025-07-06 10:16:59,0.002,26
2025-07-06 10:17:00,0.003,36
2025-07-06 10:17:01,0.004,46
2025-07-06 10:17:02,0.005,57
2025-07-06 10:17:03,0.006,67
2025-07-06 10:17:04,0.007,77
2025-07-06 10:17:05,0.008,87
2025-07-06 10:17:06,0.009,98
2025-07-06 10:17:07,0.01,108
2025-07-06 10:17:08,0.011,118
2025-07-06 10:17:09,0.012,127
2025-07-06 10:17:10,0.013,137
2025-07-06 10:17:11,0.013,147
2025-07-06 10:17:12,0.014,157
2025-07-06 10:17:13,0.015,167
2025-07-06 10:17:14,0.016,177
2025-07-06 10:17:15,0.017,187
2025-07-06 10:17:16,0.017,197
2025-07-06 10:17:17,0.018,207
2025-07-06 10:17:18,0.019,218
2025-07-06 10:17:19,0.02,228
2025-07-06 10:17:20,0.021,239
2025-07-06 10:17:21,0.022,250
2025-07-06 10:17:22,0.023,262
2025-07-06 10:17:23,0.023,273
2025-07-06 10:17:24,0.024,284
2025-07-06 10:17:25,0.025,295
2025-07-06 10:17:26,0.026,306
2025-07-06 10:17:27,0.027,318
2025-07-06 10:17:28,0.027,329
2025-07-06 10:17:29,0.028,340
2025-07-06 10:17:30,0.029,351
2025-07-06 10:17:31,0.03,362
2025-07-06 10:17:32,0.031,374
2025-07-06 10:17:33,0.031,385
2025-07-06 10:17:34,0.032,396
2025-07-06 10:17:35,0.033,407
2025-07-06 10:17:36,0.034,419
2025-07-06 10:17:37,0.034,430
2025-07-06 10:17:38,0.035,441
2025-07-06 10:17:39,0.036,452
2025-07-06 10:17:40,0.036,463
2025-07-06 10:17:41,0.037,475
2025-07-06 10:17:42,0.038,486
2025-07-06 10:17:43,0.039,497
2025-07-06 10:17:44,0.039,509
2025-07-06 10:17:45,0.04,520
2025-07-06 10:17:46,0.041,531
2025-07-06 10:17:47,0.041,542
2025-07-06 10:17:48,0.042,554
2025-07-06 10:17:49,0.043,565
2025-07-06 10:17:50,0.043,576
2025-07-06 10:17:51,0.044,588
2025-07-06 10:17:52,0.045,599
2025-07-06 10:17:53,0.045,610
2025-07-06 10:17:54,0.046,621
2025-07-06 10:17:55,0.047,632
2025-07-06 10:17:56,0.047,644
2025-07-06 10:17:57,0.048,655
2025-07-06 10:17:58,0.048,666
2025-07-06 10:17:59,0.049,678
2025-07-06 10:18:00,0.05,689
2025-07-06 10:18:01,0.05,700
2025-07-06 10:18:02,0.051,711
2025-07-06 10:18:03,0.051,723
2025-07-06 10:18:04,0.052,734
2025-07-06 10:18:05,0.053,745
2025-07-06 10:18:06,0.053,757
2025-07-06 10:18:07,0.054,768
2025-07-06 10:18:08,0.054,780
2025-07-06 10:18:09,0.055,791
2025-07-06 10:18:10,0.055,802
2025-07-06 10:18:11,0.056,813
2025-07-06 10:18:12,0.057,825
2025-07-06 10:18:13,0.057,836
2025-07-06 10:18:14,0.058,848
2025-07-06 10:18:15,0.058,859
2025-07-06 10:18:16,0.059,870
2025-07-06 10:18:17,0.059,881
2025-07-06 10:18:18,0.06,893
2025-07-06 10:18:19,0.06,904
2025-07-06 10:18:20,0.061,915
2025-07-06 10:18:21,0.061,927
2025-07-06 10:18:22,0.062,938
2025-07-06 10:18:23,0.062,949
2025-07-06 10:18:24,0.063,961
2025-07-06 10:18:25,0.063,972
2025-07-06 10:18:26,0.064,983
2025-07-06 10:18:27,0.064,995
2025-07-06 10:18:28,0.065,1007
2025-07-06 10:18:29,0.065,1018
2025-07-06 10:18:30,0.066,1029
2025-07-06 10:18:31,0.066,1040
2025-07-06 10:18:32,0.066,1051
2025-07-06 10:18:33,0.067,1062
2025-07-06 10:18:34,0.067,1073
2025-07-06 10:18:35,0.068,1084
2025-07-06 10:18:36,0.068,1095
2025-07-06 10:18:37,0.069,1106
2025-07-06 10:18:38,0.069,1117
2025-07-06 10:18:39,0.07,1128
2025-07-06 10:18:40,0.07,1139
2025-07-06 10:18:41,0.07,1150
2025-07-06 10:18:42,0.071,1161
2025-07-06 10:18:43,0.071,1173
2025-07-06 10:18:44,0.072,1184
2025-07-06 10:18:45,0.072,1195
2025-07-06 10:18:46,0.072,1206
2025-07-06 10:18:47,0.073,1217
2025-07-06 10:18:48,0.073,1228
2025-07-06 10:18:49,0.074,1240
2025-07-06 10:18:50,0.074,1251
2025-07-06 10:18:51,0.074,1262
2025-07-06 10:18:52,0.075,1273
2025-07-06 10:18:53,0.075,1285
2025-07-06 10:18:54,0.076,1296
2025-07-06 10:18:55,0.076,1307
2025-07-06 10:18:56,0.076,1318
2025-07-06 10:18:57,0.077,1329
2025-07-06 10:18:58,0.077,1340
2025-07-06 10:18:59,0.078,1351
2025-07-06 10:19:00,0.078,1362
2025-07-06 10:19:01,0.078,1374
2025-07-06 10:19:02,0.079,1385
2025-07-06 10:19:03,0.079,1396
2025-07-06 10:19:04,0.079,1407
2025-07-06 10:19:05,0.08,1418
