Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
11:22:16,14.3,0.0,15.1,67.6,3.0,3,32493,17821,30.22,43.05,45.05,56.00,39.05,40.05,20.00,56.00,45.00,43.05,1.40,GHz
11:22:17,10.6,0.0,3.7,82.7,2.9,2,71520,20624,41.19,43.05,58.05,56.00,39.05,40.05,20.00,56.00,58.00,43.05,1.90,GHz
11:22:18,7.4,0.0,11.2,79.8,1.6,2,63098,30144,34.77,43.05,51.05,47.00,39.05,40.05,20.00,47.00,51.00,43.05,1.69,GHz
11:22:19,6.9,0.0,4.5,86.7,2.0,2,79937,40014,44.93,43.05,50.05,46.00,39.05,40.05,20.00,46.00,50.00,43.05,2.10,GHz
11:22:20,9.8,0.0,8.6,80.3,1.3,2,62058,33253,43.93,43.05,46.05,53.00,39.05,40.05,20.00,53.00,46.00,43.05,1.63,GHz
11:22:21,8.0,0.0,7.8,82.4,1.7,2,51480,29997,44.68,43.05,50.05,58.00,39.05,40.05,20.00,58.00,50.00,43.05,2.42,GHz
11:22:22,6.2,0.0,1.4,91.5,0.9,3,56831,25678,44.54,43.05,53.05,49.00,39.05,40.05,20.00,49.00,53.00,42.05,1.76,GHz
11:22:23,8.1,0.0,2.4,88.1,1.4,6,75174,31139,43.54,43.05,51.05,49.00,39.05,40.05,20.00,48.00,51.00,42.05,2.10,GHz
11:22:24,2.5,0.0,0.8,96.0,0.6,1,45937,23830,43.78,43.05,47.05,45.00,40.05,40.05,20.00,45.00,47.00,43.05,1.11,GHz
11:22:25,2.4,0.0,0.7,96.4,0.5,2,44624,21792,36.76,43.05,44.05,50.00,40.05,40.05,20.00,51.00,44.00,42.05,2.44,GHz
11:22:26,7.4,0.0,1.5,89.9,1.3,2,57725,27244,42.25,43.05,48.05,47.00,40.05,40.05,20.00,47.00,48.00,42.05,2.48,GHz
11:22:27,2.0,0.8,1.4,95.0,0.8,1,44847,24586,42.28,43.05,57.05,45.00,40.05,40.05,20.00,45.00,57.00,42.05,1.28,GHz
11:22:28,0.6,0.0,0.5,98.7,0.3,2,37794,20485,36.28,43.05,46.05,44.00,40.05,40.05,20.00,44.00,46.00,42.05,0.97,GHz
11:22:29,0.6,0.0,0.6,98.5,0.4,2,37655,20657,36.56,43.05,44.05,44.00,40.05,40.05,20.00,44.00,44.00,42.05,1.27,GHz
11:22:30,0.4,0.0,0.5,98.8,0.3,1,37648,20543,36.45,43.05,44.05,44.00,40.05,40.05,20.00,44.00,44.00,42.05,1.10,GHz
11:22:31,0.5,0.0,0.6,98.6,0.3,1,37990,21144,36.63,43.05,44.05,44.00,40.05,41.05,20.00,44.00,44.00,42.05,0.88,GHz
11:22:32,2.9,0.0,1.4,95.1,0.6,3,47585,24424,37.70,43.05,44.05,49.00,41.05,41.05,20.00,48.00,44.00,42.05,1.99,GHz
11:22:33,44.0,0.0,11.0,43.1,1.8,19,210015,46161,41.41,43.05,47.05,56.00,41.05,41.05,20.00,56.00,47.00,42.05,3.05,GHz
11:22:34,77.7,0.0,13.7,8.3,0.3,33,142848,34709,41.41,43.05,54.05,53.00,41.05,41.05,20.00,53.00,54.00,42.05,3.05,GHz
11:22:35,66.6,0.0,13.0,19.7,0.6,20,202254,91212,61.03,43.05,54.05,52.00,41.05,41.05,20.00,52.00,54.00,42.05,2.27,GHz
11:22:36,77.9,0.0,16.9,5.1,0.1,2,418570,41154,61.03,43.05,54.05,55.00,41.05,41.05,20.00,55.00,54.00,42.05,1.85,GHz
11:22:37,10.4,0.0,2.7,86.3,0.6,2,68058,30597,41.39,43.05,55.05,61.00,41.05,41.05,20.00,61.00,55.00,42.05,1.24,GHz
11:22:38,42.7,0.0,10.5,46.5,0.3,17,177034,33499,47.61,43.05,52.05,55.00,41.05,41.05,20.00,55.00,52.00,43.05,3.01,GHz
11:22:39,51.5,0.0,11.5,36.7,0.3,1,45149,30258,47.61,44.05,54.05,46.00,42.05,41.05,20.00,46.00,54.00,43.05,0.91,GHz
11:22:40,37.4,0.0,8.4,54.0,0.3,18,73240,30644,41.14,44.05,47.05,53.00,42.05,41.05,20.00,53.00,47.00,43.05,2.89,GHz
11:22:41,62.9,0.0,13.1,23.8,0.2,1,97766,34516,53.83,44.05,53.05,47.00,42.05,42.05,20.00,47.00,53.00,43.05,1.10,GHz
11:22:42,36.0,0.0,8.3,55.4,0.3,5,128274,28896,42.90,44.05,48.05,61.00,42.05,42.05,20.00,61.00,48.00,43.05,1.44,GHz
11:22:43,50.9,0.0,10.6,38.3,0.2,3,41332,30636,53.87,44.05,60.05,60.00,42.05,42.05,20.00,60.00,60.00,43.05,1.40,GHz
11:22:44,46.8,0.0,10.0,42.8,0.3,1,289395,33903,52.84,44.05,59.05,48.00,42.05,42.05,20.00,48.00,59.00,43.05,0.94,GHz
11:22:45,52.8,0.0,12.4,34.5,0.3,1,377176,29992,53.91,44.05,52.05,49.00,43.05,42.05,20.00,49.00,52.00,43.05,1.18,GHz
11:22:46,54.2,0.0,12.4,33.3,0.1,2,171469,37644,51.12,44.05,51.05,57.00,43.05,42.05,20.00,57.00,51.00,43.05,1.75,GHz
11:22:47,23.4,0.0,5.1,71.1,0.4,3,130824,33964,46.92,44.05,60.05,50.00,43.05,42.05,20.00,50.00,60.00,43.05,1.77,GHz
11:22:48,36.6,0.0,8.0,55.1,0.3,19,207767,29401,46.02,44.05,60.05,53.00,43.05,42.05,20.00,53.00,60.00,43.05,3.05,GHz
11:22:49,55.6,0.0,13.0,31.2,0.3,2,369740,32181,50.30,44.05,56.05,70.00,43.05,42.05,20.00,70.00,56.00,43.05,2.58,GHz
11:22:50,37.3,0.0,9.2,53.3,0.3,2,265924,41620,48.63,44.05,63.05,52.00,43.05,43.05,20.00,52.00,63.00,43.05,2.44,GHz
11:22:51,34.9,0.0,10.0,52.1,3.0,1,185688,42205,56.44,44.05,52.05,49.00,44.05,43.05,20.00,49.00,52.00,43.05,0.83,GHz
11:22:52,34.2,0.0,9.7,55.9,0.2,19,321892,47845,52.32,44.05,52.05,53.00,44.05,43.05,20.00,53.00,52.00,43.05,2.26,GHz
11:22:53,34.7,0.0,23.6,41.4,0.3,2,595625,96784,65.33,44.05,56.05,60.00,44.05,43.05,20.00,60.00,56.00,43.05,2.06,GHz
11:22:54,23.8,0.0,8.5,67.2,0.5,19,247204,43747,52.81,44.05,57.05,57.00,44.05,43.05,20.00,57.00,57.00,43.05,3.05,GHz
11:22:55,66.1,0.0,15.4,17.0,1.5,16,396575,35463,75.05,44.05,55.05,54.00,44.05,43.05,20.00,54.00,55.00,43.05,2.51,GHz
11:22:56,62.0,0.0,16.4,16.3,5.4,16,211621,38006,75.05,44.05,54.05,55.00,44.05,43.05,20.00,55.00,54.00,43.05,2.07,GHz
