timestamp,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
2025-07-06 11:19:15,15695.23,1851.23,13279.6,15.4,11221.46,1677.48,1291.5,248.52,2374.03,2048.0,0.0,2048.0
2025-07-06 11:19:16,15695.23,1858.38,13263.8,15.5,11204.11,1694.77,1291.66,248.52,2384.22,2048.0,0.0,2048.0
2025-07-06 11:19:17,15695.23,1542.5,13579.68,13.5,11519.83,1681.07,1291.66,248.52,2384.37,2048.0,0.0,2048.0
2025-07-06 11:19:18,15695.23,1563.34,13571.46,13.5,11511.61,1679.43,1291.66,248.52,2371.76,2048.0,0.0,2048.0
2025-07-06 11:19:19,15695.23,1569.23,13565.55,13.6,11505.7,1679.12,1291.66,248.53,2371.76,2048.0,0.0,2048.0
2025-07-06 11:19:20,15695.23,1564.62,13570.33,13.5,11510.43,1679.05,1291.67,248.53,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:21,15695.23,1589.86,13545.1,13.7,11485.2,1679.07,1291.67,248.53,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:22,15695.23,1595.54,13539.42,13.7,11479.52,1678.95,1291.67,248.53,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:23,15695.23,1580.34,13554.61,13.6,11494.71,1679.59,1291.67,248.53,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:24,15695.23,1603.81,13531.14,13.8,11471.24,1693.11,1291.67,248.54,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:25,15695.23,1601.09,13533.86,13.8,11473.96,1679.17,1291.67,248.54,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:26,15695.23,1618.84,13516.11,13.9,11456.21,1679.2,1291.67,248.54,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:27,15695.23,1620.1,13514.85,13.9,11454.95,1679.2,1291.67,248.54,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:28,15695.23,1617.38,13517.57,13.9,11457.68,1679.21,1291.67,248.54,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:29,15695.23,1604.43,13530.52,13.8,11470.62,1679.21,1291.67,248.54,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:30,15695.23,1599.1,13535.84,13.8,11475.94,1679.13,1291.67,248.55,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:31,15695.23,1585.32,13549.62,13.7,11489.72,1679.13,1291.67,248.55,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:32,15695.23,1598.24,13536.7,13.8,11476.8,1679.15,1291.67,248.55,2371.64,2048.0,0.0,2048.0
2025-07-06 11:19:33,15695.23,1599.51,13535.4,13.8,11475.15,1683.07,1291.7,248.55,2372.02,2048.0,0.0,2048.0
2025-07-06 11:19:34,15695.23,1617.92,13517.02,13.9,11456.18,1701.54,1292.11,248.56,2372.57,2048.0,0.0,2048.0
