timestamp,real_time_factor,iterations
2025-07-06 11:22:53,0.0,1
2025-07-06 11:22:54,0.004,9
2025-07-06 11:22:55,0.008,18
2025-07-06 11:22:56,0.012,28
2025-07-06 11:22:57,0.016,38
2025-07-06 11:22:58,0.02,49
2025-07-06 11:22:59,0.024,59
2025-07-06 11:23:00,0.027,69
2025-07-06 11:23:01,0.03,79
2025-07-06 11:23:02,0.033,89
2025-07-06 11:23:03,0.036,99
2025-07-06 11:23:04,0.039,109
2025-07-06 11:23:05,0.042,119
2025-07-06 11:23:06,0.044,129
2025-07-06 11:23:07,0.047,139
2025-07-06 11:23:08,0.049,149
2025-07-06 11:23:09,0.051,158
2025-07-06 11:23:10,0.054,168
2025-07-06 11:23:11,0.056,178
2025-07-06 11:23:12,0.058,188
2025-07-06 11:23:13,0.06,198
2025-07-06 11:23:14,0.062,208
2025-07-06 11:23:15,0.063,218
2025-07-06 11:23:16,0.065,228
2025-07-06 11:23:17,0.067,238
2025-07-06 11:23:18,0.069,249
2025-07-06 11:23:19,0.07,259
2025-07-06 11:23:20,0.072,269
2025-07-06 11:23:21,0.074,279
2025-07-06 11:23:22,0.075,289
2025-07-06 11:23:23,0.076,299
2025-07-06 11:23:24,0.078,309
2025-07-06 11:23:25,0.079,320
2025-07-06 11:23:26,0.081,330
2025-07-06 11:23:27,0.082,340
2025-07-06 11:23:28,0.083,350
2025-07-06 11:23:29,0.085,361
2025-07-06 11:23:30,0.086,371
2025-07-06 11:23:31,0.087,382
2025-07-06 11:23:32,0.088,392
2025-07-06 11:23:33,0.089,402
2025-07-06 11:23:34,0.09,413
2025-07-06 11:23:35,0.091,423
2025-07-06 11:23:36,0.092,433
2025-07-06 11:23:37,0.093,444
2025-07-06 11:23:38,0.094,454
2025-07-06 11:23:39,0.095,464
2025-07-06 11:23:40,0.096,474
2025-07-06 11:23:41,0.097,485
2025-07-06 11:23:42,0.098,495
2025-07-06 11:23:43,0.099,506
2025-07-06 11:23:44,0.1,517
2025-07-06 11:23:45,0.101,527
2025-07-06 11:23:46,0.102,538
2025-07-06 11:23:47,0.102,548
2025-07-06 11:23:48,0.103,559
2025-07-06 11:23:49,0.104,569
2025-07-06 11:23:50,0.105,580
2025-07-06 11:23:51,0.106,591
