timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-06 11:54:19,16,15,6141,590.01,41
2025-07-06 11:54:22,0,15,6141,11.78,41
2025-07-06 11:54:23,0,15,6141,11.75,41
2025-07-06 11:54:24,0,15,6141,11.72,41
2025-07-06 11:54:25,0,15,6141,11.74,41
2025-07-06 11:54:26,0,15,6141,11.77,41
2025-07-06 11:54:27,0,15,6141,11.84,41
2025-07-06 11:54:28,0,15,6141,11.85,41
2025-07-06 11:54:30,0,15,6141,11.82,41
2025-07-06 11:54:31,0,15,6141,11.85,41
2025-07-06 11:54:32,0,15,6141,11.90,41
2025-07-06 11:54:33,0,15,6141,11.94,42
2025-07-06 11:54:34,0,15,6141,4.49,41
2025-07-06 11:54:35,0,15,6141,3.15,41
2025-07-06 11:54:36,0,15,6141,2.24,41
2025-07-06 11:54:37,0,15,6141,1.89,41
2025-07-06 11:54:38,0,15,6141,1.86,41
2025-07-06 11:54:39,0,15,6141,1.87,41
2025-07-06 11:54:40,0,15,6141,1.88,41
2025-07-06 11:54:41,0,15,6141,1.85,41
2025-07-06 11:54:42,0,15,6141,1.83,40
2025-07-06 11:54:43,0,15,6141,1.82,40
2025-07-06 11:54:44,0,15,6141,1.80,40
2025-07-06 11:54:45,0,15,6141,1.79,40
2025-07-06 11:54:46,0,15,6141,1.78,40
2025-07-06 11:54:47,0,15,6141,1.75,40
2025-07-06 11:54:48,0,15,6141,1.74,40
2025-07-06 11:54:49,0,15,6141,1.76,40
2025-07-06 11:54:50,0,15,6141,1.76,40
2025-07-06 11:54:51,0,15,6141,1.74,40
2025-07-06 11:54:52,0,15,6141,1.74,40
2025-07-06 11:54:53,0,15,6141,1.74,40
2025-07-06 11:54:54,0,15,6141,1.73,40
2025-07-06 11:54:55,0,15,6141,1.74,40
2025-07-06 11:54:56,0,15,6141,1.72,40
2025-07-06 11:54:57,0,15,6141,1.71,40
2025-07-06 11:54:58,0,15,6141,1.71,40
2025-07-06 11:54:59,0,15,6141,1.73,40
2025-07-06 11:55:00,0,15,6141,1.73,40
2025-07-06 11:55:01,0,15,6141,1.73,40
2025-07-06 11:55:02,0,15,6141,1.74,40
2025-07-06 11:55:03,0,15,6141,1.75,40
2025-07-06 11:55:04,0,15,6141,1.74,39
2025-07-06 11:55:05,0,15,6141,1.74,39
2025-07-06 11:55:06,0,15,6141,1.74,39
2025-07-06 11:55:07,0,15,6141,1.72,39
2025-07-06 11:55:08,0,15,6141,1.73,39
2025-07-06 11:55:09,0,15,6141,1.75,39
2025-07-06 11:55:10,0,15,6141,1.74,39
2025-07-06 11:55:11,0,15,6141,1.74,39
2025-07-06 11:55:12,0,15,6141,1.72,39
2025-07-06 11:55:13,0,15,6141,1.72,39
2025-07-06 11:55:14,0,15,6141,1.73,39
2025-07-06 11:55:16,0,15,6141,1.75,39
2025-07-06 11:55:17,0,15,6141,1.76,39
2025-07-06 11:55:18,0,15,6141,1.76,39
2025-07-06 11:55:19,0,15,6141,1.76,39
2025-07-06 11:55:20,0,15,6141,1.75,39
2025-07-06 11:55:21,0,15,6141,1.73,39
2025-07-06 11:55:22,0,15,6141,1.73,39
2025-07-06 11:55:23,0,15,6141,1.74,39
2025-07-06 11:55:24,0,15,6141,1.71,39
2025-07-06 11:55:25,0,15,6141,1.69,39
2025-07-06 11:55:26,0,15,6141,1.70,39
2025-07-06 11:55:27,0,15,6141,1.71,39
2025-07-06 11:55:28,0,15,6141,1.71,39
2025-07-06 11:55:29,0,15,6141,1.73,39
2025-07-06 11:55:30,0,15,6141,1.75,39
2025-07-06 11:55:31,0,15,6141,1.75,39
2025-07-06 11:55:32,0,15,6141,1.78,39
2025-07-06 11:55:33,0,15,6141,1.78,39
2025-07-06 11:55:34,0,15,6141,1.78,39
2025-07-06 11:55:35,0,15,6141,1.78,39
2025-07-06 11:55:36,0,15,6141,1.76,39
2025-07-06 11:55:37,0,15,6141,1.77,39
2025-07-06 11:55:38,0,15,6141,1.77,39
2025-07-06 11:55:39,0,15,6141,1.80,38
2025-07-06 11:55:40,0,15,6141,1.84,38
2025-07-06 11:55:41,0,15,6141,1.84,38
2025-07-06 11:55:42,0,15,6141,1.85,38
2025-07-06 11:55:43,0,15,6141,1.86,38
2025-07-06 11:55:44,0,15,6141,1.86,38
2025-07-06 11:55:45,0,15,6141,1.85,38
2025-07-06 11:55:46,0,15,6141,1.82,38
2025-07-06 11:55:47,0,15,6141,1.83,38
2025-07-06 11:55:48,0,15,6141,1.84,38
2025-07-06 11:55:49,0,15,6141,1.84,38
2025-07-06 11:55:50,0,15,6141,1.86,38
2025-07-06 11:55:51,0,15,6141,1.88,38
2025-07-06 11:55:52,0,15,6141,1.87,38
2025-07-06 11:55:53,0,15,6141,1.86,38
2025-07-06 11:55:54,0,15,6141,1.87,38
2025-07-06 11:55:55,0,15,6141,1.86,38
2025-07-06 11:55:56,0,15,6141,1.86,38
2025-07-06 11:55:57,0,15,6141,1.88,38
2025-07-06 11:55:58,0,15,6141,1.92,38
2025-07-06 11:55:59,0,15,6141,1.93,38
2025-07-06 11:56:01,0,15,6141,1.94,38
2025-07-06 11:56:02,0,15,6141,1.92,38
2025-07-06 11:56:03,0,15,6141,1.90,38
2025-07-06 11:56:04,0,15,6141,1.90,38
2025-07-06 11:56:05,0,15,6141,1.90,38
2025-07-06 11:56:06,0,15,6141,1.94,38
2025-07-06 11:56:07,0,15,6141,1.95,38
2025-07-06 11:56:08,0,15,6141,1.95,38
2025-07-06 11:56:09,0,15,6141,1.97,38
