timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-06 12:15:01,6.9,0.0,0.0,4.0,1.6,0.37,0.12,0.04,370,833,0
2025-07-06 12:15:02,2.8,0.2,2.6,97.1,0.99,0.37,0.12,0.04,370,833,3
2025-07-06 12:15:03,5.4,0.1,5.3,94.6,0.93,0.37,0.12,0.04,367,829,0
2025-07-06 12:15:04,0.2,0.1,0.1,99.8,0.43,0.34,0.12,0.04,367,829,0
2025-07-06 12:15:05,0.2,0.1,0.2,99.6,0.56,0.34,0.12,0.04,367,829,0
2025-07-06 12:15:06,0.2,0.1,0.2,99.8,0.4,0.34,0.12,0.04,367,829,0
2025-07-06 12:15:07,0.3,0.1,0.2,99.7,0.4,0.34,0.12,0.04,367,829,0
2025-07-06 12:15:08,0.2,0.0,0.2,99.8,0.4,0.34,0.12,0.04,367,829,0
2025-07-06 12:15:09,0.2,0.1,0.1,99.8,0.4,0.32,0.11,0.04,367,829,0
2025-07-06 12:15:10,0.4,0.3,0.2,99.4,0.46,0.32,0.11,0.04,367,829,0
2025-07-06 12:15:11,0.1,0.1,0.1,99.9,0.4,0.32,0.11,0.04,367,829,0
2025-07-06 12:15:12,0.2,0.1,0.1,99.8,0.41,0.32,0.11,0.04,367,829,0
2025-07-06 12:15:13,0.2,0.1,0.2,99.8,0.47,0.32,0.11,0.04,367,829,0
2025-07-06 12:15:14,0.2,0.1,0.1,99.8,0.44,0.29,0.11,0.04,367,829,0
2025-07-06 12:15:15,0.2,0.1,0.2,99.7,0.52,0.29,0.11,0.04,367,829,0
2025-07-06 12:15:16,0.2,0.1,0.1,99.8,0.4,0.29,0.11,0.04,367,828,0
2025-07-06 12:15:17,0.2,0.0,0.2,99.8,0.45,0.29,0.11,0.04,367,828,0
2025-07-06 12:15:18,0.2,0.1,0.2,99.7,0.48,0.29,0.11,0.04,367,828,0
2025-07-06 12:15:19,0.2,0.1,0.1,99.8,0.42,0.27,0.11,0.04,367,828,0
2025-07-06 12:15:20,0.3,0.1,0.1,99.8,0.49,0.27,0.11,0.04,367,828,0
2025-07-06 12:15:21,0.2,0.1,0.2,99.8,1.01,0.27,0.11,0.04,367,828,0
2025-07-06 12:15:22,0.3,0.2,0.1,99.8,0.55,0.27,0.11,0.04,367,827,2
2025-07-06 12:15:23,1.0,0.7,0.4,98.9,0.63,0.27,0.11,0.04,367,833,0
2025-07-06 12:15:24,4.1,0.1,0.6,95.9,0.81,0.33,0.13,0.04,368,834,1
2025-07-06 12:15:25,6.5,0.1,0.5,93.6,0.68,0.33,0.13,0.04,368,834,1
2025-07-06 12:15:26,1.2,0.3,0.2,98.8,0.42,0.33,0.13,0.04,367,834,0
2025-07-06 12:15:27,0.8,0.6,0.3,99.1,0.42,0.33,0.13,0.04,367,834,0
2025-07-06 12:15:28,0.4,0.1,0.2,99.7,0.46,0.33,0.13,0.04,367,834,0
2025-07-06 12:15:29,0.2,0.1,0.2,99.8,0.41,0.3,0.12,0.04,367,834,0
2025-07-06 12:15:30,0.2,0.1,0.1,99.8,0.46,0.3,0.12,0.04,367,834,0
2025-07-06 12:15:31,0.2,0.1,0.2,99.7,0.47,0.3,0.12,0.04,367,834,0
2025-07-06 12:15:32,0.2,0.1,0.2,99.7,0.4,0.3,0.12,0.04,367,834,0
2025-07-06 12:15:33,0.2,0.1,0.2,99.8,0.4,0.3,0.12,0.04,367,834,0
2025-07-06 12:15:34,0.2,0.0,0.1,99.9,0.4,0.28,0.12,0.04,367,834,0
2025-07-06 12:15:35,0.2,0.1,0.2,99.8,0.42,0.28,0.12,0.04,367,834,0
2025-07-06 12:15:36,0.2,0.1,0.1,99.8,0.4,0.28,0.12,0.04,367,834,0
2025-07-06 12:15:37,0.2,0.1,0.2,99.7,0.47,0.28,0.12,0.04,367,834,0
2025-07-06 12:15:38,0.2,0.1,0.1,99.8,0.41,0.28,0.12,0.04,367,831,0
2025-07-06 12:15:39,0.2,0.1,0.2,99.7,0.83,0.25,0.12,0.04,367,831,0
2025-07-06 12:15:40,0.3,0.1,0.1,99.8,0.42,0.25,0.12,0.04,367,831,0
2025-07-06 12:15:41,0.2,0.1,0.2,99.8,0.43,0.25,0.12,0.04,367,829,0
2025-07-06 12:15:42,0.2,0.1,0.2,99.6,0.47,0.25,0.12,0.04,367,829,0
2025-07-06 12:15:43,0.2,0.1,0.1,99.8,0.41,0.25,0.12,0.04,367,829,0
2025-07-06 12:15:44,0.2,0.1,0.2,99.8,0.48,0.23,0.12,0.04,367,829,0
2025-07-06 12:15:45,0.2,0.1,0.1,99.8,0.4,0.23,0.12,0.04,367,829,0
2025-07-06 12:15:46,0.2,0.1,0.2,99.8,0.44,0.23,0.12,0.04,367,829,0
2025-07-06 12:15:47,0.2,0.1,0.1,99.8,0.63,0.23,0.12,0.04,367,829,0
2025-07-06 12:15:48,0.2,0.1,0.2,99.8,0.44,0.23,0.12,0.04,367,829,0
2025-07-06 12:15:49,0.2,0.1,0.2,99.8,0.5,0.21,0.11,0.04,367,829,0
2025-07-06 12:15:50,0.2,0.1,0.1,99.8,0.4,0.21,0.11,0.04,367,829,0
2025-07-06 12:15:51,0.3,0.1,0.2,99.8,0.42,0.21,0.11,0.04,367,829,0
2025-07-06 12:15:52,0.2,0.1,0.1,99.8,0.43,0.21,0.11,0.04,367,829,0
2025-07-06 12:15:53,0.2,0.1,0.1,99.8,0.4,0.21,0.11,0.04,367,829,0
2025-07-06 12:15:54,0.2,0.1,0.1,99.8,0.59,0.2,0.11,0.04,367,829,0
2025-07-06 12:15:55,0.2,0.1,0.2,99.8,0.4,0.2,0.11,0.04,367,829,0
2025-07-06 12:15:57,0.2,0.0,0.1,99.9,0.4,0.2,0.11,0.04,367,829,0
2025-07-06 12:15:58,0.2,0.1,0.2,99.8,0.44,0.2,0.11,0.04,367,829,0
2025-07-06 12:15:59,0.2,0.1,0.1,99.8,0.4,0.2,0.11,0.04,367,829,0
2025-07-06 12:16:00,0.2,0.1,0.1,99.8,0.51,0.18,0.11,0.04,367,829,0
2025-07-06 12:16:01,0.2,0.1,0.1,99.8,0.6,0.18,0.11,0.04,367,829,0
2025-07-06 12:16:02,0.2,0.1,0.2,99.8,0.51,0.18,0.11,0.04,367,829,0
2025-07-06 12:16:03,0.2,0.1,0.1,99.8,0.4,0.18,0.11,0.04,367,829,0
2025-07-06 12:16:04,0.2,0.1,0.1,99.8,0.4,0.18,0.11,0.04,367,829,0
2025-07-06 12:16:05,0.2,0.1,0.1,99.8,0.48,0.17,0.11,0.04,367,829,0
2025-07-06 12:16:06,0.2,0.1,0.1,99.8,0.4,0.17,0.11,0.04,367,829,0
2025-07-06 12:16:07,0.2,0.1,0.1,99.8,0.4,0.17,0.11,0.04,367,829,0
2025-07-06 12:16:08,0.2,0.0,0.1,99.9,0.4,0.17,0.11,0.04,367,829,0
2025-07-06 12:16:09,0.2,0.1,0.2,99.8,0.49,0.17,0.11,0.04,367,829,0
2025-07-06 12:16:10,0.2,0.1,0.1,99.8,0.48,0.15,0.11,0.04,367,829,0
2025-07-06 12:16:11,0.2,0.1,0.2,99.8,0.4,0.15,0.11,0.04,367,829,0
2025-07-06 12:16:12,0.2,0.1,0.1,99.8,0.4,0.15,0.11,0.04,367,829,0
2025-07-06 12:16:13,0.2,0.1,0.1,99.8,0.5,0.15,0.11,0.04,367,829,0
2025-07-06 12:16:14,0.2,0.1,0.1,99.8,0.4,0.14,0.1,0.04,367,829,0
2025-07-06 12:16:15,0.2,0.1,0.1,99.8,0.4,0.14,0.1,0.04,367,829,0
2025-07-06 12:16:16,0.2,0.1,0.2,99.8,0.4,0.14,0.1,0.04,367,829,0
2025-07-06 12:16:17,0.2,0.1,0.1,99.8,0.41,0.14,0.1,0.04,367,829,0
2025-07-06 12:16:18,0.1,0.1,0.1,99.8,0.4,0.14,0.1,0.04,367,829,0
2025-07-06 12:16:19,0.2,0.1,0.1,99.8,0.4,0.13,0.1,0.04,367,829,0
2025-07-06 12:16:20,0.2,0.0,0.2,99.8,0.4,0.13,0.1,0.04,367,829,0
2025-07-06 12:16:21,0.2,0.1,0.1,99.8,0.49,0.13,0.1,0.04,367,829,0
2025-07-06 12:16:22,0.2,0.1,0.1,99.8,0.67,0.13,0.1,0.04,367,829,0
2025-07-06 12:16:23,0.6,0.2,0.4,99.1,0.45,0.13,0.1,0.04,368,838,0
2025-07-06 12:16:24,0.2,0.1,0.1,99.8,0.4,0.12,0.1,0.04,368,835,0
2025-07-06 12:16:25,0.2,0.1,0.2,99.8,0.4,0.12,0.1,0.04,368,835,0
2025-07-06 12:16:26,0.2,0.1,0.1,99.8,0.43,0.12,0.1,0.04,368,835,0
2025-07-06 12:16:27,0.2,0.1,0.1,99.8,0.45,0.12,0.1,0.04,368,835,0
2025-07-06 12:16:28,0.2,0.1,0.1,99.8,0.51,0.12,0.1,0.04,368,835,0
2025-07-06 12:16:29,0.2,0.1,0.1,99.8,0.4,0.11,0.1,0.04,368,835,0
2025-07-06 12:16:30,0.2,0.1,0.2,99.7,0.45,0.11,0.1,0.04,368,835,0
2025-07-06 12:16:31,0.2,0.0,0.2,99.8,0.4,0.11,0.1,0.04,368,835,0
2025-07-06 12:16:32,0.2,0.1,0.1,99.8,0.53,0.11,0.1,0.04,368,835,0
2025-07-06 12:16:33,0.2,0.1,0.1,99.8,0.48,0.11,0.1,0.04,368,835,0
2025-07-06 12:16:34,0.2,0.1,0.1,99.9,0.4,0.1,0.1,0.04,368,835,0
2025-07-06 12:16:35,0.2,0.1,0.1,99.8,0.48,0.1,0.1,0.04,368,835,0
2025-07-06 12:16:36,0.2,0.1,0.1,99.8,0.62,0.1,0.1,0.04,368,835,0
2025-07-06 12:16:37,0.2,0.1,0.1,99.8,0.48,0.1,0.1,0.04,368,835,0
2025-07-06 12:16:38,0.2,0.1,0.2,99.8,0.4,0.1,0.1,0.04,368,835,0
2025-07-06 12:16:39,0.2,0.1,0.1,99.8,0.55,0.09,0.09,0.04,368,833,0
2025-07-06 12:16:40,0.2,0.1,0.1,99.8,0.44,0.09,0.09,0.04,368,833,0
2025-07-06 12:16:41,0.2,0.1,0.1,99.8,0.4,0.09,0.09,0.04,368,833,0
2025-07-06 12:16:42,0.2,0.1,0.1,99.8,0.4,0.09,0.09,0.04,368,833,0
2025-07-06 12:16:43,0.1,0.1,0.1,99.8,0.46,0.09,0.09,0.04,368,833,0
2025-07-06 12:16:44,0.2,0.1,0.1,99.8,0.42,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:45,0.1,0.1,0.1,99.8,0.4,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:46,0.3,0.1,0.2,99.8,0.43,0.08,0.09,0.04,369,834,0
2025-07-06 12:16:47,0.2,0.1,0.1,99.8,0.51,0.08,0.09,0.04,369,834,0
2025-07-06 12:16:48,0.2,0.1,0.1,99.7,0.4,0.08,0.09,0.04,369,834,0
2025-07-06 12:16:49,0.2,0.0,0.1,99.9,0.4,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:50,0.2,0.1,0.1,99.8,0.4,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:51,0.2,0.1,0.1,99.8,0.4,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:52,0.2,0.0,0.2,99.8,0.4,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:53,0.2,0.1,0.1,99.8,0.63,0.08,0.09,0.04,368,833,0
2025-07-06 12:16:54,0.2,0.1,0.1,99.8,0.4,0.07,0.09,0.04,368,833,0
2025-07-06 12:16:55,0.2,0.1,0.1,99.8,0.52,0.07,0.09,0.04,368,833,0
2025-07-06 12:16:56,0.2,0.1,0.1,99.8,0.73,0.07,0.09,0.04,368,833,0
2025-07-06 12:16:57,0.2,0.1,0.1,99.9,0.4,0.07,0.09,0.04,368,833,0
2025-07-06 12:16:58,0.1,0.1,0.1,99.8,0.6,0.07,0.09,0.04,369,835,0
2025-07-06 12:16:59,0.2,0.1,0.1,99.8,0.4,0.06,0.09,0.03,368,833,0
2025-07-06 12:17:00,0.2,0.1,0.1,99.8,0.4,0.06,0.09,0.03,368,833,0
2025-07-06 12:17:01,0.2,0.1,0.1,99.8,0.41,0.06,0.09,0.03,368,833,0
2025-07-06 12:17:02,0.2,0.1,0.2,99.8,0.4,0.06,0.09,0.03,368,833,0
2025-07-06 12:17:03,0.2,0.1,0.1,99.8,0.47,0.06,0.09,0.03,368,833,0
2025-07-06 12:17:04,0.2,0.1,0.1,99.8,0.42,0.06,0.08,0.03,368,833,0
2025-07-06 12:17:05,0.2,0.1,0.1,99.8,0.4,0.06,0.08,0.03,368,833,0
2025-07-06 12:17:06,0.2,0.1,0.1,99.8,0.41,0.06,0.08,0.03,368,833,0
2025-07-06 12:17:07,0.2,0.1,0.1,99.8,0.4,0.06,0.08,0.03,368,833,0
2025-07-06 12:17:08,0.2,0.1,0.1,99.8,0.4,0.06,0.08,0.03,368,833,0
2025-07-06 12:17:09,0.2,0.1,0.1,99.8,0.4,0.05,0.08,0.03,368,833,1
2025-07-06 12:17:10,0.2,0.1,0.2,99.8,0.51,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:11,0.1,0.1,0.1,99.8,0.41,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:12,0.2,0.1,0.1,99.8,0.4,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:13,0.2,0.1,0.1,99.8,0.41,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:14,0.2,0.1,0.1,99.8,0.4,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:15,0.2,0.1,0.1,99.8,0.4,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:16,0.2,0.1,0.1,99.8,0.4,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:17,0.2,0.1,0.1,99.8,0.42,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:18,0.2,0.1,0.1,99.8,0.68,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:19,0.2,0.1,0.1,99.8,0.49,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:20,0.2,0.1,0.2,99.8,0.68,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:21,0.2,0.0,0.1,99.9,0.45,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:23,0.2,0.1,0.2,99.7,0.4,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:24,0.2,0.0,0.2,99.8,0.49,0.05,0.08,0.03,368,833,0
2025-07-06 12:17:25,0.1,0.1,0.1,99.8,0.47,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:26,0.2,0.1,0.1,99.8,0.42,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:27,0.2,0.1,0.1,99.8,0.4,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:28,0.2,0.1,0.1,99.8,0.48,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:29,0.2,0.1,0.1,99.8,0.51,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:30,0.2,0.1,0.1,99.8,0.48,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:31,0.2,0.1,0.2,99.7,0.4,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:32,0.2,0.0,0.1,99.9,0.4,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:33,0.2,0.1,0.1,99.8,0.4,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:34,0.2,0.1,0.1,99.8,0.43,0.04,0.08,0.03,368,833,0
2025-07-06 12:17:35,0.2,0.1,0.1,99.8,0.66,0.12,0.09,0.04,368,833,0
2025-07-06 12:17:36,0.2,0.1,0.1,99.8,0.43,0.12,0.09,0.04,368,833,0
2025-07-06 12:17:37,0.2,0.1,0.2,99.8,0.4,0.12,0.09,0.04,368,833,0
2025-07-06 12:17:38,0.2,0.1,0.1,99.8,0.46,0.12,0.09,0.04,368,833,0
