timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-04 23:03:20,27.8,10.7,17.5,70.5,1.35,0.66,0.16,0.05,386,873,2
2025-07-04 23:03:21,35.5,16.0,19.3,63.1,2.81,1.17,0.27,0.09,393,957,2
2025-07-04 23:03:22,9.0,7.4,1.8,90.1,1.82,1.17,0.27,0.09,394,981,2
2025-07-04 23:03:23,4.3,2.8,1.2,95.4,1.73,1.17,0.27,0.09,394,980,1
2025-07-04 23:03:24,2.6,1.9,0.6,97.2,1.82,1.17,0.27,0.09,392,992,2
2025-07-04 23:03:25,28.6,17.7,10.5,70.6,2.89,1.17,0.27,0.09,395,1078,1
2025-07-04 23:03:26,4.0,2.9,1.1,95.5,1.11,1.15,0.29,0.1,395,1079,0
2025-07-04 23:03:27,3.6,2.4,1.2,96.1,1.44,1.15,0.29,0.1,395,1080,0
2025-07-04 23:03:28,4.5,3.5,0.9,95.3,2.31,1.15,0.29,0.1,394,1078,0
2025-07-04 23:03:30,3.1,2.3,0.9,96.5,1.83,1.15,0.29,0.1,394,1077,1
2025-07-04 23:03:31,4.0,2.9,1.0,95.8,1.48,1.15,0.29,0.1,394,1077,0
2025-07-04 23:03:32,3.5,2.4,1.0,96.3,2.58,1.06,0.28,0.1,393,1075,1
2025-07-04 23:03:33,3.5,2.5,1.0,96.2,1.89,1.06,0.28,0.1,393,1075,0
2025-07-04 23:03:34,3.8,2.6,1.1,96.0,1.09,1.06,0.28,0.1,393,1075,0
2025-07-04 23:03:35,3.7,2.6,1.0,96.1,1.64,1.06,0.28,0.1,391,1073,0
2025-07-04 23:03:36,4.0,3.1,0.9,95.7,2.01,1.06,0.28,0.1,391,1073,0
2025-07-04 23:03:37,4.6,3.4,1.1,95.1,2.11,1.13,0.31,0.11,391,1076,1
2025-07-04 23:03:38,5.4,4.2,1.1,94.2,1.59,1.13,0.31,0.11,391,1075,1
2025-07-04 23:03:39,4.5,3.3,1.1,95.2,1.96,1.13,0.31,0.11,391,1075,2
2025-07-04 23:03:40,5.2,3.9,1.0,94.6,1.45,1.13,0.31,0.11,391,1072,0
2025-07-04 23:03:41,4.9,3.9,1.1,94.6,2.73,1.13,0.31,0.11,391,1071,1
2025-07-04 23:03:42,4.9,3.5,1.1,94.8,1.45,1.28,0.35,0.12,391,1071,1
2025-07-04 23:03:43,5.2,4.2,1.1,94.3,0.79,1.28,0.35,0.12,391,1071,1
2025-07-04 23:03:44,4.8,3.4,1.1,95.1,1.96,1.28,0.35,0.12,391,1071,1
2025-07-04 23:03:45,4.7,3.8,0.9,95.0,2.53,1.28,0.35,0.12,391,1071,0
2025-07-04 23:03:46,4.8,3.7,1.1,94.8,1.8,1.28,0.35,0.12,391,1071,0
2025-07-04 23:03:47,4.4,3.4,0.9,95.3,2.85,1.34,0.38,0.13,391,1071,1
2025-07-04 23:03:48,4.1,3.2,1.0,95.4,1.8,1.34,0.38,0.13,391,1071,1
2025-07-04 23:03:49,4.9,3.6,1.1,94.8,1.35,1.34,0.38,0.13,391,1071,0
2025-07-04 23:03:50,4.4,3.4,0.9,95.2,1.92,1.34,0.38,0.13,391,1071,1
2025-07-04 23:03:51,5.0,3.8,1.1,94.6,1.61,1.34,0.38,0.13,391,1071,0
2025-07-04 23:03:52,5.3,3.9,1.2,94.3,1.64,1.39,0.41,0.14,391,1070,0
2025-07-04 23:03:53,4.3,3.3,1.0,95.3,1.94,1.39,0.41,0.14,391,1066,0
2025-07-04 23:03:54,4.3,3.1,1.0,95.6,1.29,1.39,0.41,0.14,391,1054,1
2025-07-04 23:03:55,4.3,3.3,0.9,95.3,2.2,1.39,0.41,0.14,391,1054,1
2025-07-04 23:03:56,5.1,4.0,1.1,94.5,1.56,1.36,0.42,0.15,391,1054,0
2025-07-04 23:03:57,5.1,4.0,1.0,94.6,2.49,1.36,0.42,0.15,391,1054,1
2025-07-04 23:03:58,4.7,3.6,1.1,94.8,1.91,1.36,0.42,0.15,391,1054,1
2025-07-04 23:03:59,5.0,3.9,1.0,94.8,0.98,1.36,0.42,0.15,391,1054,0
2025-07-04 23:04:00,4.6,3.5,1.1,95.1,1.84,1.36,0.42,0.15,391,1054,0
2025-07-04 23:04:01,4.4,3.4,1.0,95.3,1.88,1.33,0.43,0.15,391,1054,0
2025-07-04 23:04:02,4.5,3.2,1.1,95.3,0.99,1.33,0.43,0.15,391,1054,1
2025-07-04 23:04:03,3.8,3.0,0.9,95.8,1.59,1.33,0.43,0.15,391,1054,0
2025-07-04 23:04:04,5.2,3.9,1.2,94.5,2.43,1.33,0.43,0.15,391,1061,0
2025-07-04 23:04:05,6.2,2.9,1.1,93.8,2.24,1.33,0.43,0.15,392,1061,2
