timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-04 23:12:19,16,15,6141,590.01,43
2025-07-04 23:12:22,7,148,6141,11.53,43
2025-07-04 23:12:23,0,679,6141,16.03,44
2025-07-04 23:12:24,0,679,6141,15.54,44
2025-07-04 23:12:25,7,685,6141,15.86,44
2025-07-04 23:12:26,8,648,6141,14.51,44
2025-07-04 23:12:27,7,610,6141,14.43,44
2025-07-04 23:12:28,7,576,6141,14.40,44
2025-07-04 23:12:29,8,562,6141,14.38,44
2025-07-04 23:12:30,8,552,6141,14.47,44
2025-07-04 23:12:31,8,503,6141,14.43,44
2025-07-04 23:12:32,19,490,6141,9.83,44
2025-07-04 23:12:33,28,478,6141,6.94,43
2025-07-04 23:12:34,32,475,6141,6.12,43
2025-07-04 23:12:35,35,475,6141,6.12,43
2025-07-04 23:12:36,30,475,6141,6.18,43
2025-07-04 23:12:38,36,475,6141,5.67,43
2025-07-04 23:12:39,31,475,6141,6.08,43
2025-07-04 23:12:40,29,475,6141,5.71,43
2025-07-04 23:12:41,32,475,6141,6.11,43
2025-07-04 23:12:42,34,475,6141,5.33,43
2025-07-04 23:12:43,34,475,6141,6.14,44
2025-07-04 23:12:44,32,475,6141,5.88,43
2025-07-04 23:12:45,33,475,6141,6.06,44
2025-07-04 23:12:46,34,475,6141,5.14,44
2025-07-04 23:12:47,33,475,6141,6.04,44
2025-07-04 23:12:48,31,475,6141,5.74,44
2025-07-04 23:12:49,35,475,6141,6.26,44
2025-07-04 23:12:50,36,475,6141,5.64,44
2025-07-04 23:12:51,36,475,6141,6.25,44
2025-07-04 23:12:52,36,475,6141,5.66,44
2025-07-04 23:12:53,35,475,6141,6.13,44
2025-07-04 23:12:54,30,475,6141,5.78,44
2025-07-04 23:12:55,26,475,6141,6.09,44
2025-07-04 23:12:56,34,475,6141,5.65,44
2025-07-04 23:12:57,33,475,6141,6.32,44
2025-07-04 23:12:58,35,475,6141,5.37,44
2025-07-04 23:12:59,35,475,6141,6.22,44
2025-07-04 23:13:00,29,475,6141,5.61,44
2025-07-04 23:13:01,29,475,6141,6.20,44
2025-07-04 23:13:02,35,475,6141,5.89,44
2025-07-04 23:13:03,37,475,6141,6.13,44
2025-07-04 23:13:04,36,475,6141,5.76,44
2025-07-04 23:13:05,35,475,6141,6.07,44
2025-07-04 23:13:06,35,475,6141,5.80,44
2025-07-04 23:13:07,30,475,6141,6.21,44
2025-07-04 23:13:08,33,475,6141,5.87,44
2025-07-04 23:13:09,35,475,6141,6.03,44
2025-07-04 23:13:10,29,475,6141,5.62,44
2025-07-04 23:13:11,36,475,6141,6.11,44
2025-07-04 23:13:12,35,475,6141,5.72,44
2025-07-04 23:13:13,34,475,6141,6.10,44
2025-07-04 23:13:14,34,475,6141,5.73,44
2025-07-04 23:13:16,34,475,6141,6.05,44
2025-07-04 23:13:17,28,475,6141,5.64,44
2025-07-04 23:13:18,28,475,6141,5.98,44
2025-07-04 23:13:19,29,475,6141,5.63,44
2025-07-04 23:13:20,27,475,6141,6.00,44
2025-07-04 23:13:21,26,475,6141,5.74,44
2025-07-04 23:13:22,28,475,6141,6.02,44
2025-07-04 23:13:23,31,475,6141,5.95,44
2025-07-04 23:13:24,33,475,6141,5.80,44
2025-07-04 23:13:25,28,475,6141,6.11,44
2025-07-04 23:13:26,32,475,6141,6.12,44
2025-07-04 23:13:27,33,475,6141,5.64,44
2025-07-04 23:13:28,28,475,6141,6.05,44
2025-07-04 23:13:29,48,475,6141,5.71,44
2025-07-04 23:13:30,34,475,6141,6.13,44
2025-07-04 23:13:31,36,475,6141,6.25,44
2025-07-04 23:13:32,33,475,6141,5.81,44
2025-07-04 23:13:33,33,475,6141,5.96,44
2025-07-04 23:13:34,34,475,6141,5.88,44
2025-07-04 23:13:35,29,475,6141,6.03,44
2025-07-04 23:13:36,48,475,6141,5.67,44
2025-07-04 23:13:37,37,475,6141,6.17,44
2025-07-04 23:13:38,32,475,6141,5.44,44
2025-07-04 23:13:39,33,475,6141,6.10,44
2025-07-04 23:13:40,34,475,6141,5.61,44
2025-07-04 23:13:41,32,475,6141,6.00,44
2025-07-04 23:13:42,28,475,6141,5.56,44
2025-07-04 23:13:43,34,475,6141,6.02,44
2025-07-04 23:13:44,35,475,6141,5.76,44
2025-07-04 23:13:45,35,475,6141,6.02,44
2025-07-04 23:13:46,34,475,6141,5.07,44
2025-07-04 23:13:47,31,475,6141,6.04,44
2025-07-04 23:13:48,45,475,6141,5.38,44
2025-07-04 23:13:49,34,475,6141,5.79,44
2025-07-04 23:13:50,48,475,6141,5.59,44
2025-07-04 23:13:52,27,475,6141,6.03,44
2025-07-04 23:13:53,45,475,6141,5.33,44
2025-07-04 23:13:54,32,475,6141,5.83,44
2025-07-04 23:13:55,45,475,6141,5.97,44
2025-07-04 23:13:56,34,475,6141,5.97,44
2025-07-04 23:13:57,34,475,6141,6.14,44
2025-07-04 23:13:58,30,475,6141,5.69,44
2025-07-04 23:13:59,31,475,6141,6.16,44
2025-07-04 23:14:00,30,475,6141,5.68,44
2025-07-04 23:14:01,29,475,6141,6.03,44
2025-07-04 23:14:02,28,475,6141,5.67,44
2025-07-04 23:14:03,29,475,6141,6.07,44
2025-07-04 23:14:04,33,475,6141,5.23,44
2025-07-04 23:14:05,32,475,6141,6.05,44
2025-07-04 23:14:06,31,475,6141,6.19,44
2025-07-04 23:14:07,33,475,6141,5.74,44
2025-07-04 23:14:08,24,475,6141,6.17,44
2025-07-04 23:14:09,34,475,6141,5.87,44
2025-07-04 23:14:10,34,475,6141,5.91,44
2025-07-04 23:14:11,35,475,6141,5.65,44
2025-07-04 23:14:12,29,475,6141,6.22,44
2025-07-04 23:14:13,29,475,6141,5.56,44
2025-07-04 23:14:14,33,475,6141,6.05,44
2025-07-04 23:14:15,32,475,6141,5.81,44
2025-07-04 23:14:16,32,475,6141,6.05,44
2025-07-04 23:14:17,45,475,6141,5.94,44
2025-07-04 23:14:18,28,475,6141,6.07,44
2025-07-04 23:14:19,30,475,6141,6.08,44
2025-07-04 23:14:20,32,475,6141,6.14,44
2025-07-04 23:14:21,50,475,6141,5.97,44
2025-07-04 23:14:22,36,475,6141,5.80,44
2025-07-04 23:14:23,37,475,6141,6.04,44
2025-07-04 23:14:24,36,475,6141,5.64,44
2025-07-04 23:14:25,33,475,6141,6.12,44
2025-07-04 23:14:26,32,475,6141,5.64,44
2025-07-04 23:14:27,33,475,6141,6.10,44
2025-07-04 23:14:29,36,475,6141,5.64,44
2025-07-04 23:14:30,36,475,6141,6.18,44
2025-07-04 23:14:31,30,475,6141,5.58,44
2025-07-04 23:14:32,29,475,6141,6.12,44
2025-07-04 23:14:33,35,475,6141,5.61,44
2025-07-04 23:14:34,34,475,6141,6.08,44
2025-07-04 23:14:35,33,475,6141,5.61,44
2025-07-04 23:14:36,29,475,6141,6.01,44
2025-07-04 23:14:37,36,475,6141,6.21,44
2025-07-04 23:14:38,30,475,6141,5.86,44
2025-07-04 23:14:39,34,475,6141,6.09,44
2025-07-04 23:14:40,35,475,6141,6.25,44
2025-07-04 23:14:41,33,475,6141,5.74,44
2025-07-04 23:14:42,32,475,6141,6.09,44
2025-07-04 23:14:43,33,475,6141,5.68,44
2025-07-04 23:14:44,29,475,6141,5.94,44
2025-07-04 23:14:45,32,475,6141,6.01,44
2025-07-04 23:14:46,35,475,6141,5.58,44
2025-07-04 23:14:47,38,475,6141,6.05,44
2025-07-04 23:14:48,34,475,6141,5.63,44
2025-07-04 23:14:49,25,475,6141,6.03,44
2025-07-04 23:14:50,32,475,6141,5.70,44
2025-07-04 23:14:51,39,475,6141,5.80,44
2025-07-04 23:14:52,34,475,6141,5.63,44
2025-07-04 23:14:53,44,475,6141,5.64,44
2025-07-04 23:14:54,35,475,6141,6.14,44
2025-07-04 23:14:55,44,475,6141,5.60,45
2025-07-04 23:14:56,32,475,6141,6.03,44
