timestamp,real_time_factor,iterations
2025-07-04 23:20:14,0.204,37
2025-07-04 23:20:15,0.375,86
2025-07-04 23:20:16,0.484,135
2025-07-04 23:20:17,0.56,184
2025-07-04 23:20:18,0.616,233
2025-07-04 23:20:19,0.658,282
2025-07-04 23:20:20,0.692,331
2025-07-04 23:20:21,0.719,380
2025-07-04 23:20:22,0.742,429
2025-07-04 23:20:23,0.761,478
2025-07-04 23:20:24,0.777,527
2025-07-04 23:20:25,0.791,576
2025-07-04 23:20:26,0.803,625
2025-07-04 23:20:27,0.814,674
2025-07-04 23:20:28,0.823,723
2025-07-04 23:20:29,0.832,772
2025-07-04 23:20:30,0.839,821
2025-07-04 23:20:31,0.846,870
2025-07-04 23:20:32,0.852,919
2025-07-04 23:20:33,0.858,968
2025-07-04 23:20:34,0.863,1017
2025-07-04 23:20:35,0.868,1066
2025-07-04 23:20:36,0.872,1115
2025-07-04 23:20:37,0.877,1164
2025-07-04 23:20:38,0.88,1213
2025-07-04 23:20:39,0.884,1262
2025-07-04 23:20:40,0.887,1311
2025-07-04 23:20:41,0.89,1360
2025-07-04 23:20:42,0.893,1409
2025-07-04 23:20:43,0.896,1458
2025-07-04 23:20:44,0.898,1506
2025-07-04 23:20:45,0.9,1555
2025-07-04 23:20:46,0.902,1604
2025-07-04 23:20:47,0.904,1653
2025-07-04 23:20:48,0.906,1702
2025-07-04 23:20:49,0.908,1751
2025-07-04 23:20:50,0.91,1800
2025-07-04 23:20:51,0.911,1848
2025-07-04 23:20:52,0.913,1897
2025-07-04 23:20:53,0.914,1946
2025-07-04 23:20:54,0.916,1995
2025-07-04 23:20:55,0.917,2044
2025-07-04 23:20:56,0.919,2093
2025-07-04 23:20:57,0.92,2142
2025-07-04 23:20:58,0.922,2192
2025-07-04 23:20:59,0.923,2240
2025-07-04 23:21:00,0.924,2289
2025-07-04 23:21:01,0.925,2338
2025-07-04 23:21:02,0.926,2388
2025-07-04 23:21:03,0.927,2437
2025-07-04 23:21:04,0.928,2486
2025-07-04 23:21:05,0.929,2535
2025-07-04 23:21:06,0.93,2584
2025-07-04 23:21:07,0.931,2633
2025-07-04 23:21:08,0.932,2682
2025-07-04 23:21:09,0.933,2731
2025-07-04 23:21:10,0.934,2780
2025-07-04 23:21:11,0.934,2829
2025-07-04 23:21:12,0.935,2878
2025-07-04 23:21:13,0.936,2927
2025-07-04 23:21:14,0.936,2976
2025-07-04 23:21:15,0.937,3025
2025-07-04 23:21:16,0.938,3074
2025-07-04 23:21:17,0.938,3123
2025-07-04 23:21:18,0.939,3172
2025-07-04 23:21:19,0.94,3221
2025-07-04 23:21:20,0.941,3271
2025-07-04 23:21:21,0.941,3320
2025-07-04 23:21:22,0.942,3369
2025-07-04 23:21:23,0.942,3417
2025-07-04 23:21:24,0.942,3466
2025-07-04 23:21:25,0.943,3515
2025-07-04 23:21:26,0.944,3565
2025-07-04 23:21:27,0.944,3613
2025-07-04 23:21:28,0.944,3662
2025-07-04 23:21:29,0.945,3711
2025-07-04 23:21:30,0.945,3760
2025-07-04 23:21:31,0.946,3809
2025-07-04 23:21:32,0.946,3858
2025-07-04 23:21:33,0.946,3907
2025-07-04 23:21:34,0.947,3956
2025-07-04 23:21:35,0.947,4005
2025-07-04 23:21:36,0.948,4054
2025-07-04 23:21:37,0.948,4103
2025-07-04 23:21:38,0.948,4152
2025-07-04 23:21:39,0.949,4201
2025-07-04 23:21:40,0.949,4250
2025-07-04 23:21:41,0.949,4299
2025-07-04 23:21:42,0.95,4348
2025-07-04 23:21:43,0.95,4396
2025-07-04 23:21:44,0.95,4446
2025-07-04 23:21:45,0.951,4495
2025-07-04 23:21:46,0.951,4544
2025-07-04 23:21:47,0.951,4593
2025-07-04 23:21:48,0.952,4642
2025-07-04 23:21:49,0.952,4691
2025-07-04 23:21:50,0.952,4740
2025-07-04 23:21:51,0.952,4789
2025-07-04 23:21:52,0.953,4837
2025-07-04 23:21:53,0.953,4887
2025-07-04 23:21:54,0.953,4936
2025-07-04 23:21:55,0.954,4985
2025-07-04 23:21:56,0.954,5034
2025-07-04 23:21:57,0.954,5083
2025-07-04 23:21:58,0.954,5131
2025-07-04 23:21:59,0.955,5181
2025-07-04 23:22:00,0.955,5229
2025-07-04 23:22:01,0.955,5278
2025-07-04 23:22:02,0.955,5327
2025-07-04 23:22:03,0.955,5376
2025-07-04 23:22:04,0.955,5425
2025-07-04 23:22:05,0.956,5474
2025-07-04 23:22:06,0.956,5523
2025-07-04 23:22:07,0.956,5572
2025-07-04 23:22:08,0.956,5621
2025-07-04 23:22:09,0.956,5670
2025-07-04 23:22:10,0.957,5719
2025-07-04 23:22:11,0.957,5768
2025-07-04 23:22:12,0.957,5817
2025-07-04 23:22:13,0.957,5866
2025-07-04 23:22:14,0.957,5915
2025-07-04 23:22:15,0.958,5964
2025-07-04 23:22:16,0.958,6013
2025-07-04 23:22:17,0.958,6062
2025-07-04 23:22:18,0.958,6111
2025-07-04 23:22:19,0.958,6160
2025-07-04 23:22:20,0.958,6208
2025-07-04 23:22:21,0.959,6258
2025-07-04 23:22:22,0.959,6306
2025-07-04 23:22:23,0.959,6355
2025-07-04 23:22:24,0.959,6404
2025-07-04 23:22:25,0.959,6453
2025-07-04 23:22:26,0.959,6502
2025-07-04 23:22:27,0.959,6551
2025-07-04 23:22:28,0.96,6600
2025-07-04 23:22:29,0.96,6649
2025-07-04 23:22:30,0.96,6698
2025-07-04 23:22:31,0.96,6747
2025-07-04 23:22:32,0.96,6796
2025-07-04 23:22:33,0.96,6845
2025-07-04 23:22:34,0.96,6894
2025-07-04 23:22:35,0.961,6943
2025-07-04 23:22:36,0.961,6992
2025-07-04 23:22:37,0.961,7040
2025-07-04 23:22:38,0.961,7089
2025-07-04 23:22:39,0.961,7138
2025-07-04 23:22:40,0.961,7187
2025-07-04 23:22:41,0.961,7236
2025-07-04 23:22:42,0.961,7286
2025-07-04 23:22:43,0.962,7335
2025-07-04 23:22:44,0.962,7384
2025-07-04 23:22:45,0.962,7433
2025-07-04 23:22:46,0.962,7482
2025-07-04 23:22:47,0.962,7530
2025-07-04 23:22:48,0.962,7579
2025-07-04 23:22:49,0.962,7628
2025-07-04 23:22:50,0.962,7677
2025-07-04 23:22:51,0.962,7726
2025-07-04 23:22:52,0.962,7774
2025-07-04 23:22:53,0.962,7823
2025-07-04 23:22:54,0.963,7873
2025-07-04 23:22:55,0.963,7922
2025-07-04 23:22:56,0.963,7970
2025-07-04 23:22:57,0.963,8019
2025-07-04 23:22:58,0.963,8069
2025-07-04 23:22:59,0.963,8118
2025-07-04 23:23:00,0.963,8167
2025-07-04 23:23:01,0.963,8216
2025-07-04 23:23:02,0.963,8264
2025-07-04 23:23:03,0.964,8313
2025-07-04 23:23:04,0.964,8362
2025-07-04 23:23:05,0.964,8411
2025-07-04 23:23:06,0.964,8460
2025-07-04 23:23:07,0.964,8509
2025-07-04 23:23:08,0.964,8557
2025-07-04 23:23:09,0.964,8607
2025-07-04 23:23:10,0.964,8656
2025-07-04 23:23:11,0.964,8705
2025-07-04 23:23:12,0.964,8754
2025-07-04 23:23:13,0.964,8803
2025-07-04 23:23:14,0.964,8852
2025-07-04 23:23:15,0.965,8901
2025-07-04 23:23:16,0.965,8950
2025-07-04 23:23:17,0.965,9000
2025-07-04 23:23:18,0.965,9049
2025-07-04 23:23:19,0.965,9097
2025-07-04 23:23:20,0.965,9147
2025-07-04 23:23:21,0.965,9195
2025-07-04 23:23:22,0.965,9244
2025-07-04 23:23:23,0.965,9293
2025-07-04 23:23:24,0.965,9342
2025-07-04 23:23:25,0.965,9391
2025-07-04 23:23:26,0.965,9440
2025-07-04 23:23:27,0.966,9489
2025-07-04 23:23:28,0.966,9538
2025-07-04 23:23:29,0.966,9587
2025-07-04 23:23:30,0.966,9636
2025-07-04 23:23:31,0.966,9685
2025-07-04 23:23:32,0.966,9735
2025-07-04 23:23:33,0.966,9784
2025-07-04 23:23:34,0.966,9833
2025-07-04 23:23:35,0.966,9882
2025-07-04 23:23:36,0.966,9931
2025-07-04 23:23:37,0.966,9980
2025-07-04 23:23:38,0.966,10029
2025-07-04 23:23:39,0.966,10078
2025-07-04 23:23:40,0.967,10127
2025-07-04 23:23:41,0.967,10176
2025-07-04 23:23:42,0.967,10225
2025-07-04 23:23:43,0.967,10274
2025-07-04 23:23:44,0.967,10323
2025-07-04 23:23:45,0.967,10372
2025-07-04 23:23:46,0.967,10421
2025-07-04 23:23:47,0.967,10470
2025-07-04 23:23:48,0.967,10519
2025-07-04 23:23:49,0.967,10568
2025-07-04 23:23:50,0.967,10617
2025-07-04 23:23:51,0.967,10666
