timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-04 22:40:52,28.7,10.9,17.5,69.6,2.44,0.74,0.18,0.06,387,876,3
2025-07-04 22:40:53,35.4,16.2,19.0,63.3,3.0,2.04,0.46,0.15,391,971,4
2025-07-04 22:40:54,8.5,6.9,1.7,90.8,1.72,2.04,0.46,0.15,391,992,1
2025-07-04 22:40:55,5.4,3.8,1.5,91.8,1.52,2.04,0.46,0.15,391,1016,0
2025-07-04 22:40:56,27.6,17.2,10.0,71.1,3.04,2.04,0.46,0.15,393,1149,0
2025-07-04 22:40:57,3.5,2.2,1.2,96.0,1.66,2.04,0.46,0.15,393,1147,1
2025-07-04 22:40:58,3.2,2.0,1.2,96.0,1.18,1.95,0.46,0.15,393,1147,0
2025-07-04 22:40:59,3.5,2.2,1.1,95.7,1.32,1.95,0.46,0.15,392,1124,0
2025-07-04 22:41:00,4.4,2.9,1.3,94.7,1.57,1.95,0.46,0.15,391,1123,0
2025-07-04 22:41:02,3.3,2.5,0.8,95.7,1.64,1.95,0.46,0.15,391,1124,0
2025-07-04 22:41:03,4.8,3.5,1.2,94.4,2.14,1.95,0.46,0.15,391,1123,1
2025-07-04 22:41:04,4.3,3.2,1.1,94.7,1.16,1.8,0.46,0.15,390,1122,1
2025-07-04 22:41:05,3.8,2.9,0.9,95.2,2.32,1.8,0.46,0.15,390,1122,0
2025-07-04 22:41:06,4.1,3.0,0.9,95.0,1.88,1.8,0.46,0.15,390,1122,1
2025-07-04 22:41:07,4.2,3.2,1.0,94.9,1.91,1.8,0.46,0.15,389,1121,2
2025-07-04 22:41:08,4.2,3.2,1.0,95.1,1.84,1.8,0.46,0.15,389,1121,0
2025-07-04 22:41:09,4.2,3.2,0.9,94.9,1.44,1.73,0.47,0.16,389,1121,0
2025-07-04 22:41:10,4.6,3.4,1.1,94.6,2.22,1.73,0.47,0.16,389,1123,2
2025-07-04 22:41:11,5.3,4.2,1.1,93.8,2.71,1.73,0.47,0.16,389,1123,0
2025-07-04 22:41:12,5.2,4.2,0.9,93.8,2.48,1.73,0.47,0.16,389,1119,1
2025-07-04 22:41:13,5.2,4.0,1.2,93.9,2.35,1.73,0.47,0.16,389,1119,0
2025-07-04 22:41:14,5.4,4.0,1.1,93.8,1.56,1.76,0.49,0.17,389,1119,1
2025-07-04 22:41:15,5.2,4.0,1.1,93.8,1.71,1.76,0.49,0.17,389,1119,0
2025-07-04 22:41:16,5.3,4.2,1.1,93.6,2.29,1.76,0.49,0.17,389,1119,0
2025-07-04 22:41:17,4.7,3.9,0.9,94.4,1.91,1.76,0.49,0.17,389,1119,1
2025-07-04 22:41:18,5.0,3.9,1.0,94.1,1.66,1.76,0.49,0.17,389,1119,1
2025-07-04 22:41:19,4.9,3.8,1.1,94.3,1.2,1.69,0.5,0.17,389,1119,1
2025-07-04 22:41:20,4.9,3.8,1.0,94.0,1.69,1.69,0.5,0.17,389,1119,0
2025-07-04 22:41:21,4.7,3.5,1.1,94.4,1.38,1.69,0.5,0.17,389,1119,0
2025-07-04 22:41:22,4.9,3.9,1.0,94.2,1.56,1.69,0.5,0.17,389,1119,0
2025-07-04 22:41:23,5.3,4.0,1.1,93.9,2.57,1.69,0.5,0.17,389,1119,0
2025-07-04 22:41:24,4.7,3.7,1.1,94.2,1.17,1.56,0.49,0.17,389,1118,0
2025-07-04 22:41:25,5.1,3.9,1.0,94.2,1.88,1.56,0.49,0.17,389,1102,1
2025-07-04 22:41:26,5.0,4.0,1.1,93.9,2.32,1.56,0.49,0.17,389,1102,1
2025-07-04 22:41:27,4.8,3.8,1.0,94.3,2.1,1.56,0.49,0.17,389,1102,0
2025-07-04 22:41:28,4.8,3.9,0.9,94.4,1.59,1.56,0.49,0.17,389,1102,0
2025-07-04 22:41:29,4.9,3.8,0.9,94.2,1.93,1.51,0.5,0.18,389,1102,0
2025-07-04 22:41:30,4.9,3.9,0.9,94.2,1.39,1.51,0.5,0.18,389,1102,0
2025-07-04 22:41:31,4.9,3.8,1.1,94.2,1.69,1.51,0.5,0.18,389,1102,0
2025-07-04 22:41:32,4.8,3.9,0.9,94.4,1.67,1.51,0.5,0.18,389,1102,0
2025-07-04 22:41:33,4.7,3.7,0.9,94.3,1.24,1.51,0.5,0.18,389,1102,0
2025-07-04 22:41:34,4.7,3.8,0.9,94.3,1.98,1.47,0.51,0.18,389,1102,2
2025-07-04 22:41:35,4.5,3.5,0.9,94.7,2.66,1.47,0.51,0.18,389,1102,0
2025-07-04 22:41:36,4.5,3.1,0.9,94.5,2.58,1.47,0.51,0.18,388,1099,0
2025-07-04 22:41:37,5.5,4.1,1.2,93.6,2.65,1.47,0.51,0.18,390,1110,3
2025-07-04 22:41:38,5.2,3.5,1.0,93.7,2.51,1.47,0.51,0.18,390,1109,1
2025-07-04 22:41:39,11.1,3.5,1.4,88.3,2.21,1.52,0.53,0.19,390,1108,1
2025-07-04 22:41:40,11.4,4.3,1.1,87.6,1.89,1.52,0.53,0.19,390,1108,2
2025-07-04 22:41:41,6.7,4.9,1.3,92.1,2.38,1.52,0.53,0.19,389,1108,1
2025-07-04 22:41:42,6.0,4.6,1.2,93.0,2.83,1.52,0.53,0.19,389,1108,0
2025-07-04 22:41:43,5.4,4.1,0.9,94.0,1.2,1.55,0.56,0.2,389,1108,1
2025-07-04 22:41:44,5.6,4.5,1.1,93.5,1.89,1.55,0.56,0.2,389,1108,2
2025-07-04 22:41:45,5.6,4.3,1.0,93.7,3.34,1.55,0.56,0.2,389,1108,0
2025-07-04 22:41:46,4.9,3.9,1.0,94.1,2.77,1.55,0.56,0.2,389,1108,0
2025-07-04 22:41:47,5.0,4.0,0.9,94.0,2.5,1.55,0.56,0.2,389,1108,0
2025-07-04 22:41:48,5.2,4.2,0.9,94.1,2.77,1.51,0.57,0.21,389,1108,1
2025-07-04 22:41:49,5.0,3.9,1.1,94.0,2.25,1.51,0.57,0.21,389,1108,2
2025-07-04 22:41:50,4.9,3.7,1.1,94.3,2.44,1.51,0.57,0.21,389,1108,0
2025-07-04 22:41:51,5.4,4.2,1.1,93.7,1.39,1.51,0.57,0.21,389,1108,0
2025-07-04 22:41:52,5.2,4.2,1.0,93.9,1.78,1.51,0.57,0.21,389,1108,2
2025-07-04 22:41:53,5.2,4.1,1.0,94.0,1.48,1.47,0.57,0.21,389,1105,0
2025-07-04 22:41:54,5.4,4.1,1.1,93.8,1.56,1.47,0.57,0.21,389,1105,0
2025-07-04 22:41:55,4.7,3.7,0.9,94.3,1.98,1.47,0.57,0.21,390,1107,2
2025-07-04 22:41:56,4.9,3.7,1.1,94.2,2.61,1.47,0.57,0.21,389,1103,0
2025-07-04 22:41:57,5.3,4.3,0.9,93.8,3.05,1.47,0.57,0.21,389,1103,1
2025-07-04 22:41:58,4.9,3.9,1.1,94.1,2.05,1.35,0.56,0.21,389,1103,1
2025-07-04 22:41:59,4.9,3.6,1.1,94.3,2.13,1.35,0.56,0.21,389,1103,1
2025-07-04 22:42:00,4.9,3.7,1.2,94.0,2.3,1.35,0.56,0.21,389,1103,0
