timestamp,real_time_factor,iterations
2025-07-04 22:55:26,0.119,22
2025-07-04 22:55:27,0.31,71
2025-07-04 22:55:28,0.431,120
2025-07-04 22:55:29,0.516,169
2025-07-04 22:55:30,0.577,218
2025-07-04 22:55:31,0.625,267
2025-07-04 22:55:32,0.662,316
2025-07-04 22:55:33,0.692,365
2025-07-04 22:55:34,0.717,414
2025-07-04 22:55:35,0.738,463
2025-07-04 22:55:36,0.756,512
2025-07-04 22:55:37,0.771,561
2025-07-04 22:55:38,0.785,610
2025-07-04 22:55:39,0.797,659
2025-07-04 22:55:40,0.807,708
2025-07-04 22:55:41,0.817,757
2025-07-04 22:55:42,0.825,806
2025-07-04 22:55:43,0.832,855
2025-07-04 22:55:44,0.838,903
2025-07-04 22:55:45,0.846,953
2025-07-04 22:55:46,0.851,1002
2025-07-04 22:55:47,0.857,1051
2025-07-04 22:55:48,0.861,1100
2025-07-04 22:55:49,0.866,1149
2025-07-04 22:55:50,0.87,1198
2025-07-04 22:55:51,0.874,1247
2025-07-04 22:55:52,0.877,1296
2025-07-04 22:55:53,0.881,1345
2025-07-04 22:55:54,0.884,1394
2025-07-04 22:55:55,0.887,1443
2025-07-04 22:55:56,0.89,1492
2025-07-04 22:55:57,0.892,1541
2025-07-04 22:55:58,0.895,1590
2025-07-04 22:55:59,0.897,1639
2025-07-04 22:56:00,0.899,1688
2025-07-04 22:56:01,0.901,1737
2025-07-04 22:56:02,0.903,1786
2025-07-04 22:56:03,0.905,1835
2025-07-04 22:56:04,0.907,1884
2025-07-04 22:56:05,0.909,1933
2025-07-04 22:56:06,0.91,1982
2025-07-04 22:56:07,0.912,2031
2025-07-04 22:56:08,0.913,2080
2025-07-04 22:56:09,0.915,2129
2025-07-04 22:56:10,0.916,2178
2025-07-04 22:56:11,0.918,2227
2025-07-04 22:56:12,0.919,2276
2025-07-04 22:56:13,0.92,2325
2025-07-04 22:56:14,0.921,2374
2025-07-04 22:56:15,0.922,2423
2025-07-04 22:56:16,0.923,2472
2025-07-04 22:56:17,0.924,2520
2025-07-04 22:56:18,0.925,2569
2025-07-04 22:56:19,0.926,2618
2025-07-04 22:56:20,0.927,2667
2025-07-04 22:56:21,0.928,2716
2025-07-04 22:56:22,0.929,2765
2025-07-04 22:56:23,0.93,2814
2025-07-04 22:56:24,0.93,2863
2025-07-04 22:56:25,0.931,2912
2025-07-04 22:56:26,0.932,2961
2025-07-04 22:56:27,0.933,3011
2025-07-04 22:56:28,0.934,3060
2025-07-04 22:56:29,0.934,3109
2025-07-04 22:56:30,0.935,3158
2025-07-04 22:56:31,0.936,3207
2025-07-04 22:56:32,0.936,3256
2025-07-04 22:56:33,0.937,3305
2025-07-04 22:56:34,0.938,3354
2025-07-04 22:56:35,0.938,3403
2025-07-04 22:56:36,0.939,3452
2025-07-04 22:56:37,0.939,3501
2025-07-04 22:56:38,0.94,3550
2025-07-04 22:56:39,0.94,3599
2025-07-04 22:56:40,0.941,3648
2025-07-04 22:56:41,0.941,3697
2025-07-04 22:56:42,0.942,3746
2025-07-04 22:56:43,0.942,3795
2025-07-04 22:56:44,0.943,3844
2025-07-04 22:56:45,0.943,3893
2025-07-04 22:56:46,0.944,3942
2025-07-04 22:56:47,0.944,3991
2025-07-04 22:56:48,0.945,4040
2025-07-04 22:56:49,0.945,4089
2025-07-04 22:56:50,0.945,4138
2025-07-04 22:56:51,0.946,4187
2025-07-04 22:56:52,0.946,4236
2025-07-04 22:56:53,0.947,4285
2025-07-04 22:56:54,0.947,4334
2025-07-04 22:56:55,0.947,4384
2025-07-04 22:56:56,0.948,4432
2025-07-04 22:56:57,0.948,4482
2025-07-04 22:56:58,0.949,4531
2025-07-04 22:56:59,0.949,4580
2025-07-04 22:57:00,0.949,4629
2025-07-04 22:57:01,0.949,4678
2025-07-04 22:57:02,0.95,4726
2025-07-04 22:57:03,0.95,4775
2025-07-04 22:57:04,0.95,4824
2025-07-04 22:57:05,0.95,4873
2025-07-04 22:57:06,0.951,4922
2025-07-04 22:57:07,0.951,4971
2025-07-04 22:57:08,0.951,5020
2025-07-04 22:57:09,0.952,5069
2025-07-04 22:57:10,0.952,5118
2025-07-04 22:57:11,0.952,5168
2025-07-04 22:57:12,0.953,5217
2025-07-04 22:57:13,0.953,5266
2025-07-04 22:57:14,0.953,5315
2025-07-04 22:57:15,0.953,5364
2025-07-04 22:57:16,0.954,5413
2025-07-04 22:57:17,0.954,5461
2025-07-04 22:57:18,0.954,5511
2025-07-04 22:57:19,0.954,5560
2025-07-04 22:57:20,0.954,5609
2025-07-04 22:57:21,0.955,5658
2025-07-04 22:57:22,0.955,5707
2025-07-04 22:57:23,0.955,5756
2025-07-04 22:57:24,0.955,5805
2025-07-04 22:57:25,0.955,5854
2025-07-04 22:57:26,0.956,5903
2025-07-04 22:57:27,0.956,5952
2025-07-04 22:57:28,0.956,6001
2025-07-04 22:57:29,0.956,6050
2025-07-04 22:57:30,0.956,6099
2025-07-04 22:57:31,0.957,6149
2025-07-04 22:57:32,0.957,6198
2025-07-04 22:57:33,0.957,6246
2025-07-04 22:57:34,0.957,6295
2025-07-04 22:57:35,0.957,6344
2025-07-04 22:57:36,0.957,6393
2025-07-04 22:57:37,0.958,6443
2025-07-04 22:57:38,0.958,6492
2025-07-04 22:57:39,0.958,6541
2025-07-04 22:57:40,0.958,6590
2025-07-04 22:57:41,0.958,6639
2025-07-04 22:57:42,0.959,6688
2025-07-04 22:57:43,0.959,6737
2025-07-04 22:57:44,0.959,6786
2025-07-04 22:57:45,0.959,6835
2025-07-04 22:57:46,0.959,6884
2025-07-04 22:57:47,0.959,6933
2025-07-04 22:57:48,0.959,6982
2025-07-04 22:57:49,0.96,7031
2025-07-04 22:57:50,0.96,7080
2025-07-04 22:57:51,0.96,7129
2025-07-04 22:57:52,0.96,7178
2025-07-04 22:57:53,0.96,7227
2025-07-04 22:57:54,0.96,7276
2025-07-04 22:57:55,0.96,7325
2025-07-04 22:57:56,0.961,7374
2025-07-04 22:57:57,0.961,7423
2025-07-04 22:57:58,0.961,7472
2025-07-04 22:57:59,0.961,7522
2025-07-04 22:58:00,0.961,7571
2025-07-04 22:58:01,0.961,7620
2025-07-04 22:58:02,0.961,7669
2025-07-04 22:58:03,0.961,7717
2025-07-04 22:58:04,0.962,7766
2025-07-04 22:58:05,0.962,7815
2025-07-04 22:58:06,0.962,7865
2025-07-04 22:58:07,0.962,7914
2025-07-04 22:58:08,0.962,7962
2025-07-04 22:58:09,0.962,8011
2025-07-04 22:58:10,0.962,8060
2025-07-04 22:58:11,0.962,8109
