timestamp,real_time_factor,iterations
2025-07-05 09:41:39,0.16,33
2025-07-05 09:41:40,0.324,82
2025-07-05 09:41:41,0.43,130
2025-07-05 09:41:42,0.509,179
2025-07-05 09:41:43,0.565,227
2025-07-05 09:41:44,0.609,275
2025-07-05 09:41:45,0.646,324
2025-07-05 09:41:46,0.676,373
2025-07-05 09:41:47,0.702,422
2025-07-05 09:41:48,0.722,470
2025-07-05 09:41:49,0.74,519
2025-07-05 09:41:50,0.755,567
2025-07-05 09:41:51,0.769,616
2025-07-05 09:41:52,0.78,664
2025-07-05 09:41:53,0.791,713
2025-07-05 09:41:54,0.8,761
2025-07-05 09:41:55,0.809,810
2025-07-05 09:41:56,0.817,859
2025-07-05 09:41:57,0.824,907
2025-07-05 09:41:58,0.83,956
2025-07-05 09:41:59,0.836,1004
2025-07-05 09:42:00,0.842,1053
2025-07-05 09:42:01,0.847,1102
2025-07-05 09:42:02,0.852,1151
2025-07-05 09:42:03,0.856,1199
2025-07-05 09:42:04,0.86,1248
2025-07-05 09:42:05,0.864,1297
2025-07-05 09:42:06,0.868,1346
2025-07-05 09:42:07,0.871,1395
2025-07-05 09:42:08,0.875,1444
2025-07-05 09:42:09,0.877,1492
2025-07-05 09:42:10,0.88,1541
2025-07-05 09:42:11,0.883,1590
2025-07-05 09:42:12,0.885,1639
2025-07-05 09:42:13,0.887,1687
2025-07-05 09:42:14,0.89,1736
2025-07-05 09:42:15,0.892,1785
2025-07-05 09:42:16,0.894,1833
2025-07-05 09:42:17,0.896,1882
2025-07-05 09:42:18,0.898,1931
2025-07-05 09:42:19,0.899,1979
2025-07-05 09:42:20,0.901,2028
2025-07-05 09:42:21,0.902,2076
2025-07-05 09:42:22,0.903,2124
2025-07-05 09:42:23,0.905,2174
2025-07-05 09:42:24,0.907,2223
2025-07-05 09:42:25,0.908,2271
2025-07-05 09:42:26,0.909,2320
2025-07-05 09:42:27,0.911,2369
2025-07-05 09:42:28,0.912,2418
2025-07-05 09:42:29,0.913,2466
2025-07-05 09:42:30,0.914,2515
2025-07-05 09:42:31,0.915,2563
2025-07-05 09:42:32,0.916,2612
2025-07-05 09:42:33,0.917,2661
2025-07-05 09:42:34,0.918,2709
2025-07-05 09:42:35,0.919,2758
2025-07-05 09:42:36,0.92,2807
2025-07-05 09:42:37,0.921,2856
2025-07-05 09:42:38,0.922,2904
2025-07-05 09:42:39,0.922,2953
2025-07-05 09:42:40,0.923,3002
2025-07-05 09:42:41,0.924,3050
2025-07-05 09:42:42,0.925,3099
2025-07-05 09:42:43,0.926,3148
2025-07-05 09:42:44,0.926,3197
2025-07-05 09:42:45,0.927,3246
2025-07-05 09:42:46,0.928,3295
2025-07-05 09:42:47,0.928,3343
2025-07-05 09:42:48,0.929,3392
2025-07-05 09:42:49,0.93,3441
2025-07-05 09:42:50,0.93,3490
2025-07-05 09:42:51,0.931,3539
2025-07-05 09:42:52,0.931,3587
2025-07-05 09:42:53,0.932,3636
2025-07-05 09:42:54,0.933,3685
2025-07-05 09:42:55,0.933,3734
2025-07-05 09:42:56,0.934,3782
2025-07-05 09:42:57,0.934,3831
2025-07-05 09:42:58,0.935,3880
2025-07-05 09:42:59,0.935,3929
2025-07-05 09:43:00,0.936,3978
2025-07-05 09:43:01,0.936,4027
2025-07-05 09:43:02,0.937,4075
2025-07-05 09:43:03,0.937,4124
2025-07-05 09:43:04,0.937,4172
2025-07-05 09:43:05,0.938,4221
2025-07-05 09:43:06,0.938,4269
2025-07-05 09:43:07,0.938,4318
2025-07-05 09:43:08,0.939,4367
2025-07-05 09:43:09,0.939,4415
2025-07-05 09:43:10,0.94,4464
2025-07-05 09:43:11,0.94,4513
2025-07-05 09:43:12,0.94,4561
2025-07-05 09:43:13,0.941,4610
2025-07-05 09:43:14,0.941,4659
2025-07-05 09:43:15,0.941,4708
2025-07-05 09:43:16,0.942,4756
2025-07-05 09:43:17,0.942,4804
2025-07-05 09:43:18,0.942,4853
2025-07-05 09:43:19,0.942,4902
2025-07-05 09:43:20,0.943,4951
2025-07-05 09:43:21,0.943,5000
2025-07-05 09:43:22,0.943,5048
2025-07-05 09:43:23,0.944,5097
2025-07-05 09:43:24,0.944,5146
2025-07-05 09:43:25,0.944,5195
2025-07-05 09:43:26,0.945,5243
2025-07-05 09:43:27,0.945,5292
2025-07-05 09:43:28,0.945,5341
2025-07-05 09:43:29,0.945,5390
2025-07-05 09:43:30,0.946,5439
2025-07-05 09:43:31,0.946,5487
2025-07-05 09:43:32,0.946,5536
2025-07-05 09:43:33,0.946,5585
2025-07-05 09:43:34,0.947,5634
2025-07-05 09:43:35,0.947,5683
2025-07-05 09:43:36,0.947,5731
2025-07-05 09:43:37,0.947,5780
2025-07-05 09:43:38,0.948,5829
2025-07-05 09:43:39,0.948,5878
2025-07-05 09:43:40,0.948,5926
2025-07-05 09:43:41,0.948,5975
2025-07-05 09:43:42,0.949,6024
2025-07-05 09:43:43,0.949,6072
2025-07-05 09:43:44,0.949,6121
2025-07-05 09:43:45,0.949,6170
2025-07-05 09:43:46,0.949,6218
2025-07-05 09:43:47,0.949,6267
2025-07-05 09:43:48,0.95,6316
2025-07-05 09:43:49,0.95,6364
2025-07-05 09:43:50,0.95,6413
2025-07-05 09:43:51,0.95,6461
2025-07-05 09:43:52,0.95,6510
2025-07-05 09:43:53,0.95,6558
2025-07-05 09:43:54,0.951,6607
2025-07-05 09:43:55,0.951,6656
2025-07-05 09:43:56,0.951,6705
2025-07-05 09:43:57,0.951,6754
2025-07-05 09:43:58,0.951,6802
2025-07-05 09:43:59,0.951,6851
2025-07-05 09:44:00,0.952,6900
2025-07-05 09:44:01,0.952,6949
2025-07-05 09:44:02,0.952,6998
2025-07-05 09:44:03,0.952,7046
2025-07-05 09:44:04,0.952,7095
2025-07-05 09:44:05,0.952,7143
2025-07-05 09:44:06,0.952,7192
2025-07-05 09:44:07,0.953,7241
2025-07-05 09:44:08,0.953,7290
2025-07-05 09:44:09,0.953,7338
2025-07-05 09:44:10,0.953,7387
2025-07-05 09:44:11,0.953,7436
2025-07-05 09:44:12,0.953,7485
2025-07-05 09:44:13,0.953,7533
2025-07-05 09:44:14,0.954,7582
2025-07-05 09:44:15,0.954,7631
2025-07-05 09:44:16,0.954,7679
2025-07-05 09:44:17,0.954,7728
2025-07-05 09:44:18,0.954,7776
2025-07-05 09:44:19,0.954,7825
2025-07-05 09:44:20,0.954,7874
2025-07-05 09:44:21,0.954,7923
2025-07-05 09:44:22,0.954,7971
2025-07-05 09:44:23,0.955,8020
2025-07-05 09:44:24,0.955,8069
2025-07-05 09:44:25,0.955,8117
2025-07-05 09:44:26,0.955,8166
2025-07-05 09:44:27,0.955,8215
2025-07-05 09:44:28,0.955,8264
2025-07-05 09:44:29,0.955,8312
2025-07-05 09:44:30,0.955,8361
2025-07-05 09:44:31,0.956,8410
2025-07-05 09:44:32,0.956,8458
2025-07-05 09:44:33,0.956,8507
2025-07-05 09:44:34,0.956,8555
2025-07-05 09:44:35,0.956,8604
2025-07-05 09:44:36,0.956,8653
2025-07-05 09:44:37,0.956,8702
2025-07-05 09:44:38,0.956,8751
2025-07-05 09:44:39,0.956,8799
2025-07-05 09:44:40,0.956,8848
2025-07-05 09:44:41,0.957,8897
2025-07-05 09:44:42,0.957,8945
2025-07-05 09:44:43,0.957,8994
2025-07-05 09:44:44,0.957,9042
2025-07-05 09:44:45,0.957,9091
2025-07-05 09:44:46,0.957,9139
2025-07-05 09:44:47,0.957,9188
2025-07-05 09:44:48,0.957,9236
2025-07-05 09:44:49,0.957,9285
2025-07-05 09:44:50,0.957,9334
2025-07-05 09:44:51,0.957,9383
2025-07-05 09:44:52,0.957,9432
2025-07-05 09:44:53,0.958,9481
2025-07-05 09:44:54,0.958,9529
2025-07-05 09:44:55,0.958,9578
2025-07-05 09:44:56,0.958,9627
2025-07-05 09:44:57,0.958,9676
2025-07-05 09:44:58,0.958,9725
2025-07-05 09:44:59,0.958,9773
2025-07-05 09:45:00,0.958,9822
2025-07-05 09:45:01,0.958,9871
2025-07-05 09:45:02,0.958,9919
