timestamp,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
2025-07-05 10:03:13,15695.23,1998.9,13126.75,16.4,11015.62,1825.23,1327.77,244.15,2436.56,2048.0,0.0,2048.0
2025-07-05 10:03:14,15695.23,2293.36,12821.99,18.3,10631.15,2145.64,1353.43,261.26,2509.46,2048.0,0.0,2048.0
2025-07-05 10:03:15,15695.23,2043.44,13055.95,16.8,10857.2,2165.2,1354.06,261.27,2533.33,2048.0,0.0,2048.0
2025-07-05 10:03:16,15695.23,2451.8,12647.79,19.4,10415.09,2549.72,1377.05,266.7,2561.64,2048.0,0.0,2048.0
2025-07-05 10:03:17,15695.23,2961.12,12120.81,22.8,9867.3,2786.73,1386.15,266.87,2599.94,2048.0,0.0,2048.0
2025-07-05 10:03:18,15695.23,3094.02,11936.05,24.0,9605.09,2998.54,1391.39,267.62,2728.51,2048.0,0.0,2048.0
2025-07-05 10:03:19,15695.23,3126.85,11846.68,24.5,9515.68,3001.43,1391.42,267.62,2785.09,2048.0,0.0,2048.0
2025-07-05 10:03:20,15695.23,3175.82,11814.8,24.7,9483.77,3003.69,1391.42,267.62,2768.03,2048.0,0.0,2048.0
2025-07-05 10:03:21,15695.23,3186.59,11871.41,24.4,9540.36,3013.24,1391.43,267.62,2700.66,2048.0,0.0,2048.0
2025-07-05 10:03:22,15695.23,3186.46,11890.04,24.2,9558.98,3013.35,1391.43,267.63,2682.16,2048.0,0.0,2048.0
2025-07-05 10:03:23,15695.23,3198.61,11877.92,24.3,9546.86,3026.8,1391.43,267.63,2682.13,2048.0,0.0,2048.0
2025-07-05 10:03:24,15695.23,3162.93,11921.15,24.0,9590.1,3005.02,1391.43,267.63,2674.57,2048.0,0.0,2048.0
2025-07-05 10:03:25,15695.23,3169.29,11923.83,24.0,9592.77,3005.08,1391.44,267.63,2665.55,2048.0,0.0,2048.0
2025-07-05 10:03:26,15695.23,3153.76,11939.36,23.9,9608.29,3005.14,1391.44,267.63,2665.55,2048.0,0.0,2048.0
2025-07-05 10:03:27,15695.23,3145.48,11948.59,23.9,9617.52,3004.13,1391.44,267.63,2664.61,2048.0,0.0,2048.0
2025-07-05 10:03:28,15695.23,3128.27,11957.28,23.8,9625.93,3004.52,1391.44,267.64,2673.4,2048.0,0.0,2048.0
2025-07-05 10:03:29,15695.23,3129.21,11954.1,23.8,9622.37,3009.55,1391.45,267.64,2676.02,2048.0,0.0,2048.0
2025-07-05 10:03:30,15695.23,3127.98,11947.82,23.9,9616.09,3010.7,1391.45,267.64,2683.52,2048.0,0.0,2048.0
2025-07-05 10:03:31,15695.23,3109.46,11966.34,23.8,9634.61,3010.85,1391.45,267.64,2683.52,2048.0,0.0,2048.0
2025-07-05 10:03:32,15695.23,3099.41,11976.39,23.7,9644.66,3011.03,1391.45,267.64,2683.53,2048.0,0.0,2048.0
2025-07-05 10:03:33,15695.23,3106.64,11969.16,23.7,9637.43,3011.2,1391.45,267.64,2683.52,2048.0,0.0,2048.0
2025-07-05 10:03:34,15695.23,3112.07,11963.72,23.8,9631.98,3011.2,1391.46,267.64,2683.54,2048.0,0.0,2048.0
2025-07-05 10:03:35,15695.23,3106.66,11969.14,23.7,9637.39,3011.22,1391.47,267.64,2683.54,2048.0,0.0,2048.0
2025-07-05 10:03:36,15695.23,3117.68,11958.06,23.8,9626.3,3011.29,1391.47,267.64,2683.61,2048.0,0.0,2048.0
2025-07-05 10:03:37,15695.23,3102.77,11973.41,23.7,9641.2,3016.73,1391.53,267.66,2683.6,2048.0,0.0,2048.0
2025-07-05 10:03:38,15695.23,3178.31,11897.79,24.2,9565.16,3079.75,1391.76,267.67,2684.09,2048.0,0.0,2048.0
2025-07-05 10:03:39,15695.23,3255.25,11820.88,24.7,9488.11,3161.32,1391.88,267.67,2684.21,2048.0,0.0,2048.0
2025-07-05 10:03:40,15695.23,3122.29,11953.46,23.8,9620.69,3018.03,1391.77,267.81,2684.44,2048.0,0.0,2048.0
2025-07-05 10:03:41,15695.23,3105.05,11970.78,23.7,9637.5,3017.83,1392.19,267.83,2684.85,2048.0,0.0,2048.0
2025-07-05 10:03:42,15695.23,3091.96,11983.89,23.6,9650.61,3018.22,1392.19,267.83,2684.84,2048.0,0.0,2048.0
2025-07-05 10:03:43,15695.23,3096.22,11979.25,23.7,9645.97,3018.25,1392.19,267.84,2685.21,2048.0,0.0,2048.0
2025-07-05 10:03:44,15695.23,3083.79,11991.88,23.6,9658.59,3014.16,1392.2,267.84,2685.02,2048.0,0.0,2048.0
2025-07-05 10:03:45,15695.23,3082.26,11993.5,23.6,9660.21,3013.87,1392.2,267.84,2684.92,2048.0,0.0,2048.0
2025-07-05 10:03:46,15695.23,3088.57,11987.19,23.6,9653.91,3013.71,1392.2,267.84,2684.92,2048.0,0.0,2048.0
2025-07-05 10:03:47,15695.23,3085.77,11990.0,23.6,9656.71,3013.6,1392.2,267.84,2684.92,2048.0,0.0,2048.0
2025-07-05 10:03:48,15695.23,3089.95,11985.83,23.6,9652.52,3013.77,1392.2,267.84,2684.92,2048.0,0.0,2048.0
2025-07-05 10:03:49,15695.23,3086.58,11987.18,23.6,9653.88,3014.05,1392.2,267.84,2686.94,2048.0,0.0,2048.0
2025-07-05 10:03:50,15695.23,3072.8,12000.4,23.5,9667.08,3014.31,1392.2,267.84,2687.51,2048.0,0.0,2048.0
2025-07-05 10:03:51,15695.23,3081.24,11992.52,23.6,9659.21,3014.55,1392.2,267.84,2686.94,2048.0,0.0,2048.0
2025-07-05 10:03:52,15695.23,3080.73,11993.13,23.6,9659.8,3014.3,1392.21,267.86,2686.84,2048.0,0.0,2048.0
2025-07-05 10:03:53,15695.23,3084.2,11990.04,23.6,9656.68,3015.29,1392.24,267.86,2686.49,2048.0,0.0,2048.0
2025-07-05 10:03:54,15695.23,3069.36,12013.84,23.5,9680.47,3015.43,1392.25,267.86,2677.54,2048.0,0.0,2048.0
2025-07-05 10:03:55,15695.23,3067.62,12016.08,23.4,9682.72,3015.43,1392.25,267.88,2677.01,2048.0,0.0,2048.0
2025-07-05 10:03:56,15695.23,3071.21,12012.31,23.5,9678.95,3015.46,1392.25,267.88,2677.2,2048.0,0.0,2048.0
2025-07-05 10:03:57,15695.23,3070.6,12013.01,23.5,9679.62,3015.52,1392.27,267.88,2677.13,2048.0,0.0,2048.0
2025-07-05 10:03:58,15695.23,3084.9,11997.77,23.6,9664.38,3015.61,1392.27,267.88,2678.07,2048.0,0.0,2048.0
2025-07-05 10:03:59,15695.23,3085.92,11996.99,23.6,9663.61,3015.94,1392.27,267.88,2677.82,2048.0,0.0,2048.0
2025-07-05 10:04:00,15695.23,3076.55,12005.2,23.5,9671.82,3016.46,1392.27,267.89,2678.97,2048.0,0.0,2048.0
2025-07-05 10:04:01,15695.23,3081.89,11989.43,23.6,9656.05,3016.83,1392.27,267.89,2689.41,2048.0,0.0,2048.0
2025-07-05 10:04:02,15695.23,3078.25,11993.09,23.6,9659.71,3016.62,1392.27,267.89,2689.39,2048.0,0.0,2048.0
2025-07-05 10:04:03,15695.23,3078.54,11993.12,23.6,9659.73,3017.0,1392.27,267.89,2689.07,2048.0,0.0,2048.0
2025-07-05 10:04:04,15695.23,3085.5,11985.86,23.6,9652.48,3016.8,1392.27,267.89,2689.37,2048.0,0.0,2048.0
2025-07-05 10:04:05,15695.23,3073.69,11998.1,23.6,9664.71,3015.86,1392.27,267.89,2688.93,2048.0,0.0,2048.0
2025-07-05 10:04:06,15695.23,3088.31,11983.41,23.6,9650.01,3015.9,1392.29,267.89,2689.02,2048.0,0.0,2048.0
2025-07-05 10:04:07,15695.23,3102.5,11969.3,23.7,9635.89,3015.95,1392.29,267.89,2688.94,2048.0,0.0,2048.0
2025-07-05 10:04:08,15695.23,3118.12,11953.73,23.8,9620.32,3030.07,1392.29,267.89,2688.89,2048.0,0.0,2048.0
2025-07-05 10:04:09,15695.23,3100.55,11970.93,23.7,9637.52,3015.97,1392.29,267.89,2689.27,2048.0,0.0,2048.0
2025-07-05 10:04:10,15695.23,3096.66,11974.62,23.7,9641.21,3016.2,1392.29,267.89,2689.46,2048.0,0.0,2048.0
2025-07-05 10:04:11,15695.23,3090.88,11980.9,23.7,9647.48,3016.29,1392.3,267.9,2688.97,2048.0,0.0,2048.0
2025-07-05 10:04:12,15695.23,3077.62,11994.18,23.6,9660.75,3016.33,1392.3,267.9,2688.95,2048.0,0.0,2048.0
2025-07-05 10:04:13,15695.23,3062.0,12009.79,23.5,9676.37,3016.87,1392.3,267.9,2688.97,2048.0,0.0,2048.0
2025-07-05 10:04:14,15695.23,3062.15,12009.7,23.5,9676.27,3016.89,1392.3,267.9,2688.91,2048.0,0.0,2048.0
2025-07-05 10:04:15,15695.23,3061.58,12010.27,23.5,9676.84,3017.41,1392.3,267.9,2688.91,2048.0,0.0,2048.0
2025-07-05 10:04:16,15695.23,3053.77,12018.32,23.4,9684.9,3017.8,1392.3,267.91,2688.65,2048.0,0.0,2048.0
2025-07-05 10:04:17,15695.23,3055.22,12016.63,23.4,9683.21,3017.57,1392.3,267.91,2688.89,2048.0,0.0,2048.0
2025-07-05 10:04:18,15695.23,3061.86,12010.0,23.5,9676.57,3017.59,1392.3,267.91,2688.89,2048.0,0.0,2048.0
2025-07-05 10:04:19,15695.23,3053.05,12018.48,23.4,9685.07,3017.65,1392.3,267.91,2689.2,2048.0,0.0,2048.0
2025-07-05 10:04:20,15695.23,3059.2,12012.15,23.5,9678.74,3017.67,1392.3,267.91,2689.39,2048.0,0.0,2048.0
2025-07-05 10:04:21,15695.23,3074.92,11996.91,23.6,9663.49,3017.73,1392.31,267.92,2688.9,2048.0,0.0,2048.0
2025-07-05 10:04:22,15695.23,3065.48,12006.24,23.5,9672.81,3017.78,1392.32,267.92,2689.03,2048.0,0.0,2048.0
2025-07-05 10:04:23,15695.23,3060.71,12011.08,23.5,9677.65,3017.81,1392.32,267.92,2688.95,2048.0,0.0,2048.0
2025-07-05 10:04:24,15695.23,3049.88,12021.82,23.4,9688.38,3018.18,1392.32,267.92,2689.05,2048.0,0.0,2048.0
2025-07-05 10:04:25,15695.23,3057.01,12014.27,23.5,9680.84,3018.02,1392.32,267.92,2689.46,2048.0,0.0,2048.0
2025-07-05 10:04:26,15695.23,3064.59,12006.95,23.5,9673.51,3018.04,1392.33,267.93,2689.21,2048.0,0.0,2048.0
2025-07-05 10:04:27,15695.23,3057.21,12014.76,23.4,9681.32,3018.38,1392.33,267.93,2688.78,2048.0,0.0,2048.0
2025-07-05 10:04:28,15695.23,3059.82,12011.88,23.5,9678.43,3018.13,1392.34,267.93,2689.05,2048.0,0.0,2048.0
2025-07-05 10:04:29,15695.23,3074.48,11997.15,23.6,9663.7,3018.17,1392.34,267.93,2689.12,2048.0,0.0,2048.0
2025-07-05 10:04:30,15695.23,3073.5,11997.68,23.6,9664.23,3018.2,1392.34,267.95,2689.56,2048.0,0.0,2048.0
2025-07-05 10:04:31,15695.23,3077.2,11993.96,23.6,9660.52,3018.32,1392.34,267.95,2689.58,2048.0,0.0,2048.0
2025-07-05 10:04:32,15695.23,3075.02,11996.73,23.6,9663.27,3018.27,1392.36,267.95,2689.0,2048.0,0.0,2048.0
2025-07-05 10:04:33,15695.23,3059.64,12012.11,23.5,9678.64,3019.15,1392.36,267.95,2689.0,2048.0,0.0,2048.0
2025-07-05 10:04:34,15695.23,3060.48,12011.28,23.5,9677.81,3019.41,1392.36,267.95,2689.0,2048.0,0.0,2048.0
2025-07-05 10:04:35,15695.23,3067.42,12003.94,23.5,9670.47,3019.42,1392.36,267.96,2689.38,2048.0,0.0,2048.0
2025-07-05 10:04:36,15695.23,3077.52,11993.78,23.6,9660.3,3019.48,1392.37,267.96,2689.45,2048.0,0.0,2048.0
2025-07-05 10:04:37,15695.23,3088.71,11982.75,23.7,9622.28,3022.47,1408.51,284.34,2699.91,2048.0,0.0,2048.0
2025-07-05 10:04:38,15695.23,3092.55,11979.17,23.7,9618.32,3023.05,1408.79,284.34,2700.02,2048.0,0.0,2048.0
2025-07-05 10:04:39,15695.23,3084.31,11987.38,23.6,9626.54,3022.73,1408.79,284.34,2700.05,2048.0,0.0,2048.0
2025-07-05 10:04:40,15695.23,3081.74,11999.28,23.5,9638.4,3023.2,1408.8,284.34,2690.75,2048.0,0.0,2048.0
2025-07-05 10:04:41,15695.23,3083.63,11996.83,23.6,9635.89,3022.91,1408.85,284.34,2691.37,2048.0,0.0,2048.0
2025-07-05 10:04:42,15695.23,3090.76,11990.64,23.6,9629.7,3023.08,1408.85,284.35,2690.43,2048.0,0.0,2048.0
2025-07-05 10:04:43,15695.23,3086.73,11994.8,23.6,9633.86,3023.19,1408.86,284.35,2690.3,2048.0,0.0,2048.0
2025-07-05 10:04:44,15695.23,3086.27,11995.26,23.6,9634.31,3023.2,1408.86,284.35,2690.3,2048.0,0.0,2048.0
2025-07-05 10:04:45,15695.23,3100.03,11981.56,23.7,9620.61,3022.14,1408.86,284.35,2690.25,2048.0,0.0,2048.0
2025-07-05 10:04:46,15695.23,3100.11,11979.77,23.7,9618.82,3022.23,1408.86,284.35,2691.96,2048.0,0.0,2048.0
2025-07-05 10:04:47,15695.23,3100.64,11971.13,23.7,9610.18,3022.78,1408.86,284.36,2700.06,2048.0,0.0,2048.0
2025-07-05 10:04:48,15695.23,3102.5,11969.29,23.7,9608.32,3022.88,1408.87,284.36,2700.06,2048.0,0.0,2048.0
2025-07-05 10:04:49,15695.23,3097.87,11974.23,23.7,9613.27,3018.4,1408.87,284.36,2699.74,2048.0,0.0,2048.0
2025-07-05 10:04:50,15695.23,3092.7,11979.02,23.7,9618.05,3018.7,1408.87,284.36,2700.12,2048.0,0.0,2048.0
2025-07-05 10:04:51,15695.23,3082.61,11989.05,23.6,9628.08,3018.77,1408.87,284.36,2700.19,2048.0,0.0,2048.0
2025-07-05 10:04:52,15695.23,3079.07,11992.58,23.6,9631.61,3018.8,1408.87,284.36,2700.18,2048.0,0.0,2048.0
2025-07-05 10:04:53,15695.23,3077.97,11993.37,23.6,9632.4,3021.66,1408.87,284.36,2700.5,2048.0,0.0,2048.0
2025-07-05 10:04:54,15695.23,3074.07,11997.27,23.6,9636.3,3019.04,1408.87,284.36,2700.5,2048.0,0.0,2048.0
2025-07-05 10:04:55,15695.23,3079.32,11992.34,23.6,9631.37,3019.62,1408.88,284.36,2700.18,2048.0,0.0,2048.0
2025-07-05 10:04:56,15695.23,3061.02,12010.57,23.5,9649.59,3019.51,1408.88,284.36,2700.27,2048.0,0.0,2048.0
2025-07-05 10:04:57,15695.23,3065.74,12009.87,23.5,9648.89,3019.65,1408.89,284.36,2696.25,2048.0,0.0,2048.0
2025-07-05 10:04:58,15695.23,3075.16,12000.5,23.5,9639.52,3019.77,1408.89,284.37,2696.18,2048.0,0.0,2048.0
2025-07-05 10:04:59,15695.23,3071.3,12004.37,23.5,9643.38,3019.85,1408.89,284.37,2696.18,2048.0,0.0,2048.0
2025-07-05 10:05:00,15695.23,3075.15,11996.54,23.6,9635.55,3020.96,1408.89,284.37,2700.17,2048.0,0.0,2048.0
2025-07-05 10:05:01,15695.23,3079.47,11992.2,23.6,9631.21,3020.97,1408.89,284.5,2700.05,2048.0,0.0,2048.0
2025-07-05 10:05:02,15695.23,3074.35,11997.4,23.6,9636.27,3021.13,1409.04,284.5,2700.11,2048.0,0.0,2048.0
2025-07-05 10:05:03,15695.23,3089.32,11982.36,23.7,9621.23,3021.17,1409.04,284.51,2700.18,2048.0,0.0,2048.0
2025-07-05 10:05:04,15695.23,3083.28,11988.43,23.6,9627.29,3022.23,1409.04,284.51,2700.16,2048.0,0.0,2048.0
2025-07-05 10:05:05,15695.23,3092.47,11979.21,23.7,9618.07,3022.29,1409.04,284.51,2700.18,2048.0,0.0,2048.0
2025-07-05 10:05:06,15695.23,3089.77,11981.86,23.7,9620.71,3022.4,1409.05,284.51,2700.24,2048.0,0.0,2048.0
2025-07-05 10:05:07,15695.23,3092.15,11979.93,23.7,9618.78,3022.46,1409.05,284.51,2699.79,2048.0,0.0,2048.0
2025-07-05 10:05:08,15695.23,3083.95,11987.38,23.6,9626.22,3022.53,1409.06,284.52,2700.55,2048.0,0.0,2048.0
2025-07-05 10:05:09,15695.23,3087.3,11984.0,23.6,9622.84,3021.52,1409.06,284.54,2700.56,2048.0,0.0,2048.0
2025-07-05 10:05:10,15695.23,3088.53,11983.14,23.7,9621.95,3022.63,1409.06,284.54,2700.22,2048.0,0.0,2048.0
2025-07-05 10:05:11,15695.23,3101.81,11969.78,23.7,9608.59,3022.5,1409.06,284.55,2700.29,2048.0,0.0,2048.0
2025-07-05 10:05:12,15695.23,3108.37,11962.8,23.8,9601.59,3022.71,1409.08,284.55,2700.73,2048.0,0.0,2048.0
2025-07-05 10:05:13,15695.23,3095.59,11976.47,23.7,9615.25,3022.79,1409.09,284.55,2699.84,2048.0,0.0,2048.0
2025-07-05 10:05:14,15695.23,3109.72,11961.95,23.8,9600.73,3022.87,1409.09,284.55,2700.23,2048.0,0.0,2048.0
2025-07-05 10:05:15,15695.23,3100.73,11970.94,23.7,9609.72,3022.94,1409.09,284.55,2700.23,2048.0,0.0,2048.0
2025-07-05 10:05:16,15695.23,3107.86,11963.83,23.8,9602.6,3022.98,1409.1,284.55,2700.23,2048.0,0.0,2048.0
2025-07-05 10:05:17,15695.23,3106.52,11965.1,23.8,9603.87,3023.27,1409.1,284.56,2700.29,2048.0,0.0,2048.0
2025-07-05 10:05:18,15695.23,3088.06,11983.61,23.6,9622.38,3023.06,1409.1,284.56,2700.23,2048.0,0.0,2048.0
2025-07-05 10:05:19,15695.23,3096.32,11975.37,23.7,9614.13,3023.05,1409.11,284.56,2700.23,2048.0,0.0,2048.0
