timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-05 10:20:37,29.2,13.0,15.6,69.1,2.05,1.15,0.36,0.12,377,845,2
2025-07-05 10:20:38,35.6,15.8,19.6,63.1,1.89,1.53,0.45,0.16,384,935,4
2025-07-05 10:20:39,8.2,2.1,6.0,91.7,2.54,1.53,0.45,0.16,385,943,1
2025-07-05 10:20:40,6.3,5.0,1.2,93.3,1.26,1.53,0.45,0.16,385,957,1
2025-07-05 10:20:41,3.7,2.4,1.2,96.1,0.54,1.53,0.45,0.16,385,957,0
2025-07-05 10:20:42,2.2,1.4,0.7,97.6,1.49,1.53,0.45,0.16,385,977,1
2025-07-05 10:20:43,27.2,16.5,10.4,72.1,2.75,1.97,0.56,0.19,389,1087,2
2025-07-05 10:20:44,2.5,1.9,0.7,97.3,1.52,1.97,0.56,0.19,389,1087,0
2025-07-05 10:20:45,6.5,4.7,1.2,93.7,2.77,1.97,0.56,0.19,389,1087,1
2025-07-05 10:20:46,13.1,11.3,1.9,86.6,2.54,1.97,0.56,0.19,389,1087,1
2025-07-05 10:20:47,13.4,11.4,1.9,86.4,2.6,1.97,0.56,0.19,388,1084,1
2025-07-05 10:20:48,13.3,11.3,2.0,86.4,2.45,1.97,0.59,0.2,388,1084,1
2025-07-05 10:20:49,13.4,11.2,2.0,86.6,3.18,1.97,0.59,0.2,388,1084,1
2025-07-05 10:20:50,13.2,11.2,2.0,86.6,3.44,1.97,0.59,0.2,388,1084,1
2025-07-05 10:20:51,13.2,11.2,2.0,86.6,2.35,1.97,0.59,0.2,388,1084,1
2025-07-05 10:20:52,13.6,11.4,1.9,86.5,3.18,1.97,0.59,0.2,388,1079,2
2025-07-05 10:20:53,3.1,3.3,0.8,95.7,1.79,1.82,0.58,0.2,387,1062,0
2025-07-05 10:20:55,2.4,1.6,0.7,97.5,1.27,1.82,0.58,0.2,387,1063,0
2025-07-05 10:20:56,3.1,2.1,0.9,96.7,3.47,1.82,0.58,0.2,387,1062,0
2025-07-05 10:20:57,2.3,1.6,0.6,97.6,1.71,1.82,0.58,0.2,387,1061,0
2025-07-05 10:20:58,3.0,2.2,0.8,96.8,1.53,1.82,0.58,0.2,387,1061,0
2025-07-05 10:20:59,3.0,2.3,0.7,96.7,2.22,1.75,0.58,0.21,387,1060,0
2025-07-05 10:21:00,3.0,1.9,0.8,97.0,1.51,1.75,0.58,0.21,387,1060,0
2025-07-05 10:21:01,3.6,2.6,0.9,96.2,2.26,1.75,0.58,0.21,389,1070,1
2025-07-05 10:21:02,3.5,2.1,1.0,96.3,3.18,1.75,0.58,0.21,388,1065,1
2025-07-05 10:21:03,9.3,2.4,1.1,90.5,2.04,1.75,0.58,0.21,388,1064,2
2025-07-05 10:21:04,8.9,3.0,1.1,90.8,1.68,1.69,0.59,0.21,387,1068,0
2025-07-05 10:21:05,5.5,4.4,1.1,94.2,2.59,1.69,0.59,0.21,387,1067,0
2025-07-05 10:21:06,4.8,3.8,0.9,95.1,1.82,1.69,0.59,0.21,387,1067,1
2025-07-05 10:21:07,5.0,4.0,0.9,94.7,1.68,1.69,0.59,0.21,387,1067,0
