timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-04 23:53:38,29.2,11.0,17.5,69.1,1.22,1.11,0.28,0.1,371,841,2
2025-07-04 23:53:39,37.1,15.3,21.4,61.8,2.45,2.86,0.66,0.22,379,945,5
2025-07-04 23:53:40,9.4,2.7,5.9,86.0,2.8,2.86,0.66,0.22,379,955,1
2025-07-04 23:53:41,6.3,5.0,1.2,93.3,1.45,2.86,0.66,0.22,378,965,0
2025-07-04 23:53:42,2.9,1.7,1.1,96.3,1.59,2.86,0.66,0.22,378,984,0
2025-07-04 23:53:43,29.4,18.1,10.8,69.8,2.65,2.86,0.66,0.22,382,1147,2
2025-07-04 23:53:44,3.8,2.5,1.0,95.9,2.21,2.64,0.65,0.22,379,1104,0
2025-07-04 23:53:45,2.5,1.8,0.7,97.1,1.71,2.64,0.65,0.22,379,1105,0
2025-07-04 23:53:46,4.5,3.0,1.2,95.3,2.11,2.64,0.65,0.22,379,1104,0
2025-07-04 23:53:47,3.1,2.0,0.7,96.7,2.03,2.64,0.65,0.22,377,1102,0
2025-07-04 23:53:48,2.7,2.0,0.6,97.0,1.1,2.64,0.65,0.22,377,1102,1
2025-07-04 23:53:49,3.0,2.2,0.7,96.8,1.66,2.42,0.64,0.22,376,1097,0
2025-07-04 23:53:50,2.5,1.7,0.7,97.3,1.14,2.42,0.64,0.22,376,1097,0
2025-07-04 23:53:51,2.8,2.0,0.7,96.9,1.8,2.42,0.64,0.22,376,1097,1
2025-07-04 23:53:52,3.3,2.3,0.7,96.6,2.64,2.42,0.64,0.22,376,1097,1
2025-07-04 23:53:53,2.4,1.9,0.6,97.3,1.68,2.42,0.64,0.22,376,1097,0
2025-07-04 23:53:54,3.7,2.7,0.7,96.1,2.11,2.23,0.63,0.21,376,1100,0
2025-07-04 23:53:55,5.3,4.1,0.9,94.4,2.97,2.23,0.63,0.21,376,1100,0
2025-07-04 23:53:56,5.0,3.8,0.9,94.8,2.84,2.23,0.63,0.21,376,1100,0
2025-07-04 23:53:57,5.1,4.0,0.9,94.5,2.83,2.23,0.63,0.21,376,1099,0
2025-07-04 23:53:58,4.9,4.0,0.7,95.0,2.2,2.23,0.63,0.21,376,1098,0
2025-07-04 23:53:59,4.8,3.8,0.8,95.0,2.26,2.05,0.62,0.21,376,1098,1
2025-07-04 23:54:00,4.9,4.0,0.8,94.8,1.0,2.05,0.62,0.21,376,1098,0
2025-07-04 23:54:01,5.1,4.1,1.0,94.5,2.43,2.05,0.62,0.21,376,1098,0
2025-07-04 23:54:02,4.2,3.2,0.8,95.6,1.71,2.05,0.62,0.21,376,1098,1
2025-07-04 23:54:03,4.5,3.5,0.9,95.3,2.86,2.05,0.62,0.21,376,1098,0
2025-07-04 23:54:04,4.7,3.7,0.9,95.1,2.3,1.89,0.61,0.21,377,1098,1
2025-07-04 23:54:06,3.9,3.0,0.9,95.8,1.82,1.89,0.61,0.21,377,1098,2
2025-07-04 23:54:07,4.5,3.5,0.9,95.3,1.56,1.89,0.61,0.21,376,1096,0
2025-07-04 23:54:08,4.6,3.7,0.8,95.2,1.84,1.89,0.61,0.21,376,1096,0
2025-07-04 23:54:09,4.7,3.8,0.9,95.0,2.19,1.89,0.61,0.21,376,1096,0
2025-07-04 23:54:10,4.9,3.8,0.8,95.0,2.27,1.81,0.61,0.22,376,1095,0
2025-07-04 23:54:11,4.5,3.8,0.9,95.1,2.17,1.81,0.61,0.22,376,1095,0
2025-07-04 23:54:12,3.9,3.0,0.8,95.9,1.22,1.81,0.61,0.22,376,1083,4
2025-07-04 23:54:13,4.0,3.2,0.7,95.8,2.17,1.81,0.61,0.22,376,1079,0
2025-07-04 23:54:14,5.1,4.0,0.9,94.7,1.76,1.81,0.61,0.22,376,1079,0
2025-07-04 23:54:15,4.4,3.4,0.9,95.3,2.16,2.15,0.7,0.25,376,1079,2
2025-07-04 23:54:16,4.7,3.8,0.8,95.0,2.27,2.15,0.7,0.25,376,1079,0
2025-07-04 23:54:17,4.4,3.5,0.9,95.4,2.24,2.15,0.7,0.25,375,1076,0
2025-07-04 23:54:18,5.5,4.3,1.2,94.1,2.4,2.15,0.7,0.25,376,1085,0
2025-07-04 23:54:19,5.1,3.2,0.9,94.9,2.29,2.15,0.7,0.25,377,1086,3
2025-07-04 23:54:20,9.7,2.7,1.1,89.9,2.08,2.7,0.84,0.29,377,1085,2
2025-07-04 23:54:21,9.0,3.0,1.4,90.7,1.63,2.7,0.84,0.29,376,1086,0
2025-07-04 23:54:22,4.4,3.3,1.1,95.2,0.73,2.7,0.84,0.29,376,1085,0
2025-07-04 23:54:23,3.5,2.5,0.9,96.2,2.11,2.7,0.84,0.29,376,1085,0
2025-07-04 23:54:24,3.9,2.9,0.9,95.8,1.67,2.64,0.86,0.3,376,1085,0
2025-07-04 23:54:25,3.6,2.7,1.0,96.2,1.42,2.64,0.86,0.3,376,1085,0
2025-07-04 23:54:26,3.7,2.8,0.9,96.1,0.92,2.64,0.86,0.3,376,1085,0
2025-07-04 23:54:27,3.7,2.8,0.9,96.0,2.24,2.64,0.86,0.3,376,1083,0
2025-07-04 23:54:28,3.2,2.4,0.7,96.6,2.0,2.64,0.86,0.3,376,1085,1
2025-07-04 23:54:29,5.2,4.4,0.7,94.5,1.53,2.51,0.86,0.31,376,1085,0
2025-07-04 23:54:30,5.7,4.5,1.0,94.1,1.82,2.51,0.86,0.31,376,1085,2
2025-07-04 23:54:31,4.3,3.6,0.7,95.4,1.63,2.51,0.86,0.31,376,1085,0
2025-07-04 23:54:32,5.4,4.3,0.9,94.4,2.0,2.51,0.86,0.31,376,1085,0
2025-07-04 23:54:33,5.1,4.3,0.8,94.7,2.5,2.51,0.86,0.31,376,1085,0
2025-07-04 23:54:34,4.4,3.7,0.7,95.3,1.15,2.31,0.85,0.31,376,1082,1
2025-07-04 23:54:35,4.8,3.9,0.8,95.0,1.73,2.31,0.85,0.31,376,1082,1
2025-07-04 23:54:36,4.2,3.4,0.7,95.5,1.48,2.31,0.85,0.31,376,1082,1
2025-07-04 23:54:37,4.4,3.5,0.9,95.2,1.8,2.31,0.85,0.31,376,1080,0
2025-07-04 23:54:38,4.2,3.4,0.6,95.6,2.42,2.31,0.85,0.31,376,1080,1
2025-07-04 23:54:39,4.6,3.7,0.9,95.0,3.26,2.12,0.84,0.3,376,1080,0
2025-07-04 23:54:40,4.9,3.8,1.1,94.7,2.3,2.12,0.84,0.3,376,1080,0
2025-07-04 23:54:41,5.3,4.2,1.0,94.5,2.42,2.12,0.84,0.3,376,1080,0
2025-07-04 23:54:42,4.1,3.3,0.8,95.6,1.88,2.12,0.84,0.3,376,1080,1
2025-07-04 23:54:43,4.0,3.3,0.8,95.7,1.51,2.12,0.84,0.3,376,1080,1
2025-07-04 23:54:44,4.5,3.4,0.9,95.4,1.22,2.11,0.85,0.31,376,1080,0
2025-07-04 23:54:45,4.1,3.3,0.7,95.5,2.06,2.11,0.85,0.31,376,1080,1
2025-07-04 23:54:46,4.9,4.1,0.9,94.7,1.82,2.11,0.85,0.31,376,1080,0
2025-07-04 23:54:47,3.9,3.1,0.6,95.9,2.05,2.11,0.85,0.31,376,1080,0
