Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
19:57:44,18.3,0.0,19.2,61.1,1.3,6,187886,25096,36.47,43.05,55.05,51.00,39.05,40.05,20.00,51.00,55.00,43.05,1.49,GHz
19:57:45,8.3,0.4,2.0,88.8,0.5,2,18062,10777,48.20,43.05,53.05,69.00,39.05,40.05,20.00,69.00,53.00,43.05,1.04,GHz
19:57:46,3.8,0.1,1.9,94.1,0.2,1,6051,7636,50.66,43.05,62.05,43.00,39.05,40.05,20.00,43.00,62.00,43.05,0.65,GHz
19:57:47,1.6,0.1,0.9,97.1,0.3,4,18435,5834,39.96,43.05,44.05,58.00,39.05,40.05,20.00,58.00,44.00,43.05,1.24,GHz
19:57:48,19.5,0.1,13.4,66.4,0.6,4,602801,36321,51.02,43.05,57.05,49.00,40.05,40.05,20.00,49.00,57.00,43.05,2.87,GHz
19:57:49,6.7,0.0,2.6,90.0,0.7,2,54234,17291,55.07,43.05,46.05,45.00,40.05,40.05,20.00,45.00,46.00,43.05,1.82,GHz
19:57:50,3.6,0.1,1.3,94.5,0.6,1,19284,10191,40.96,43.05,44.05,44.00,40.05,40.05,20.00,44.00,44.00,43.05,1.77,GHz
19:57:51,4.2,0.0,1.3,94.0,0.5,3,29815,11475,40.96,43.05,44.05,45.00,40.05,40.05,20.00,45.00,44.00,43.05,1.81,GHz
19:57:52,3.5,0.1,1.3,94.7,0.4,3,19094,9441,40.84,43.05,44.05,44.00,40.05,41.05,20.00,44.00,44.00,43.05,1.60,GHz
19:57:53,3.3,0.0,1.1,95.1,0.4,2,18044,9111,30.82,43.05,44.05,44.00,40.05,41.05,20.00,47.00,44.00,43.05,2.38,GHz
19:57:54,3.4,0.1,1.1,95.1,0.4,7,18855,9684,30.55,43.05,44.05,45.00,40.05,41.05,20.00,45.00,44.00,43.05,1.58,GHz
19:57:55,3.4,0.0,1.1,95.1,0.4,1,17909,9045,29.57,43.05,44.05,45.00,41.05,41.05,20.00,45.00,44.00,43.05,2.29,GHz
19:57:56,3.2,0.0,1.1,95.3,0.4,2,17746,8783,29.82,43.05,44.05,46.00,41.05,41.05,20.00,46.00,44.00,43.05,1.90,GHz
19:57:57,3.8,0.1,1.1,94.6,0.4,1,18892,9604,29.76,43.05,45.05,44.00,41.05,41.05,20.00,44.00,45.00,43.05,2.49,GHz
19:57:58,3.4,0.0,1.1,95.1,0.4,1,19088,9642,29.92,43.05,45.05,45.00,41.05,41.05,20.00,45.00,45.00,43.05,2.53,GHz
19:57:59,3.6,0.1,1.3,94.5,0.6,3,19266,9837,29.04,44.05,45.05,51.00,41.05,41.05,20.00,51.00,45.00,43.05,1.63,GHz
19:58:00,5.1,0.0,1.5,92.8,0.6,1,23227,12244,31.92,44.05,46.05,45.00,41.05,41.05,20.00,45.00,46.00,43.05,1.99,GHz
19:58:01,5.1,0.1,1.2,93.1,0.5,5,21868,11280,31.89,44.05,46.05,46.00,41.05,41.05,20.00,46.00,46.00,43.05,1.54,GHz
19:58:02,5.1,0.0,1.5,92.7,0.7,1,23082,11561,31.19,44.05,46.05,45.00,41.05,41.05,20.00,45.00,46.00,43.05,1.77,GHz
19:58:03,5.2,0.1,1.3,92.9,0.6,1,23014,11646,31.52,44.05,46.05,45.00,41.05,41.05,20.00,45.00,46.00,43.05,1.96,GHz
19:58:04,5.3,0.0,1.3,92.8,0.6,4,21963,11600,31.44,44.05,46.05,46.00,41.05,41.05,20.00,46.00,46.00,43.05,1.71,GHz
19:58:05,5.2,0.1,1.5,92.6,0.6,3,22363,11410,31.56,44.05,46.05,45.00,41.05,41.05,20.00,45.00,46.00,43.05,1.45,GHz
19:58:06,4.7,0.0,1.5,93.2,0.6,2,22591,11259,31.56,44.05,46.05,45.00,41.05,41.05,20.00,45.00,46.00,43.05,1.79,GHz
19:58:07,4.2,0.0,1.3,94.1,0.4,1,20808,10867,31.27,44.05,46.05,47.00,42.05,41.05,20.00,47.00,46.00,43.05,2.04,GHz
19:58:08,4.3,0.1,1.2,93.9,0.6,1,21247,11285,31.17,44.05,46.05,45.00,42.05,41.05,20.00,45.00,46.00,43.05,1.38,GHz
19:58:09,4.8,0.0,1.3,93.4,0.5,1,21979,11520,30.36,44.05,46.05,45.00,42.05,41.05,20.00,45.00,46.00,43.05,1.17,GHz
19:58:10,4.5,0.0,1.1,93.9,0.5,2,21088,10297,30.54,44.05,46.05,45.00,42.05,42.05,20.00,45.00,46.00,43.05,1.62,GHz
