timestamp,real_time_factor,iterations
2025-07-05 20:10:07,0.087,14
2025-07-05 20:10:08,0.31,63
2025-07-05 20:10:09,0.444,112
2025-07-05 20:10:10,0.533,161
2025-07-05 20:10:11,0.594,209
2025-07-05 20:10:12,0.642,258
2025-07-05 20:10:13,0.678,306
2025-07-05 20:10:14,0.708,355
2025-07-05 20:10:15,0.733,404
2025-07-05 20:10:16,0.753,453
2025-07-05 20:10:17,0.771,502
2025-07-05 20:10:18,0.784,550
2025-07-05 20:10:19,0.797,599
2025-07-05 20:10:20,0.809,648
2025-07-05 20:10:21,0.818,696
2025-07-05 20:10:22,0.827,745
2025-07-05 20:10:23,0.835,794
2025-07-05 20:10:24,0.842,843
2025-07-05 20:10:25,0.849,892
2025-07-05 20:10:26,0.855,941
2025-07-05 20:10:27,0.859,989
2025-07-05 20:10:28,0.864,1038
2025-07-05 20:10:29,0.869,1087
2025-07-05 20:10:30,0.873,1136
2025-07-05 20:10:31,0.876,1184
2025-07-05 20:10:32,0.88,1233
2025-07-05 20:10:33,0.883,1282
2025-07-05 20:10:34,0.887,1331
2025-07-05 20:10:35,0.89,1380
2025-07-05 20:10:36,0.892,1428
2025-07-05 20:10:37,0.895,1477
2025-07-05 20:10:38,0.897,1526
2025-07-05 20:10:39,0.899,1574
2025-07-05 20:10:40,0.901,1623
2025-07-05 20:10:41,0.903,1672
2025-07-05 20:10:42,0.905,1721
2025-07-05 20:10:43,0.907,1770
2025-07-05 20:10:44,0.908,1818
2025-07-05 20:10:45,0.91,1867
2025-07-05 20:10:46,0.912,1916
2025-07-05 20:10:47,0.913,1964
2025-07-05 20:10:48,0.915,2013
2025-07-05 20:10:49,0.916,2061
2025-07-05 20:10:50,0.917,2110
2025-07-05 20:10:51,0.918,2159
2025-07-05 20:10:52,0.92,2208
2025-07-05 20:10:53,0.921,2257
2025-07-05 20:10:54,0.922,2306
2025-07-05 20:10:55,0.923,2355
2025-07-05 20:10:56,0.924,2404
2025-07-05 20:10:57,0.925,2452
2025-07-05 20:10:58,0.926,2501
2025-07-05 20:10:59,0.927,2550
2025-07-05 20:11:00,0.928,2599
2025-07-05 20:11:01,0.929,2648
2025-07-05 20:11:02,0.93,2697
2025-07-05 20:11:03,0.931,2746
2025-07-05 20:11:04,0.931,2795
2025-07-05 20:11:05,0.932,2843
2025-07-05 20:11:06,0.933,2892
2025-07-05 20:11:07,0.933,2941
2025-07-05 20:11:08,0.934,2990
2025-07-05 20:11:09,0.934,3038
2025-07-05 20:11:10,0.935,3087
2025-07-05 20:11:11,0.936,3136
2025-07-05 20:11:12,0.936,3185
2025-07-05 20:11:13,0.937,3234
2025-07-05 20:11:14,0.938,3283
2025-07-05 20:11:15,0.938,3331
2025-07-05 20:11:16,0.939,3380
2025-07-05 20:11:17,0.939,3429
2025-07-05 20:11:18,0.94,3478
2025-07-05 20:11:19,0.94,3526
2025-07-05 20:11:20,0.941,3575
2025-07-05 20:11:21,0.941,3624
2025-07-05 20:11:22,0.942,3673
2025-07-05 20:11:23,0.942,3722
2025-07-05 20:11:24,0.942,3771
2025-07-05 20:11:25,0.943,3819
2025-07-05 20:11:26,0.943,3868
2025-07-05 20:11:27,0.944,3917
2025-07-05 20:11:28,0.944,3966
2025-07-05 20:11:29,0.944,4014
2025-07-05 20:11:30,0.944,4062
2025-07-05 20:11:31,0.945,4111
2025-07-05 20:11:32,0.945,4160
2025-07-05 20:11:33,0.946,4209
2025-07-05 20:11:34,0.946,4258
2025-07-05 20:11:35,0.946,4306
2025-07-05 20:11:36,0.947,4355
2025-07-05 20:11:37,0.947,4404
2025-07-05 20:11:38,0.947,4453
2025-07-05 20:11:39,0.948,4502
2025-07-05 20:11:40,0.948,4551
2025-07-05 20:11:41,0.948,4600
2025-07-05 20:11:42,0.948,4648
2025-07-05 20:11:43,0.949,4697
2025-07-05 20:11:44,0.949,4745
2025-07-05 20:11:45,0.949,4794
2025-07-05 20:11:46,0.949,4843
2025-07-05 20:11:47,0.95,4892
2025-07-05 20:11:48,0.95,4941
2025-07-05 20:11:49,0.95,4990
2025-07-05 20:11:50,0.951,5039
2025-07-05 20:11:51,0.951,5087
2025-07-05 20:11:52,0.951,5136
2025-07-05 20:11:53,0.951,5185
2025-07-05 20:11:54,0.951,5234
2025-07-05 20:11:55,0.952,5282
2025-07-05 20:11:56,0.952,5331
2025-07-05 20:11:57,0.952,5380
2025-07-05 20:11:58,0.952,5429
2025-07-05 20:11:59,0.952,5477
2025-07-05 20:12:00,0.953,5526
2025-07-05 20:12:01,0.953,5575
2025-07-05 20:12:02,0.953,5624
2025-07-05 20:12:03,0.953,5673
2025-07-05 20:12:04,0.953,5722
2025-07-05 20:12:05,0.954,5770
2025-07-05 20:12:06,0.954,5819
2025-07-05 20:12:07,0.954,5868
2025-07-05 20:12:08,0.954,5917
2025-07-05 20:12:09,0.954,5965
2025-07-05 20:12:10,0.954,6014
2025-07-05 20:12:11,0.955,6063
2025-07-05 20:12:12,0.955,6112
2025-07-05 20:12:13,0.955,6160
2025-07-05 20:12:14,0.955,6209
2025-07-05 20:12:15,0.955,6258
2025-07-05 20:12:16,0.955,6307
2025-07-05 20:12:17,0.955,6355
2025-07-05 20:12:18,0.956,6404
2025-07-05 20:12:19,0.956,6453
2025-07-05 20:12:20,0.956,6502
2025-07-05 20:12:21,0.956,6550
