timestamp,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks
2025-07-05 20:37:35,22.3,7.8,15.1,76.2,1.98,0.84,0.24,0.08,383,877,2
2025-07-05 20:37:36,2.8,0.1,2.7,97.2,0.84,0.84,0.24,0.08,383,877,3
2025-07-05 20:37:37,5.6,0.3,5.3,94.3,2.15,0.84,0.24,0.08,381,874,0
2025-07-05 20:37:38,0.4,0.1,0.2,99.6,0.58,0.84,0.24,0.08,379,872,0
2025-07-05 20:37:39,0.3,0.1,0.2,99.8,0.41,0.78,0.24,0.08,379,872,0
2025-07-05 20:37:40,0.2,0.1,0.2,99.8,0.61,0.78,0.24,0.08,379,872,0
2025-07-05 20:37:41,0.3,0.1,0.2,99.6,0.53,0.78,0.24,0.08,379,872,0
2025-07-05 20:37:42,0.2,0.1,0.1,99.8,0.54,0.78,0.24,0.08,379,872,0
2025-07-05 20:37:43,0.2,0.1,0.2,99.7,0.4,0.78,0.24,0.08,379,870,0
2025-07-05 20:37:44,0.4,0.1,0.2,99.6,0.51,0.71,0.24,0.08,379,870,0
2025-07-05 20:37:45,0.3,0.1,0.1,99.8,0.51,0.71,0.24,0.08,379,870,0
2025-07-05 20:37:46,0.2,0.1,0.2,99.8,0.48,0.71,0.24,0.08,380,874,0
2025-07-05 20:37:47,0.4,0.1,0.2,99.6,0.4,0.71,0.24,0.08,381,875,0
2025-07-05 20:37:48,0.2,0.1,0.1,99.8,0.4,0.71,0.24,0.08,381,875,0
2025-07-05 20:37:49,0.2,0.1,0.1,99.8,0.45,0.66,0.23,0.08,381,875,0
2025-07-05 20:37:50,0.4,0.1,0.2,99.7,0.4,0.66,0.23,0.08,381,875,0
2025-07-05 20:37:51,0.2,0.1,0.2,99.7,0.45,0.66,0.23,0.08,380,874,0
2025-07-05 20:37:52,0.2,0.1,0.1,99.8,0.4,0.66,0.23,0.08,380,874,0
2025-07-05 20:37:53,0.2,0.1,0.1,99.8,0.4,0.66,0.23,0.08,380,874,0
2025-07-05 20:37:54,0.2,0.1,0.2,99.8,0.4,0.6,0.23,0.08,380,874,0
2025-07-05 20:37:55,0.2,0.1,0.1,99.8,0.95,0.6,0.23,0.08,380,874,0
2025-07-05 20:37:56,0.3,0.1,0.2,99.6,0.4,0.6,0.23,0.08,379,870,0
2025-07-05 20:37:57,0.2,0.1,0.1,99.8,0.68,0.6,0.23,0.08,379,870,0
2025-07-05 20:37:58,0.2,0.1,0.1,99.8,0.61,0.6,0.23,0.08,380,872,0
2025-07-05 20:37:59,0.2,0.1,0.2,99.7,0.4,0.55,0.22,0.08,379,869,0
2025-07-05 20:38:00,0.2,0.1,0.2,99.7,0.42,0.55,0.22,0.08,379,869,0
2025-07-05 20:38:01,0.4,0.1,0.2,99.7,0.41,0.55,0.22,0.08,379,869,0
2025-07-05 20:38:02,0.2,0.1,0.1,99.8,0.44,0.55,0.22,0.08,379,869,0
2025-07-05 20:38:03,0.2,0.1,0.2,99.7,0.4,0.55,0.22,0.08,379,869,0
2025-07-05 20:38:04,0.4,0.1,0.1,99.8,0.53,0.51,0.22,0.08,379,869,0
2025-07-05 20:38:05,0.2,0.1,0.2,99.8,0.4,0.51,0.22,0.08,379,869,0
2025-07-05 20:38:06,0.2,0.1,0.2,99.7,0.64,0.51,0.22,0.08,379,869,0
2025-07-05 20:38:07,1.2,0.7,0.3,98.9,0.56,0.51,0.22,0.08,379,873,0
2025-07-05 20:38:08,4.4,0.1,0.6,95.5,0.88,0.51,0.22,0.08,380,875,1
2025-07-05 20:38:09,6.6,0.1,0.5,93.4,0.89,0.55,0.23,0.09,380,875,1
2025-07-05 20:38:10,0.9,0.2,0.2,99.1,0.52,0.55,0.23,0.09,379,875,0
2025-07-05 20:38:11,0.9,0.6,0.3,99.1,0.58,0.55,0.23,0.09,379,875,0
2025-07-05 20:38:12,0.3,0.1,0.2,99.6,0.44,0.55,0.23,0.09,379,875,0
2025-07-05 20:38:13,0.2,0.1,0.2,99.8,0.4,0.55,0.23,0.09,379,875,0
2025-07-05 20:38:14,0.2,0.1,0.2,99.8,0.59,0.51,0.23,0.09,379,875,0
