timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 19:29:19,17,15,6141,590.01,43
2025-07-05 19:29:22,0,15,6141,12.01,43
2025-07-05 19:29:23,0,15,6141,12.00,43
2025-07-05 19:29:24,0,15,6141,11.92,43
2025-07-05 19:29:25,0,15,6141,11.91,43
2025-07-05 19:29:26,0,15,6141,11.92,43
2025-07-05 19:29:27,0,15,6141,11.90,43
2025-07-05 19:29:28,0,15,6141,11.91,43
2025-07-05 19:29:29,0,15,6141,11.89,43
2025-07-05 19:29:30,0,15,6141,11.88,43
2025-07-05 19:29:31,0,15,6141,11.86,43
2025-07-05 19:29:32,0,15,6141,11.86,43
2025-07-05 19:29:33,0,15,6141,3.33,42
2025-07-05 19:29:34,0,15,6141,2.78,42
2025-07-05 19:29:35,0,15,6141,2.02,42
2025-07-05 19:29:36,0,15,6141,1.82,42
2025-07-05 19:29:37,0,15,6141,1.82,42
2025-07-05 19:29:38,0,15,6141,1.82,42
2025-07-05 19:29:39,0,15,6141,1.82,42
2025-07-05 19:29:40,0,15,6141,1.82,42
2025-07-05 19:29:41,0,15,6141,1.82,42
2025-07-05 19:29:42,0,15,6141,1.81,42
2025-07-05 19:29:43,0,15,6141,1.83,42
2025-07-05 19:29:44,0,15,6141,1.84,41
2025-07-05 19:29:45,0,15,6141,1.83,41
2025-07-05 19:29:46,0,15,6141,1.84,41
2025-07-05 19:29:47,0,15,6141,1.85,41
2025-07-05 19:29:48,0,15,6141,1.83,41
2025-07-05 19:29:49,0,15,6141,1.84,41
2025-07-05 19:29:51,0,15,6141,1.84,42
2025-07-05 19:29:52,0,15,6141,1.81,41
2025-07-05 19:29:53,0,15,6141,1.80,41
2025-07-05 19:29:54,0,15,6141,1.82,41
2025-07-05 19:29:55,0,15,6141,1.80,41
2025-07-05 19:29:56,0,15,6141,1.80,41
2025-07-05 19:29:57,0,15,6141,1.81,41
2025-07-05 19:29:58,0,15,6141,1.81,41
2025-07-05 19:29:59,0,15,6141,1.80,41
2025-07-05 19:30:00,0,15,6141,1.79,41
2025-07-05 19:30:01,0,15,6141,1.81,41
2025-07-05 19:30:02,0,15,6141,1.83,41
2025-07-05 19:30:03,0,15,6141,1.83,41
2025-07-05 19:30:04,0,15,6141,1.80,41
2025-07-05 19:30:05,0,15,6141,1.77,41
2025-07-05 19:30:06,0,15,6141,1.76,41
2025-07-05 19:30:07,0,15,6141,1.78,41
2025-07-05 19:30:08,0,15,6141,1.81,41
2025-07-05 19:30:09,0,15,6141,1.81,41
2025-07-05 19:30:10,0,15,6141,1.81,41
2025-07-05 19:30:11,0,15,6141,1.79,40
2025-07-05 19:30:12,0,15,6141,1.78,40
2025-07-05 19:30:13,0,15,6141,1.79,40
2025-07-05 19:30:14,0,15,6141,1.80,40
2025-07-05 19:30:15,0,15,6141,1.81,40
2025-07-05 19:30:16,0,15,6141,1.81,40
2025-07-05 19:30:17,0,15,6141,1.81,40
2025-07-05 19:30:18,0,15,6141,1.81,40
2025-07-05 19:30:19,0,15,6141,1.80,40
2025-07-05 19:30:20,0,15,6141,1.81,40
2025-07-05 19:30:21,0,15,6141,1.84,40
2025-07-05 19:30:22,0,15,6141,1.86,40
2025-07-05 19:30:23,0,15,6141,1.84,40
2025-07-05 19:30:24,0,15,6141,1.83,40
2025-07-05 19:30:25,0,15,6141,1.82,40
2025-07-05 19:30:26,0,15,6141,1.79,40
2025-07-05 19:30:27,0,15,6141,1.79,40
2025-07-05 19:30:28,0,15,6141,1.82,40
2025-07-05 19:30:29,0,15,6141,1.80,40
2025-07-05 19:30:30,0,15,6141,1.77,40
2025-07-05 19:30:31,0,15,6141,1.78,40
2025-07-05 19:30:32,0,15,6141,1.81,40
2025-07-05 19:30:33,0,15,6141,1.84,40
2025-07-05 19:30:34,0,15,6141,1.84,40
2025-07-05 19:30:35,0,15,6141,1.83,40
2025-07-05 19:30:37,0,15,6141,1.84,40
2025-07-05 19:30:38,0,15,6141,1.84,40
2025-07-05 19:30:39,0,15,6141,1.82,40
2025-07-05 19:30:40,0,15,6141,1.79,40
2025-07-05 19:30:41,0,15,6141,1.78,40
2025-07-05 19:30:42,0,15,6141,1.79,40
2025-07-05 19:30:43,0,15,6141,1.81,39
2025-07-05 19:30:44,0,15,6141,1.82,39
2025-07-05 19:30:45,0,15,6141,1.83,39
2025-07-05 19:30:46,0,15,6141,1.83,39
2025-07-05 19:30:47,0,15,6141,1.84,39
2025-07-05 19:30:48,0,15,6141,1.86,39
2025-07-05 19:30:49,0,15,6141,1.85,39
2025-07-05 19:30:50,0,15,6141,1.85,39
2025-07-05 19:30:51,0,15,6141,1.85,39
2025-07-05 19:30:52,0,15,6141,1.84,39
2025-07-05 19:30:53,0,15,6141,1.82,39
2025-07-05 19:30:54,0,15,6141,1.81,39
2025-07-05 19:30:55,0,15,6141,1.81,39
2025-07-05 19:30:56,0,15,6141,1.81,39
2025-07-05 19:30:57,0,15,6141,1.83,39
2025-07-05 19:30:58,0,15,6141,1.83,39
2025-07-05 19:30:59,0,15,6141,1.83,39
2025-07-05 19:31:00,0,15,6141,1.83,39
2025-07-05 19:31:01,0,15,6141,1.85,39
2025-07-05 19:31:02,0,15,6141,1.85,39
2025-07-05 19:31:03,0,15,6141,1.85,39
2025-07-05 19:31:04,0,15,6141,1.86,39
2025-07-05 19:31:05,0,15,6141,1.86,39
2025-07-05 19:31:06,0,15,6141,1.85,39
2025-07-05 19:31:07,0,15,6141,1.87,39
2025-07-05 19:31:08,0,15,6141,1.90,39
2025-07-05 19:31:09,0,15,6141,1.90,39
2025-07-05 19:31:10,0,15,6141,1.88,39
2025-07-05 19:31:11,0,15,6141,1.86,39
2025-07-05 19:31:12,0,15,6141,1.87,39
2025-07-05 19:31:13,0,15,6141,1.87,39
2025-07-05 19:31:14,0,15,6141,1.88,39
2025-07-05 19:31:15,0,15,6141,1.90,39
2025-07-05 19:31:16,0,15,6141,1.89,39
2025-07-05 19:31:17,0,15,6141,1.86,39
2025-07-05 19:31:18,0,15,6141,1.85,39
2025-07-05 19:31:19,0,15,6141,1.86,39
2025-07-05 19:31:20,0,15,6141,1.88,39
2025-07-05 19:31:22,0,15,6141,1.87,39
2025-07-05 19:31:23,0,15,6141,1.86,39
2025-07-05 19:31:24,0,15,6141,1.85,39
2025-07-05 19:31:25,0,15,6141,1.85,39
2025-07-05 19:31:26,0,15,6141,1.86,39
2025-07-05 19:31:27,0,15,6141,1.86,39
2025-07-05 19:31:28,0,15,6141,1.87,39
2025-07-05 19:31:29,0,15,6141,1.89,39
2025-07-05 19:31:30,0,15,6141,1.88,39
2025-07-05 19:31:31,0,15,6141,1.84,39
2025-07-05 19:31:32,0,15,6141,1.81,39
2025-07-05 19:31:33,0,15,6141,1.80,39
2025-07-05 19:31:34,0,15,6141,1.83,39
2025-07-05 19:31:35,0,15,6141,1.83,39
2025-07-05 19:31:36,0,15,6141,1.80,39
2025-07-05 19:31:37,0,15,6141,1.80,39
2025-07-05 19:31:38,0,15,6141,1.83,39
2025-07-05 19:31:39,0,15,6141,1.85,39
2025-07-05 19:31:40,0,15,6141,1.86,39
2025-07-05 19:31:41,0,15,6141,1.86,39
2025-07-05 19:31:42,0,15,6141,1.86,39
2025-07-05 19:31:43,0,15,6141,1.86,39
2025-07-05 19:31:44,0,15,6141,1.88,38
2025-07-05 19:31:45,0,15,6141,1.88,38
2025-07-05 19:31:46,0,15,6141,1.91,38
2025-07-05 19:31:47,0,15,6141,1.94,38
2025-07-05 19:31:48,0,15,6141,1.92,38
2025-07-05 19:31:49,0,15,6141,1.93,38
2025-07-05 19:31:50,0,15,6141,1.92,38
2025-07-05 19:31:51,0,15,6141,1.92,38
2025-07-05 19:31:52,0,15,6141,1.91,38
2025-07-05 19:31:53,0,15,6141,1.90,38
2025-07-05 19:31:54,0,15,6141,1.89,38
2025-07-05 19:31:55,0,15,6141,1.86,38
2025-07-05 19:31:56,0,15,6141,1.88,38
2025-07-05 19:31:57,0,15,6141,1.90,38
2025-07-05 19:31:58,0,15,6141,1.89,38
2025-07-05 19:31:59,0,15,6141,1.88,38
2025-07-05 19:32:00,0,15,6141,1.86,38
2025-07-05 19:32:01,0,15,6141,1.86,38
2025-07-05 19:32:02,0,15,6141,1.89,38
2025-07-05 19:32:03,0,15,6141,1.88,38
2025-07-05 19:32:04,0,15,6141,1.88,38
2025-07-05 19:32:05,0,15,6141,1.88,38
2025-07-05 19:32:07,0,15,6141,1.87,38
2025-07-05 19:32:08,0,15,6141,1.86,38
2025-07-05 19:32:09,0,15,6141,1.88,38
2025-07-05 19:32:10,0,15,6141,1.86,38
2025-07-05 19:32:11,0,15,6141,1.88,38
