Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
19:32:20,18.0,0.0,19.9,60.7,1.4,5,185213,18876,33.65,43.05,56.05,56.00,39.05,40.05,20.00,56.00,56.00,43.05,1.98,GHz
19:32:21,7.8,0.4,2.1,89.2,0.4,2,16457,7873,39.68,43.05,59.05,66.00,40.05,40.05,20.00,66.00,59.00,43.05,1.31,GHz
19:32:22,3.2,0.0,1.5,92.9,2.4,1,5442,3281,37.57,43.05,56.05,45.00,40.05,40.05,20.00,45.00,56.00,43.05,0.74,GHz
19:32:23,1.3,0.2,0.7,97.6,0.2,2,11430,3885,20.31,43.05,44.05,67.00,40.05,40.05,20.00,67.00,44.00,43.05,1.44,GHz
19:32:24,20.4,0.0,12.2,66.2,1.2,2,749847,35468,37.68,43.05,55.05,47.00,40.05,40.05,20.00,47.00,55.00,43.05,2.06,GHz
19:32:25,10.8,0.1,2.8,85.3,0.9,1,67633,17055,36.86,43.05,45.05,45.00,40.05,40.05,20.00,45.00,45.00,43.05,1.21,GHz
19:32:26,3.8,0.0,1.4,93.9,0.9,4,17333,8119,27.73,43.05,45.05,45.00,40.05,40.05,20.00,45.00,45.00,43.05,2.55,GHz
19:32:27,6.0,0.1,1.5,91.7,0.8,8,31245,11177,29.72,43.05,45.05,45.00,40.05,40.05,20.00,45.00,45.00,43.05,2.03,GHz
19:32:28,4.2,0.0,1.1,93.6,1.0,2,17982,7960,27.85,43.05,45.05,46.00,40.05,40.05,20.00,46.00,45.00,43.05,1.49,GHz
19:32:29,4.5,0.1,1.1,93.4,1.0,1,17407,7683,27.69,43.05,45.05,45.00,40.05,40.05,20.00,45.00,45.00,43.05,2.23,GHz
19:32:30,4.6,0.0,1.1,93.2,1.0,1,17795,8318,27.69,43.05,45.05,45.00,40.05,40.05,20.00,45.00,45.00,43.05,1.46,GHz
19:32:31,4.4,0.1,1.1,93.3,1.1,1,17334,7793,27.65,43.05,45.05,46.00,40.05,40.05,20.00,46.00,45.00,43.05,1.67,GHz
