Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
23:00:04,16.8,0.1,20.2,61.7,1.1,3,179399,18699,36.77,41.05,54.05,70.00,37.05,38.05,20.00,70.00,54.00,41.05,1.53,GHz
23:00:05,6.1,0.3,1.8,91.4,0.4,2,11929,6204,54.54,41.05,65.05,58.00,37.05,38.05,20.00,58.00,65.00,41.05,1.36,GHz
23:00:06,2.8,0.1,1.3,95.7,0.1,1,5841,6106,50.11,41.05,65.05,41.00,37.05,38.05,20.00,41.00,65.00,41.05,0.52,GHz
23:00:07,1.4,0.2,0.8,97.4,0.3,6,14304,4377,35.91,41.05,44.05,56.00,38.05,38.05,20.00,56.00,44.00,41.05,2.95,GHz
23:00:08,10.6,0.0,7.7,81.3,0.4,27,569071,16659,51.04,41.05,56.05,51.00,38.05,38.05,20.00,51.00,56.00,41.05,2.28,GHz
23:00:09,15.5,0.1,6.3,77.6,0.6,1,155099,32375,53.95,41.05,44.05,42.00,38.05,38.05,20.00,42.00,44.00,41.05,1.11,GHz
23:00:10,2.3,0.0,0.8,96.5,0.4,1,14811,6491,36.65,41.05,42.05,42.00,38.05,39.05,20.00,42.00,42.00,41.05,0.83,GHz
23:00:11,2.5,0.0,1.2,95.9,0.4,1,17094,7510,36.60,41.05,42.05,41.00,38.05,39.05,20.00,41.00,42.00,41.05,1.22,GHz
23:00:12,3.0,0.1,1.1,95.5,0.3,1,26183,8426,38.14,41.05,42.05,42.00,38.05,39.05,20.00,42.00,42.00,41.05,1.26,GHz
23:00:13,2.3,0.0,0.8,96.6,0.3,1,15486,6167,28.90,41.05,42.05,43.00,38.05,39.05,20.00,43.00,42.00,41.05,0.99,GHz
23:00:14,2.9,0.0,0.9,95.9,0.3,1,15749,6341,26.41,41.05,42.05,42.00,38.05,39.05,20.00,42.00,42.00,41.05,1.13,GHz
23:00:15,2.9,0.1,0.8,95.9,0.3,1,15477,6175,26.62,41.05,42.05,42.00,39.05,39.05,20.00,42.00,42.00,41.05,0.77,GHz
23:00:16,2.6,0.0,0.9,96.2,0.4,1,16521,7113,26.29,41.05,42.05,44.00,39.05,39.05,20.00,44.00,42.00,41.05,1.48,GHz
23:00:17,2.6,0.0,0.9,96.2,0.3,1,16076,6678,26.89,41.05,43.05,43.00,39.05,39.05,20.00,43.00,43.00,41.05,1.07,GHz
23:00:18,2.5,0.1,0.9,96.2,0.4,1,16211,6715,26.52,41.05,43.05,44.00,39.05,39.05,20.00,44.00,43.00,41.05,1.43,GHz
23:00:19,3.1,0.0,1.0,95.6,0.3,2,17091,7384,26.18,42.05,43.05,42.00,39.05,39.05,20.00,42.00,43.00,41.05,1.38,GHz
23:00:20,4.4,0.0,1.0,94.3,0.3,1,19525,8121,28.65,42.05,43.05,44.00,39.05,39.05,20.00,44.00,43.00,41.05,1.17,GHz
23:00:21,4.5,0.1,1.0,94.0,0.4,1,20761,8599,29.55,42.05,44.05,45.00,39.05,39.05,20.00,45.00,44.00,41.05,2.49,GHz
