timestamp,real_time_factor,iterations
2025-07-05 23:35:31,0.153,24
2025-07-05 23:35:32,0.36,73
2025-07-05 23:35:33,0.484,122
2025-07-05 23:35:34,0.567,171
2025-07-05 23:35:35,0.623,219
2025-07-05 23:35:36,0.665,267
2025-07-05 23:35:37,0.7,316
2025-07-05 23:35:38,0.726,364
2025-07-05 23:35:39,0.749,413
2025-07-05 23:35:40,0.767,461
2025-07-05 23:35:41,0.783,510
2025-07-05 23:35:42,0.797,559
2025-07-05 23:35:43,0.808,607
2025-07-05 23:35:44,0.817,655
2025-07-05 23:35:45,0.827,704
2025-07-05 23:35:46,0.836,753
2025-07-05 23:35:47,0.843,802
2025-07-05 23:35:48,0.849,850
2025-07-05 23:35:49,0.855,899
2025-07-05 23:35:50,0.861,948
2025-07-05 23:35:51,0.866,997
2025-07-05 23:35:52,0.871,1046
2025-07-05 23:35:53,0.874,1094
2025-07-05 23:35:54,0.878,1143
2025-07-05 23:35:55,0.882,1192
2025-07-05 23:35:56,0.886,1241
2025-07-05 23:35:57,0.888,1289
2025-07-05 23:35:58,0.891,1338
2025-07-05 23:35:59,0.894,1387
2025-07-05 23:36:00,0.896,1435
2025-07-05 23:36:01,0.899,1484
2025-07-05 23:36:02,0.901,1533
2025-07-05 23:36:03,0.903,1582
2025-07-05 23:36:04,0.906,1631
2025-07-05 23:36:05,0.908,1680
2025-07-05 23:36:06,0.909,1729
2025-07-05 23:36:07,0.911,1777
2025-07-05 23:36:08,0.912,1826
2025-07-05 23:36:09,0.914,1875
2025-07-05 23:36:10,0.915,1923
2025-07-05 23:36:11,0.917,1972
2025-07-05 23:36:12,0.918,2021
2025-07-05 23:36:13,0.919,2069
2025-07-05 23:36:14,0.92,2118
2025-07-05 23:36:15,0.921,2166
2025-07-05 23:36:16,0.922,2215
2025-07-05 23:36:17,0.924,2264
2025-07-05 23:36:18,0.925,2313
2025-07-05 23:36:19,0.925,2361
2025-07-05 23:36:20,0.927,2410
2025-07-05 23:36:21,0.928,2459
2025-07-05 23:36:22,0.929,2508
2025-07-05 23:36:23,0.929,2557
2025-07-05 23:36:24,0.93,2605
2025-07-05 23:36:25,0.931,2654
2025-07-05 23:36:26,0.932,2703
2025-07-05 23:36:27,0.933,2752
2025-07-05 23:36:28,0.933,2801
2025-07-05 23:36:29,0.934,2850
2025-07-05 23:36:30,0.935,2898
2025-07-05 23:36:31,0.935,2946
2025-07-05 23:36:32,0.936,2995
2025-07-05 23:36:33,0.936,3044
2025-07-05 23:36:34,0.937,3093
2025-07-05 23:36:35,0.937,3141
2025-07-05 23:36:36,0.938,3190
2025-07-05 23:36:37,0.939,3239
2025-07-05 23:36:38,0.939,3287
2025-07-05 23:36:39,0.939,3336
2025-07-05 23:36:40,0.94,3385
2025-07-05 23:36:41,0.941,3434
2025-07-05 23:36:42,0.941,3483
2025-07-05 23:36:43,0.941,3531
2025-07-05 23:36:44,0.942,3580
2025-07-05 23:36:45,0.942,3629
2025-07-05 23:36:46,0.943,3677
2025-07-05 23:36:47,0.943,3726
2025-07-05 23:36:48,0.943,3775
2025-07-05 23:36:49,0.944,3824
2025-07-05 23:36:50,0.944,3872
2025-07-05 23:36:51,0.945,3921
2025-07-05 23:36:52,0.945,3970
2025-07-05 23:36:53,0.945,4019
2025-07-05 23:36:54,0.946,4067
2025-07-05 23:36:55,0.946,4116
2025-07-05 23:36:56,0.946,4165
2025-07-05 23:36:57,0.947,4214
2025-07-05 23:36:58,0.947,4262
2025-07-05 23:36:59,0.947,4310
2025-07-05 23:37:00,0.947,4359
2025-07-05 23:37:01,0.948,4408
2025-07-05 23:37:02,0.948,4456
2025-07-05 23:37:03,0.948,4505
2025-07-05 23:37:04,0.948,4553
2025-07-05 23:37:05,0.949,4602
2025-07-05 23:37:06,0.949,4651
2025-07-05 23:37:07,0.949,4699
2025-07-05 23:37:08,0.95,4749
2025-07-05 23:37:09,0.95,4797
2025-07-05 23:37:10,0.95,4846
2025-07-05 23:37:11,0.95,4895
2025-07-05 23:37:12,0.95,4943
2025-07-05 23:37:13,0.951,4992
2025-07-05 23:37:14,0.951,5041
2025-07-05 23:37:15,0.951,5089
2025-07-05 23:37:16,0.951,5138
2025-07-05 23:37:17,0.952,5187
2025-07-05 23:37:18,0.952,5236
2025-07-05 23:37:19,0.952,5285
2025-07-05 23:37:20,0.952,5334
2025-07-05 23:37:21,0.952,5382
2025-07-05 23:37:22,0.953,5431
2025-07-05 23:37:23,0.953,5480
2025-07-05 23:37:24,0.953,5529
2025-07-05 23:37:25,0.953,5578
2025-07-05 23:37:26,0.954,5627
2025-07-05 23:37:27,0.954,5676
2025-07-05 23:37:28,0.954,5725
2025-07-05 23:37:29,0.954,5773
2025-07-05 23:37:30,0.954,5822
2025-07-05 23:37:31,0.954,5871
2025-07-05 23:37:32,0.955,5920
2025-07-05 23:37:33,0.955,5969
2025-07-05 23:37:34,0.955,6017
2025-07-05 23:37:35,0.955,6066
2025-07-05 23:37:36,0.955,6115
2025-07-05 23:37:37,0.955,6163
2025-07-05 23:37:38,0.956,6212
2025-07-05 23:37:39,0.956,6261
2025-07-05 23:37:40,0.956,6309
2025-07-05 23:37:41,0.956,6358
2025-07-05 23:37:42,0.956,6406
2025-07-05 23:37:43,0.956,6455
2025-07-05 23:37:44,0.956,6504
2025-07-05 23:37:45,0.956,6552
2025-07-05 23:37:46,0.957,6601
2025-07-05 23:37:47,0.957,6650
2025-07-05 23:37:48,0.957,6699
2025-07-05 23:37:49,0.957,6748
2025-07-05 23:37:50,0.957,6796
2025-07-05 23:37:51,0.957,6845
2025-07-05 23:37:52,0.957,6893
2025-07-05 23:37:53,0.958,6943
2025-07-05 23:37:54,0.958,6991
2025-07-05 23:37:55,0.958,7040
2025-07-05 23:37:56,0.958,7089
2025-07-05 23:37:57,0.958,7137
2025-07-05 23:37:58,0.958,7186
2025-07-05 23:37:59,0.958,7235
2025-07-05 23:38:00,0.958,7284
2025-07-05 23:38:01,0.958,7332
2025-07-05 23:38:02,0.958,7381
2025-07-05 23:38:03,0.959,7430
2025-07-05 23:38:04,0.959,7478
2025-07-05 23:38:05,0.959,7527
2025-07-05 23:38:06,0.959,7576
