timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 23:46:24,16,15,6141,590.01,43
2025-07-05 23:46:27,0,15,6141,12.03,43
2025-07-05 23:46:28,0,15,6141,11.98,43
2025-07-05 23:46:29,0,15,6141,11.97,44
2025-07-05 23:46:30,0,15,6141,11.95,44
2025-07-05 23:46:31,0,15,6141,11.95,44
2025-07-05 23:46:32,0,15,6141,11.93,44
2025-07-05 23:46:33,0,15,6141,11.88,44
2025-07-05 23:46:34,0,15,6141,11.87,44
2025-07-05 23:46:35,0,15,6141,11.85,44
2025-07-05 23:46:36,0,15,6141,11.85,44
2025-07-05 23:46:37,0,15,6141,11.84,44
2025-07-05 23:46:38,0,15,6141,3.29,43
2025-07-05 23:46:39,0,15,6141,2.74,43
2025-07-05 23:46:40,0,15,6141,1.97,43
2025-07-05 23:46:41,0,15,6141,1.74,43
2025-07-05 23:46:42,0,15,6141,1.75,42
2025-07-05 23:46:43,0,15,6141,1.76,42
2025-07-05 23:46:45,0,15,6141,1.76,42
2025-07-05 23:46:46,0,15,6141,1.75,42
2025-07-05 23:46:47,0,15,6141,1.75,42
2025-07-05 23:46:48,0,15,6141,1.75,42
2025-07-05 23:46:49,0,15,6141,1.76,42
2025-07-05 23:46:50,0,15,6141,1.76,42
2025-07-05 23:46:51,0,15,6141,1.75,42
2025-07-05 23:46:52,0,15,6141,1.75,42
2025-07-05 23:46:53,0,15,6141,1.76,42
2025-07-05 23:46:54,0,15,6141,1.76,42
2025-07-05 23:46:55,0,15,6141,1.75,42
2025-07-05 23:46:56,0,15,6141,1.76,42
2025-07-05 23:46:57,0,15,6141,1.79,42
2025-07-05 23:46:58,0,15,6141,1.80,41
2025-07-05 23:46:59,0,15,6141,1.81,41
2025-07-05 23:47:00,0,15,6141,1.80,41
2025-07-05 23:47:01,0,15,6141,1.79,41
2025-07-05 23:47:02,0,15,6141,1.79,41
2025-07-05 23:47:03,0,15,6141,1.78,41
2025-07-05 23:47:04,0,15,6141,1.75,41
2025-07-05 23:47:05,0,15,6141,1.75,41
2025-07-05 23:47:06,0,15,6141,1.75,41
2025-07-05 23:47:07,0,15,6141,1.75,41
2025-07-05 23:47:08,0,15,6141,1.77,41
2025-07-05 23:47:09,0,15,6141,1.75,41
2025-07-05 23:47:10,0,15,6141,1.74,41
2025-07-05 23:47:11,0,15,6141,1.76,41
2025-07-05 23:47:12,0,15,6141,1.77,41
2025-07-05 23:47:13,0,15,6141,1.77,40
2025-07-05 23:47:14,0,15,6141,1.79,40
2025-07-05 23:47:15,0,15,6141,1.82,40
2025-07-05 23:47:16,0,15,6141,1.81,40
2025-07-05 23:47:17,0,15,6141,1.82,40
2025-07-05 23:47:18,0,15,6141,1.81,40
2025-07-05 23:47:19,0,15,6141,1.79,40
2025-07-05 23:47:20,0,15,6141,1.81,40
2025-07-05 23:47:21,0,15,6141,1.82,40
2025-07-05 23:47:22,0,15,6141,1.82,40
2025-07-05 23:47:23,0,15,6141,1.81,40
2025-07-05 23:47:24,0,15,6141,1.81,40
2025-07-05 23:47:25,0,15,6141,1.80,40
2025-07-05 23:47:26,0,15,6141,1.79,40
2025-07-05 23:47:27,0,15,6141,1.78,40
2025-07-05 23:47:28,0,15,6141,1.78,40
2025-07-05 23:47:30,0,15,6141,1.77,40
2025-07-05 23:47:31,0,15,6141,1.79,40
2025-07-05 23:47:32,0,15,6141,1.80,40
2025-07-05 23:47:33,0,15,6141,1.80,40
2025-07-05 23:47:34,0,15,6141,1.80,40
2025-07-05 23:47:35,0,15,6141,1.80,40
2025-07-05 23:47:36,0,15,6141,1.79,39
2025-07-05 23:47:37,0,15,6141,1.79,39
2025-07-05 23:47:38,0,15,6141,1.79,39
2025-07-05 23:47:39,0,15,6141,1.79,39
2025-07-05 23:47:40,0,15,6141,1.78,39
2025-07-05 23:47:41,0,15,6141,1.77,39
2025-07-05 23:47:42,0,15,6141,1.80,39
2025-07-05 23:47:43,0,15,6141,1.80,39
2025-07-05 23:47:44,0,15,6141,1.77,39
2025-07-05 23:47:45,0,15,6141,1.77,39
2025-07-05 23:47:46,0,15,6141,1.78,39
2025-07-05 23:47:47,0,15,6141,1.79,39
2025-07-05 23:47:48,0,15,6141,1.79,39
2025-07-05 23:47:49,0,15,6141,1.80,39
2025-07-05 23:47:50,0,15,6141,1.82,39
2025-07-05 23:47:51,0,15,6141,1.83,39
2025-07-05 23:47:52,0,15,6141,1.81,39
2025-07-05 23:47:53,0,15,6141,1.79,39
2025-07-05 23:47:54,0,15,6141,1.79,39
2025-07-05 23:47:55,0,15,6141,1.79,39
2025-07-05 23:47:56,0,15,6141,1.79,39
2025-07-05 23:47:57,0,15,6141,1.78,39
2025-07-05 23:47:58,0,15,6141,1.78,39
2025-07-05 23:47:59,0,15,6141,1.80,39
2025-07-05 23:48:00,0,15,6141,1.80,39
2025-07-05 23:48:01,0,15,6141,1.81,39
2025-07-05 23:48:02,0,15,6141,1.82,39
2025-07-05 23:48:03,0,15,6141,1.81,39
2025-07-05 23:48:04,0,15,6141,1.81,39
2025-07-05 23:48:05,0,15,6141,1.80,39
2025-07-05 23:48:06,0,15,6141,1.80,39
2025-07-05 23:48:07,0,15,6141,1.80,39
2025-07-05 23:48:08,0,15,6141,1.78,39
2025-07-05 23:48:09,0,15,6141,1.76,39
2025-07-05 23:48:10,0,15,6141,1.78,38
2025-07-05 23:48:11,0,15,6141,1.80,38
2025-07-05 23:48:12,0,15,6141,1.79,38
2025-07-05 23:48:13,0,15,6141,1.81,38
2025-07-05 23:48:15,0,15,6141,1.81,38
2025-07-05 23:48:16,0,15,6141,1.80,38
2025-07-05 23:48:17,0,15,6141,1.81,38
2025-07-05 23:48:18,0,15,6141,1.80,38
2025-07-05 23:48:19,0,15,6141,1.81,38
2025-07-05 23:48:20,0,15,6141,1.83,38
2025-07-05 23:48:21,0,15,6141,1.83,38
2025-07-05 23:48:22,0,15,6141,1.81,38
2025-07-05 23:48:23,0,15,6141,1.79,38
2025-07-05 23:48:24,0,15,6141,1.79,38
2025-07-05 23:48:25,0,15,6141,1.81,38
2025-07-05 23:48:26,0,15,6141,1.81,38
2025-07-05 23:48:27,0,15,6141,1.83,38
2025-07-05 23:48:28,0,15,6141,1.81,38
2025-07-05 23:48:29,0,15,6141,1.79,38
2025-07-05 23:48:30,0,15,6141,1.81,38
2025-07-05 23:48:31,0,15,6141,1.79,38
2025-07-05 23:48:32,0,15,6141,1.78,38
2025-07-05 23:48:33,0,15,6141,1.76,38
2025-07-05 23:48:34,0,15,6141,1.74,38
2025-07-05 23:48:35,0,15,6141,1.76,38
2025-07-05 23:48:36,0,15,6141,1.79,38
2025-07-05 23:48:37,0,15,6141,1.81,38
2025-07-05 23:48:38,0,15,6141,1.84,38
2025-07-05 23:48:39,0,15,6141,1.85,38
2025-07-05 23:48:40,0,15,6141,1.84,38
2025-07-05 23:48:41,0,15,6141,1.86,38
2025-07-05 23:48:42,0,15,6141,1.87,38
2025-07-05 23:48:43,0,15,6141,1.85,38
2025-07-05 23:48:44,0,15,6141,1.85,38
2025-07-05 23:48:45,0,15,6141,1.86,38
