timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C
2025-07-05 22:21:20,16,15,6141,590.01,42
2025-07-05 22:21:23,0,15,6141,11.75,42
2025-07-05 22:21:24,0,15,6141,11.90,42
2025-07-05 22:21:25,0,15,6141,11.97,42
2025-07-05 22:21:26,0,15,6141,11.99,42
2025-07-05 22:21:27,0,15,6141,12.02,42
2025-07-05 22:21:28,0,15,6141,12.02,42
2025-07-05 22:21:29,0,15,6141,12.03,42
2025-07-05 22:21:30,0,15,6141,12.04,42
2025-07-05 22:21:31,0,15,6141,12.07,42
2025-07-05 22:21:32,0,15,6141,12.10,42
2025-07-05 22:21:33,0,15,6141,12.11,42
2025-07-05 22:21:34,0,15,6141,4.32,41
2025-07-05 22:21:35,0,15,6141,3.00,41
2025-07-05 22:21:36,0,15,6141,2.12,41
2025-07-05 22:21:37,0,15,6141,1.79,41
2025-07-05 22:21:38,0,15,6141,1.79,41
2025-07-05 22:21:39,0,15,6141,1.77,41
2025-07-05 22:21:40,0,15,6141,1.75,41
2025-07-05 22:21:41,0,15,6141,1.75,40
2025-07-05 22:21:42,0,15,6141,1.74,40
2025-07-05 22:21:43,0,15,6141,1.73,40
2025-07-05 22:21:44,0,15,6141,1.74,40
2025-07-05 22:21:45,0,15,6141,1.75,40
2025-07-05 22:21:46,0,15,6141,1.77,40
2025-07-05 22:21:47,0,15,6141,1.76,40
2025-07-05 22:21:48,0,15,6141,1.78,40
2025-07-05 22:21:49,0,15,6141,1.80,40
2025-07-05 22:21:50,0,15,6141,1.79,40
2025-07-05 22:21:51,0,15,6141,1.85,40
2025-07-05 22:21:52,0,15,6141,1.90,40
2025-07-05 22:21:53,0,15,6141,1.87,40
2025-07-05 22:21:54,0,15,6141,1.83,40
2025-07-05 22:21:55,0,15,6141,1.75,40
2025-07-05 22:21:56,0,15,6141,1.69,40
2025-07-05 22:21:57,0,15,6141,1.74,40
2025-07-05 22:21:58,0,15,6141,1.76,40
2025-07-05 22:21:59,0,15,6141,1.75,40
2025-07-05 22:22:00,0,15,6141,1.77,40
2025-07-05 22:22:01,0,15,6141,1.76,40
2025-07-05 22:22:02,0,15,6141,1.76,40
2025-07-05 22:22:03,0,15,6141,1.76,40
2025-07-05 22:22:05,0,15,6141,1.75,40
2025-07-05 22:22:06,0,15,6141,1.76,39
2025-07-05 22:22:07,0,15,6141,1.78,39
2025-07-05 22:22:08,0,15,6141,1.79,39
2025-07-05 22:22:09,0,15,6141,1.81,39
2025-07-05 22:22:10,0,15,6141,1.81,39
2025-07-05 22:22:11,0,15,6141,1.80,39
2025-07-05 22:22:12,0,15,6141,1.79,39
2025-07-05 22:22:13,0,15,6141,1.78,39
2025-07-05 22:22:14,0,15,6141,1.80,39
2025-07-05 22:22:15,0,15,6141,1.82,39
2025-07-05 22:22:16,0,15,6141,1.82,39
2025-07-05 22:22:17,0,15,6141,1.82,39
2025-07-05 22:22:18,0,15,6141,1.84,39
2025-07-05 22:22:19,0,15,6141,1.85,39
2025-07-05 22:22:20,0,15,6141,1.85,39
2025-07-05 22:22:21,0,15,6141,1.84,39
2025-07-05 22:22:22,0,15,6141,1.83,39
2025-07-05 22:22:23,0,15,6141,1.82,39
2025-07-05 22:22:24,0,15,6141,1.84,39
2025-07-05 22:22:25,0,15,6141,1.86,39
2025-07-05 22:22:26,0,15,6141,1.87,39
2025-07-05 22:22:27,0,15,6141,1.86,39
2025-07-05 22:22:28,0,15,6141,1.84,39
2025-07-05 22:22:29,0,15,6141,1.87,39
2025-07-05 22:22:30,0,15,6141,1.89,39
2025-07-05 22:22:31,0,15,6141,1.88,39
2025-07-05 22:22:32,0,15,6141,1.88,38
2025-07-05 22:22:33,0,15,6141,1.87,38
2025-07-05 22:22:34,0,15,6141,1.88,38
2025-07-05 22:22:35,0,15,6141,1.87,38
2025-07-05 22:22:36,0,15,6141,1.83,38
2025-07-05 22:22:37,0,15,6141,1.82,38
2025-07-05 22:22:38,0,15,6141,1.81,38
2025-07-05 22:22:39,0,15,6141,1.81,38
2025-07-05 22:22:40,0,15,6141,1.87,38
2025-07-05 22:22:41,0,15,6141,1.88,38
2025-07-05 22:22:42,0,15,6141,1.89,38
2025-07-05 22:22:43,0,15,6141,1.90,38
2025-07-05 22:22:44,0,15,6141,1.94,38
2025-07-05 22:22:45,0,15,6141,1.96,38
2025-07-05 22:22:46,0,15,6141,1.94,38
2025-07-05 22:22:47,0,15,6141,1.94,38
2025-07-05 22:22:48,0,15,6141,1.93,38
2025-07-05 22:22:50,0,15,6141,1.93,38
2025-07-05 22:22:51,0,15,6141,1.93,38
2025-07-05 22:22:52,0,15,6141,1.92,38
2025-07-05 22:22:53,0,15,6141,1.91,38
2025-07-05 22:22:54,0,15,6141,1.93,38
2025-07-05 22:22:55,0,15,6141,1.92,38
2025-07-05 22:22:56,0,15,6141,1.95,38
2025-07-05 22:22:57,0,15,6141,1.97,38
2025-07-05 22:22:58,0,15,6141,1.93,38
2025-07-05 22:22:59,0,15,6141,1.93,38
2025-07-05 22:23:00,0,15,6141,1.95,38
2025-07-05 22:23:01,0,15,6141,2.00,38
2025-07-05 22:23:02,0,15,6141,1.97,38
2025-07-05 22:23:03,0,15,6141,1.95,38
