Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq
22:47:28,17.5,0.0,19.3,62.1,1.1,5,244877,17245,40.82,41.05,46.05,68.00,37.05,38.05,20.00,68.00,46.00,41.05,1.23,GHz
22:47:29,6.0,0.3,1.8,91.5,0.4,3,12502,5976,39.02,41.05,58.05,78.00,38.05,38.05,20.00,78.00,58.00,41.05,0.87,GHz
22:47:30,2.0,0.1,1.1,96.7,0.1,2,3512,2712,26.78,41.05,67.05,46.00,38.05,38.05,20.00,46.00,67.00,41.05,0.74,GHz
22:47:31,1.7,0.2,0.8,97.0,0.3,2,16713,5068,26.78,41.05,47.05,67.00,38.05,38.05,20.00,67.00,47.00,41.05,1.13,GHz
22:47:32,15.6,0.0,10.8,73.0,0.6,10,921992,25713,21.97,41.05,49.05,47.00,38.05,38.05,20.00,48.00,49.00,41.05,2.27,GHz
22:47:33,10.3,0.1,3.1,86.1,0.4,1,82569,18650,41.27,41.05,50.05,42.00,38.05,38.05,20.00,42.00,50.00,41.05,2.29,GHz
22:47:34,3.0,0.0,1.2,95.2,0.6,1,16666,7528,26.39,41.05,42.05,42.00,38.05,38.05,20.00,42.00,42.00,41.05,1.28,GHz
22:47:35,3.0,0.1,1.1,95.5,0.3,1,23833,7906,25.21,41.05,42.05,42.00,38.05,38.05,20.00,42.00,42.00,41.05,1.13,GHz
22:47:36,2.8,0.0,0.9,95.8,0.4,1,17733,7014,24.80,41.05,42.05,42.00,38.05,38.05,20.00,42.00,42.00,41.05,1.31,GHz
22:47:37,3.1,0.0,0.9,95.8,0.3,5,15436,6402,24.28,41.05,42.05,41.00,38.05,38.05,20.00,41.00,42.00,41.05,1.78,GHz
22:47:38,2.8,0.1,0.9,95.9,0.4,1,16040,6706,24.02,41.05,42.05,42.00,38.05,38.05,20.00,42.00,42.00,41.05,1.66,GHz
22:47:39,3.0,0.0,1.0,95.7,0.3,1,15694,6625,24.02,41.05,42.05,42.00,38.05,38.05,20.00,42.00,42.00,41.05,1.35,GHz
22:47:40,3.0,0.1,0.9,95.8,0.3,1,15249,6243,24.29,41.05,42.05,42.00,39.05,39.05,20.00,42.00,42.00,41.05,1.07,GHz
22:47:41,2.8,0.0,0.9,95.9,0.4,1,16092,6551,24.52,41.05,42.05,42.00,39.05,38.05,20.00,42.00,42.00,41.05,1.83,GHz
22:47:42,3.0,0.0,1.0,95.7,0.3,3,16188,6775,25.43,41.05,42.05,43.00,39.05,38.05,20.00,43.00,42.00,41.05,1.59,GHz
22:47:43,3.3,0.0,0.9,95.5,0.3,2,16589,7025,24.88,41.05,42.05,42.00,39.05,39.05,20.00,42.00,42.00,41.05,1.67,GHz
22:47:44,3.0,0.1,0.9,95.6,0.4,1,17616,7383,24.57,41.05,42.05,42.00,39.05,39.05,20.00,42.00,42.00,41.05,1.10,GHz
22:47:45,4.6,0.0,1.0,94.0,0.4,1,20265,8521,26.49,41.05,43.05,44.00,39.05,39.05,20.00,43.00,43.00,41.05,1.39,GHz
22:47:46,5.2,0.1,1.3,93.1,0.4,2,20730,8763,26.78,42.05,43.05,42.00,39.05,39.05,20.00,42.00,43.00,41.05,1.14,GHz
22:47:47,5.2,0.0,1.0,93.4,0.4,1,21720,9180,27.52,42.05,43.05,42.00,39.05,39.05,20.00,42.00,43.00,41.05,1.34,GHz
22:47:48,5.0,0.0,1.3,93.3,0.4,1,20304,8654,27.62,42.05,43.05,43.00,39.05,39.05,20.00,43.00,43.00,41.05,1.63,GHz
22:47:49,4.9,0.1,1.2,93.5,0.4,3,20649,8595,27.15,41.05,43.05,43.00,39.05,39.05,20.00,43.00,43.00,41.05,2.08,GHz
22:47:50,4.6,0.0,1.0,94.0,0.4,1,20791,8832,26.82,42.05,43.05,43.00,39.05,39.05,20.00,43.00,43.00,41.05,1.61,GHz
22:47:51,4.4,0.0,0.9,94.3,0.4,1,19927,8437,26.84,42.05,43.05,42.00,39.05,39.05,20.00,42.00,43.00,41.05,0.76,GHz
22:47:52,3.5,0.1,1.1,94.9,0.4,1,19071,8100,26.04,42.05,43.05,42.00,39.05,39.05,20.00,42.00,43.00,41.05,1.11,GHz
22:47:53,4.2,0.0,1.1,94.4,0.4,1,20110,8377,25.80,42.05,43.05,47.00,40.05,39.05,20.00,47.00,43.00,41.05,1.79,GHz
22:47:54,3.7,0.0,0.9,95.0,0.4,1,19249,8042,25.90,42.05,43.05,42.00,39.05,39.05,20.00,42.00,43.00,41.05,1.35,GHz
22:47:55,4.4,0.1,1.0,94.2,0.4,1,19875,8327,26.36,42.05,43.05,43.00,40.05,39.05,20.00,43.00,43.00,41.05,1.00,GHz
22:47:56,4.0,0.0,0.9,94.7,0.4,1,19605,8269,26.10,42.05,43.05,47.00,40.05,39.05,20.00,47.00,43.00,41.05,1.84,GHz
22:47:57,4.7,0.1,1.2,93.6,0.4,1,20394,8566,26.86,42.05,43.05,44.00,40.05,39.05,20.00,44.00,43.00,41.05,1.90,GHz
22:47:58,4.9,0.4,1.3,93.0,0.4,1,21302,9151,26.87,42.05,44.05,44.00,40.05,39.05,20.00,44.00,44.00,41.05,1.17,GHz
22:47:59,4.7,0.1,1.1,93.7,0.4,1,20875,8911,27.04,42.05,44.05,44.00,40.05,39.05,20.00,44.00,44.00,41.05,1.32,GHz
22:48:00,4.7,0.0,1.1,93.7,0.4,1,20535,8655,27.02,42.05,44.05,44.00,40.05,39.05,20.00,44.00,44.00,41.05,2.05,GHz
22:48:01,4.5,0.1,1.2,93.8,0.4,1,20449,8793,26.55,42.05,44.05,44.00,40.05,39.05,20.00,44.00,44.00,41.05,1.89,GHz
22:48:02,4.3,0.0,1.1,94.3,0.3,1,19923,8600,26.55,42.05,44.05,42.00,40.05,39.05,20.00,42.00,44.00,41.05,1.07,GHz
